event_id,title,area,subarea,semantic_cluster_id,semantic_cluster_label,taxonomy_confidence,review_status,topic_group,topic,is_oral,award,public_total_votes,visits_last_7_days,github_url,github_repo,github_stars,artifact_confidence,needs_manual_check_reason,primary_contribution_type,method_families,evaluation_settings,benchmark_mentions,dataset_mentions,metric_mentions,evidence_confidence,author_count,institution_count,url,alphaxiv_url,signal_score
64377,$\tau^2$-Bench: Evaluating Conversational Agents in a Dual-Control Environment,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",40,agents / agent / evaluation / agentic,high,stable_seed,Deep Learning,Deep Learning->Large Language Models,true,,89,91,https://github.com/sierra-research/tau2-bench,sierra-research/tau2-bench,1569,github_url_with_stars,,Benchmark / evaluation,Reasoning / test-time compute; Agents / tool use,math/code/verifiable; robotics/embodied; language/llm; theory/synthetic,,,,medium,5,5,https://icml.cc/virtual/2026/poster/64377,https://www.alphaxiv.org/abs/2506.07982,11749
63095,Agent0-VL: Exploring Self-Evolving Agent for Tool-Integrated Vision-Language Reasoning,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",40,agents / agent / evaluation / agentic,high,stable_seed,Unknown,,true,,89,40,https://github.com/aiming-lab/Agent0,aiming-lab/Agent0,1228,github_url_with_stars,,Dataset / data resource,RL / policy optimization; Reasoning / test-time compute; Agents / tool use; Graphs / geometry,vision/video; language/llm,,,reward,medium,9,7,https://icml.cc/virtual/2026/poster/63095,https://www.alphaxiv.org/abs/2511.19900,11357
65886,Reinforcement Learning with Evolving Rubrics for Deep Research,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",2,reward / reinforcement learning / reinforcement / rewards,high,needs_review,Deep Learning,Deep Learning->Large Language Models,true,,201,154,https://github.com/rlresearch/dr-tulu,rlresearch/dr-tulu,682,github_url_with_stars,,Benchmark / evaluation,RL / policy optimization; Reasoning / test-time compute; Agents / tool use,math/code/verifiable; language/llm,,,,medium,21,13,https://icml.cc/virtual/2026/poster/65886,https://www.alphaxiv.org/abs/2511.19399,11037
62831,VenusBench-Mobile: A Challenging and User-Centric Benchmark for Mobile GUI Agents with Capability Diagnostics,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",40,agents / agent / evaluation / agentic,high,stable_seed,Deep Learning,Deep Learning->Foundation Models,true,,0,13,https://github.com/inclusionAI/UI-Venus,inclusionAI/UI-Venus,1013,github_url_with_stars,,Benchmark / evaluation,Agents / tool use,,VenusBench-Mobile,,memory,medium,7,3,https://icml.cc/virtual/2026/poster/62831,https://www.alphaxiv.org/abs/2604.06182,11026
64095,WeDLM: Reconciling Diffusion Language Models with Standard Causal Attention for Fast Inference,"LLM Reasoning, Post-Training, and RLVR",Diffusion language models and decoding,14,decoding / diffusion / language / language models,high,needs_review,Unknown,,true,,60,17,https://github.com/Tencent/WeDLM,Tencent/WeDLM,644,github_url_with_stars,,Benchmark / evaluation,Reasoning / test-time compute; Diffusion / flow; Transformer / attention; Causal / data-centric,language/llm,,,,medium,10,9,https://icml.cc/virtual/2026/poster/64095,https://www.alphaxiv.org/abs/2512.22737,10721
65332,Maximum Likelihood Reinforcement Learning,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",2,reward / reinforcement learning / reinforcement / rewards,high,needs_review,Deep Learning,Deep Learning->Large Language Models,true,,259,100,https://github.com/tajwarfahim/maxrl,tajwarfahim/maxrl,194,github_url_with_stars,,Method / algorithm,RL / policy optimization; Diffusion / flow,language/llm,,,pass@k; reward,medium,10,6,https://icml.cc/virtual/2026/poster/65332,https://www.alphaxiv.org/abs/2602.02710,10553
63146,Distributional Inverse Reinforcement Learning,Reinforcement Learning and Control,"Core RL, offline RL, and policy optimization",4,reinforcement learning / reinforcement / policy / rl,high,stable_seed,Reinforcement Learning,Reinforcement Learning->Inverse,true,,5,6,https://github.com/sudharsan13296/Deep-Reinforcement-Learning-With-Python,sudharsan13296/Deep-Reinforcement-Learning-With-Python,474,github_url_with_stars,,Benchmark / evaluation,RL / policy optimization,robotics/embodied; theory/synthetic,,,reward,medium,3,2,https://icml.cc/virtual/2026/poster/63146,https://www.alphaxiv.org/abs/2510.03013,10485
63725,Holi-Spatial: Evolving Video Streams into Holistic 3D Spatial Intelligence,"Multimodal, Vision, and Perception","3D, video, motion, and spatial understanding",25,3d / video / motion / applications computer,high,stable_seed,Applications,Applications->Computer Vision,true,,52,21,https://github.com/Visionary-Laboratory/Holi-Spatial,Visionary-Laboratory/Holi-Spatial,356,github_url_with_stars,,Benchmark / evaluation,LLM post-training; Reasoning / test-time compute; Agents / tool use; Graphs / geometry,vision/video; language/llm,,,,medium,17,12,https://icml.cc/virtual/2026/poster/63725,https://www.alphaxiv.org/abs/2603.07660,10429
66094,Simultaneous Speech-to-Speech Translation Without Aligned Data,"LLM Reasoning, Post-Training, and RLVR","General LLM training, evaluation, and alignment",24,language / language models / llms / large language,medium,needs_review,Applications,"Applications->Language, Speech and Dialog",true,,27,8,https://github.com/kyutai-labs/hibiki-zero,kyutai-labs/hibiki-zero,260,github_url_with_stars,,Benchmark / evaluation,RL / policy optimization; LLM post-training,language/llm; theory/synthetic,,,accuracy; latency,medium,5,3,https://icml.cc/virtual/2026/poster/66094,https://www.alphaxiv.org/abs/2602.11072,10295
66212,Controlled LLM Training on Spectral Sphere,Systems and Efficient Foundation Models,"Large-scale training, optimizers, and model architecture",26,networks / training / deep / gradient,medium,needs_review,Optimization,"Optimization->Large Scale, Parallel and Distributed",true,,115,42,https://github.com/Unakar/Spectral-Sphere-Optimizer,Unakar/Spectral-Sphere-Optimizer,130,github_url_with_stars,,Theory / proof,Compression / efficiency,robotics/embodied; language/llm; theory/synthetic,,,,medium,12,8,https://icml.cc/virtual/2026/poster/66212,https://www.alphaxiv.org/abs/2601.08393,10287
63564,FlashSinkhorn: IO-Aware Entropic Optimal Transport on GPU,Systems and Efficient Foundation Models,"Serving, GPU memory, MoE, and throughput",29,llm / memory / gpu / throughput,high,stable_seed,General Machine Learning,General Machine Learning->Scalable Algorithms,true,,5,2,https://github.com/ot-triton-lab/ot_triton,ot-triton-lab/ot_triton,207,github_url_with_stars,,System / infrastructure,Transformer / attention,,,,memory,medium,6,4,https://icml.cc/virtual/2026/poster/63564,https://www.alphaxiv.org/abs/2602.03067,10214
65933,RoboMME: Benchmarking and Understanding Memory for Robotic Generalist Policies,"Robotics, Embodiment, and World Models",Vision-language-action models and robotic manipulation,16,action / robotics / vla / applications robotics,high,stable_seed,Applications,Applications->Robotics,true,,66,110,https://github.com/sled-group/navchat,sled-group/navchat,31,github_url_with_stars,,Position / conceptual,Agents / tool use,math/code/verifiable; vision/video; robotics/embodied; language/llm,RoboMME,,memory,medium,9,5,https://icml.cc/virtual/2026/poster/65933,https://www.alphaxiv.org/abs/2603.04639,10207
65622,CVE-Factory: Scaling Expert-Level Agentic Tasks for Code Security Vulnerability,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",40,agents / agent / evaluation / agentic,high,stable_seed,Applications,Applications->Everything Else,true,,21,41,https://github.com/livecvebench/CVE-Factory,livecvebench/CVE-Factory,139,github_url_with_stars,,Benchmark / evaluation,LLM post-training; Reasoning / test-time compute; Agents / tool use; Compression / efficiency,math/code/verifiable; security/safety,LiveCVEBench,,,medium,11,4,https://icml.cc/virtual/2026/poster/65622,https://www.alphaxiv.org/abs/2602.03012,10201
65047,On Computation and Reinforcement Learning,Reinforcement Learning and Control,"Core RL, offline RL, and policy optimization",4,reinforcement learning / reinforcement / policy / rl,high,stable_seed,Reinforcement Learning,Reinforcement Learning->Deep RL,true,,11,4,https://github.com/jordan8409212/RL-for-binary-computation-offloading-in-wireless-powered-MEC-networks,jordan8409212/RL-for-binary-computation-offloading-in-wireless-powered-MEC-networks,168,github_url_with_stars,,Theory / proof,RL / policy optimization,language/llm; theory/synthetic,,,,medium,4,3,https://icml.cc/virtual/2026/poster/65047,https://www.alphaxiv.org/abs/2602.05999,10183
65657,Jailbreak Foundry: From Papers to Runnable Attacks for Reproducible Benchmarking,"Safety, Governance, Privacy, and Society","Adversarial safety, attacks, and security",12,safety / attacks / attack / social aspects,high,stable_seed,Social Aspects,Social Aspects->Safety,true,,9,8,https://github.com/OpenSQZ/Jailbreak-Foundry,OpenSQZ/Jailbreak-Foundry,158,github_url_with_stars,,Benchmark / evaluation,Agents / tool use,math/code/verifiable; language/llm; security/safety,AdvBench,,success_rate,medium,4,4,https://icml.cc/virtual/2026/poster/65657,https://www.alphaxiv.org/abs/2602.24009,10175
66808,Protein Autoregressive Modeling via Multiscale Structure Generation,"AI for Science, Health, and Neuro","Protein, molecule, and biological modeling",27,protein / molecular / chemistry / applications,high,needs_review,Applications,"Applications->Chemistry, Physics, and Earth Sciences",true,,31,49,https://github.com/Ali2500/BURST-benchmark,Ali2500/BURST-benchmark,81,github_url_with_stars,,Benchmark / evaluation,LLM post-training; Diffusion / flow; Transformer / attention,science/domain; security/safety,,,,medium,5,5,https://icml.cc/virtual/2026/poster/66808,https://www.alphaxiv.org/abs/2602.04883,10161
60765,Learning to Theorize the World from Observation,"LLM Reasoning, Post-Training, and RLVR",Reasoning models and chain-of-thought behavior,11,reasoning / language / large language / language models,high,needs_review,Deep Learning,Deep Learning->Other Representation Learning,true,,56,94,,,0,no_github_url,,System / infrastructure,,math/code/verifiable; vision/video; language/llm; theory/synthetic,,,,low,5,2,https://icml.cc/virtual/2026/poster/60765,https://www.alphaxiv.org/abs/2605.03413,10150
63561,Pretrained Vision-Language-Action Models are Surprisingly Resistant to Forgetting in Continual Learning,"Data-Centric, Causal, and Federated ML","Continual learning, forgetting, and task adaptation",10,continual / forgetting / continual learning / task,medium,needs_review,Unknown,,true,,98,48,,,0,no_github_url,,Application / domain study,RL / policy optimization,vision/video; robotics/embodied; language/llm,,,,medium,5,5,https://icml.cc/virtual/2026/poster/63561,https://www.alphaxiv.org/abs/2603.03818,10146
61926,OPUS: Towards Efficient and Principled Data Selection in Large Language Model Pre-training in Every Iteration,"LLM Reasoning, Post-Training, and RLVR",Diffusion language models and decoding,14,decoding / diffusion / language / language models,high,needs_review,Deep Learning,Deep Learning->Large Language Models,true,,57,73,,,0,no_github_url,,Method / algorithm,Diffusion / flow; Causal / data-centric,language/llm,,,,medium,12,9,https://icml.cc/virtual/2026/poster/61926,https://www.alphaxiv.org/abs/2602.05400,10130
65277,Learning Unmasking Policies for Diffusion Language Models,"LLM Reasoning, Post-Training, and RLVR",Diffusion language models and decoding,14,decoding / diffusion / language / language models,high,needs_review,Deep Learning,Deep Learning->Large Language Models,true,,44,67,https://github.com/apple/ml-rl-dllm,apple/ml-rl-dllm,16,github_url_with_stars,,System / infrastructure,RL / policy optimization; Diffusion / flow; Transformer / attention,language/llm,,,throughput,medium,9,5,https://icml.cc/virtual/2026/poster/65277,https://www.alphaxiv.org/abs/2512.09106,10127
65446,Activation Oracles: Training and Evaluating LLMs as General-Purpose Activation Explainers,"LLM Reasoning, Post-Training, and RLVR","General LLM training, evaluation, and alignment",24,language / language models / llms / large language,medium,needs_review,Social Aspects,"Social Aspects->Accountability, Transparency, and Interpretability",true,,75,49,,,0,no_github_url,,Position / conceptual,LLM post-training,language/llm,LatentQA; LatentQA-trained,,,medium,11,10,https://icml.cc/virtual/2026/poster/65446,https://www.alphaxiv.org/abs/2512.15674,10124
63099,daVinci-Dev: Agent-native Mid-training for Software Engineering,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",40,agents / agent / evaluation / agentic,high,stable_seed,Deep Learning,Deep Learning->Large Language Models,true,,52,48,https://github.com/sii-research/GAIR,sii-research/GAIR,9,github_url_with_stars,,Benchmark / evaluation,RL / policy optimization; LLM post-training; Reasoning / test-time compute; Agents / tool use; Diffusion / flow,math/code/verifiable; language/llm,,,,medium,17,7,https://icml.cc/virtual/2026/poster/63099,https://www.alphaxiv.org/abs/2601.18418,10109
65330,ThreadWeaver: Adaptive Threading for Efficient Parallel Reasoning in Language Models,"LLM Reasoning, Post-Training, and RLVR",RL for reasoning models and verifiable rewards,35,reasoning / rl / reinforcement / reinforcement learning,high,stable_seed,Deep Learning,Deep Learning->Large Language Models,true,,12,27,https://github.com/facebookresearch/threadweaver,facebookresearch/threadweaver,66,github_url_with_stars,,Benchmark / evaluation,RL / policy optimization; LLM post-training; Reasoning / test-time compute,math/code/verifiable; language/llm,,,accuracy; latency,medium,10,9,https://icml.cc/virtual/2026/poster/65330,https://www.alphaxiv.org/abs/2512.07843,10105
65133,Less is Enough: Synthesizing Diverse Data in Feature Space of LLMs,"LLM Reasoning, Post-Training, and RLVR","General LLM training, evaluation, and alignment",24,language / language models / llms / large language,medium,needs_review,General Machine Learning,General Machine Learning->Data,true,,48,56,,,0,no_github_url,,Dataset / data resource,RL / policy optimization; LLM post-training; Compression / efficiency,language/llm; theory/synthetic,,,reward,medium,5,3,https://icml.cc/virtual/2026/poster/65133,https://www.alphaxiv.org/abs/2602.10388,10104
64057,SoftJAX & SoftTorch: Empowering Automatic Differentiation Libraries with Informative Gradients,"Agents, Code, and Tool Use","Code LLMs, verification, and software tasks",6,code / language / llms / verification,medium,needs_review,General Machine Learning,General Machine Learning->Hardware and Software,true,,12,0,https://github.com/a-paulus/softjax,a-paulus/softjax,88,github_url_with_stars,,Benchmark / evaluation,Agents / tool use,math/code/verifiable,,,clip,medium,5,4,https://icml.cc/virtual/2026/poster/64057,https://www.alphaxiv.org/abs/2603.08824,10100
63621,From Pixels to Tokens: A Systematic Study of Latent Action Supervision for Vision-Language-Action Models,"Robotics, Embodiment, and World Models",Vision-language-action models and robotic manipulation,16,action / robotics / vla / applications robotics,high,stable_seed,Applications,Applications->Robotics,true,,30,20,https://github.com/RUCKBReasoning/From_Pixels_to_Tokens,RUCKBReasoning/From_Pixels_to_Tokens,35,github_url_with_stars,,Dataset / data resource,Reasoning / test-time compute,vision/video; robotics/embodied; language/llm,,,,medium,7,3,https://icml.cc/virtual/2026/poster/63621,https://www.alphaxiv.org/abs/2605.04678,10085
61245,Any-Order GPT as Masked Diffusion Model: Decoupling Formulation and Architecture,"LLM Reasoning, Post-Training, and RLVR",Diffusion language models and decoding,14,decoding / diffusion / language / language models,high,needs_review,Deep Learning,Deep Learning->Generative Models and Autoencoders,true,,37,11,https://github.com/scxue/AO-GPT-MDM,scxue/AO-GPT-MDM,36,github_url_with_stars,,Method / algorithm,Diffusion / flow,language/llm,,,perplexity,medium,8,8,https://icml.cc/virtual/2026/poster/61245,https://www.alphaxiv.org/abs/2506.19935,10084
64259,Mechanistic Data Attribution: Tracing the Training Origins of Interpretable LLM Units,"LLM Reasoning, Post-Training, and RLVR","General LLM training, evaluation, and alignment",24,language / language models / llms / large language,medium,needs_review,Deep Learning,Deep Learning->Large Language Models,true,,48,18,https://github.com/chenjianhuii/Mechanistic-Data-Attribution,chenjianhuii/Mechanistic-Data-Attribution,16,github_url_with_stars,,Theory / proof,Causal / data-centric,language/llm,,,,medium,3,1,https://icml.cc/virtual/2026/poster/64259,https://www.alphaxiv.org/abs/2601.21996,10082
66254,Midtraining Bridges Pretraining and Posttraining Distributions,"Data-Centric, Causal, and Federated ML","Continual learning, forgetting, and task adaptation",10,continual / forgetting / continual learning / task,medium,needs_review,Deep Learning,Deep Learning->Large Language Models,true,,47,25,https://github.com/nightingal3/midtraining,nightingal3/midtraining,9,github_url_with_stars,,Method / algorithm,Agents / tool use,math/code/verifiable; language/llm,,,,medium,3,2,https://icml.cc/virtual/2026/poster/66254,https://www.alphaxiv.org/abs/2510.14865,10081
62732,Strategic Navigation or Stochastic Search? How Agents and Humans Reason Over Document Collections,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",40,agents / agent / evaluation / agentic,high,stable_seed,Deep Learning,Deep Learning->Large Language Models,true,,26,45,https://github.com/Snowflake-Labs/MADQA,Snowflake-Labs/MADQA,1,github_url_with_stars,,Benchmark / evaluation,Reasoning / test-time compute; Agents / tool use,language/llm; theory/synthetic,VQA,,accuracy,medium,15,10,https://icml.cc/virtual/2026/poster/62732,https://www.alphaxiv.org/abs/2603.12180,10072
60553,Do We Need Adam? Surprisingly Strong and Sparse Reinforcement Learning with SGD in LLMs,"LLM Reasoning, Post-Training, and RLVR",LLM preference tuning and alignment training,21,language / large language / language models / large,medium,needs_review,Deep Learning,Deep Learning->Large Language Models,true,,15,55,https://github.com/SagnikMukherjee/sgd_adam_rlvr,SagnikMukherjee/sgd_adam_rlvr,2,github_url_with_stars,,System / infrastructure,RL / policy optimization; LLM post-training; Reasoning / test-time compute; Transformer / attention; Compression / efficiency,math/code/verifiable; language/llm,,,reward; memory,medium,5,4,https://icml.cc/virtual/2026/poster/60553,https://www.alphaxiv.org/abs/2602.07729,10072
64901,Prescriptive Scaling Reveals the Evolution of Language Model Capabilities,"LLM Reasoning, Post-Training, and RLVR","General LLM training, evaluation, and alignment",24,language / language models / llms / large language,medium,needs_review,General Machine Learning,General Machine Learning->Methodology,true,,51,17,https://github.com/hlzhang109/prescriptive-scaling,hlzhang109/prescriptive-scaling,2,github_url_with_stars,,Benchmark / evaluation,LLM post-training; Reasoning / test-time compute,math/code/verifiable; language/llm,,,accuracy; flops,medium,4,3,https://icml.cc/virtual/2026/poster/64901,https://www.alphaxiv.org/abs/2602.15327,10070
65441,Are VLMs Seeing or Just Saying? Uncovering the Illusion of Visual Re-examination,"Multimodal, Vision, and Perception",Vision-language reasoning and video understanding,22,visual / vision / reasoning / video,high,stable_seed,Unknown,,true,,16,42,https://github.com/visualswap/visualswap,visualswap/visualswap,12,github_url_with_stars,,Benchmark / evaluation,Reasoning / test-time compute; Transformer / attention,vision/video; language/llm,,,accuracy,medium,7,4,https://icml.cc/virtual/2026/poster/65441,https://www.alphaxiv.org/abs/2605.15864,10070
61483,Skip a Layer or Loop It? Learning Program-of-Layers in LLMs,"LLM Reasoning, Post-Training, and RLVR",Reasoning models and chain-of-thought behavior,11,reasoning / language / large language / language models,high,needs_review,Deep Learning,Deep Learning->Large Language Models,true,,10,33,https://github.com/tianyi-lab/PoLar,tianyi-lab/PoLar,21,github_url_with_stars,,Benchmark / evaluation,Reasoning / test-time compute,math/code/verifiable; language/llm,,,accuracy,medium,3,3,https://icml.cc/virtual/2026/poster/61483,https://www.alphaxiv.org/abs/2606.06574,10064
62726,Bad Seeing or Bad Thinking? Rewarding Perception for Multimodal Reasoning,"Multimodal, Vision, and Perception",Vision-language reasoning and video understanding,22,visual / vision / reasoning / video,high,stable_seed,Applications,Applications->Computer Vision,true,,21,27,,,0,no_github_url,,Position / conceptual,RL / policy optimization; Reasoning / test-time compute; Agents / tool use,vision/video; language/llm,,,reward,medium,7,5,https://icml.cc/virtual/2026/poster/62726,https://www.alphaxiv.org/abs/2605.14054,10048
64826,XR-1: Towards Versatile Vision-Language-Action Models via Learning Unified Vision-Motion Representations,"Robotics, Embodiment, and World Models",Vision-language-action models and robotic manipulation,16,action / robotics / vla / applications robotics,high,stable_seed,Applications,Applications->Robotics,true,,19,28,,,0,no_github_url,,Dataset / data resource,RL / policy optimization; LLM post-training; Agents / tool use,math/code/verifiable; vision/video; robotics/embodied; language/llm,,,,medium,15,12,https://icml.cc/virtual/2026/poster/64826,https://www.alphaxiv.org/abs/2511.02776,10047
66118,dnaHNet: A Scalable and Hierarchical Foundation Model for Genomic Sequence Learning,"AI for Science, Health, and Neuro","Protein, molecule, and biological modeling",27,protein / molecular / chemistry / applications,high,needs_review,Applications,Applications->Everything Else,true,,20,23,,,0,no_github_url,,Application / domain study,Transformer / attention; Compression / efficiency,science/domain,,,accuracy; flop,medium,10,10,https://icml.cc/virtual/2026/poster/66118,https://www.alphaxiv.org/abs/2602.10603,10043
64718,Towards Long-Horizon Interpretability: Efficient and Faithful Multi-Token Attribution for Reasoning LLMs,"LLM Reasoning, Post-Training, and RLVR",Reasoning models and chain-of-thought behavior,11,reasoning / language / large language / language models,high,needs_review,Social Aspects,"Social Aspects->Accountability, Transparency, and Interpretability",true,,12,29,,,0,no_github_url,,Benchmark / evaluation,Reasoning / test-time compute; Transformer / attention; Causal / data-centric,math/code/verifiable; language/llm,MorehopQA,,,medium,5,2,https://icml.cc/virtual/2026/poster/64718,https://www.alphaxiv.org/abs/2602.01914,10041
63634,Orthogonal Concept Erasure for Diffusion Models,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",13,dynamics / networks / latent / dynamical,medium,needs_review,Social Aspects,Social Aspects->Safety,true,,9,19,https://github.com/HansSunY/OCE,HansSunY/OCE,12,github_url_with_stars,,Position / conceptual,Diffusion / flow; Graphs / geometry,robotics/embodied; security/safety,,,,medium,6,2,https://icml.cc/virtual/2026/poster/63634,https://www.alphaxiv.org/abs/2605.28902,10040
60813,When the Prompt Becomes Visual: Vision-Centric Jailbreak Attacks for Large Image Editing Models,"Safety, Governance, Privacy, and Society","Adversarial safety, attacks, and security",12,safety / attacks / attack / social aspects,high,stable_seed,Social Aspects,Social Aspects->Safety,true,,8,7,https://github.com/CSU-JPG/VJA,CSU-JPG/VJA,25,github_url_with_stars,,Benchmark / evaluation,Reasoning / test-time compute,vision/video; language/llm; security/safety,IESBench,,,medium,7,6,https://icml.cc/virtual/2026/poster/60813,https://www.alphaxiv.org/abs/2602.10179,10040
65626,Benchmarking at the Edge of Comprehension,"LLM Reasoning, Post-Training, and RLVR","General LLM training, evaluation, and alignment",24,language / language models / llms / large language,medium,needs_review,Deep Learning,Deep Learning->Large Language Models,true,,3,31,https://github.com/idai-institute/critique-resilient-benchmarking,idai-institute/critique-resilient-benchmarking,5,github_url_with_stars,,Benchmark / evaluation,Reasoning / test-time compute,language/llm,,,,medium,11,8,https://icml.cc/virtual/2026/poster/65626,https://www.alphaxiv.org/abs/2602.14307,10039
