audit_rank,audit_priority_score,audit_category,event_id,title,topic_group,is_oral,award,public_total_votes,github_url,github_repo,alphaxiv_github_stars,artifact_confidence,needs_manual_check_reason,live_status,live_qa_flags,live_license_spdx,live_pushed_at,live_pushed_age_days,audit_reason,manual_checks,alphaxiv_url,icml_url
11,1450,high_signal_no_github,67118,Position: The Alignment Community is Unintentionally Building a Censor’s Toolkit,Social Aspects,true,Outstanding Position Paper Award,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/67118
12,1313,linked_unchecked_live_status,61998,The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models,Deep Learning,true,Outstanding Paper Award,92,https://github.com/LeapLabTHU/JustGRPO,LeapLabTHU/JustGRPO,212,github_url_with_stars,,,,,,,GitHub URL exists but is outside the bounded live-check set.,artifact_type; license; install_or_run_instructions; data_or_checkpoint_access; result_reproduction_path,https://www.alphaxiv.org/abs/2601.15165,https://icml.cc/virtual/2026/poster/61998
13,1233,repo_flagged_live_check,61382,Vision-aligned Latent Reasoning for Multi-Modal Large Language Model,Deep Learning,false,,56,https://github.com/awesome-NeRF/awesome-NeRF,awesome-NeRF/awesome-NeRF,6773,needs_manual_check,template_or_index_like_url,live,suspicious_template_or_index,MIT,2025-01-06T11:03:37Z,553,GitHub API QA flags: suspicious_template_or_index,confirm link belongs to the paper; reject template/index/star-inflated repo; artifact_type; license; install_or_run_instructions; data_or_checkpoint_access; result_reproduction_path,https://www.alphaxiv.org/abs/2602.04476,https://icml.cc/virtual/2026/poster/61382
14,1215,linked_unchecked_live_status,60766,The Obfuscation Atlas: Mapping Where Honesty Emerges in RLVR with Deception Probes,Social Aspects,true,Outstanding Paper Honorable Mention,14,https://github.com/AlignmentResearch/obfuscation-atlas,AlignmentResearch/obfuscation-atlas,13,github_url_with_stars,,,,,,,GitHub URL exists but is outside the bounded live-check set.,artifact_type; license; install_or_run_instructions; data_or_checkpoint_access; result_reproduction_path,https://www.alphaxiv.org/abs/2602.15515,https://icml.cc/virtual/2026/poster/60766
15,1154,repo_flagged_live_check,61887,LaST$_{0}$: Latent Spatio-Temporal Chain-of-Thought for Robotic Vision-Language-Action Model,Applications,false,,73,https://github.com/eliahuhorwitz/Academic-project-page-template,eliahuhorwitz/Academic-project-page-template,5063,needs_manual_check,template_or_index_like_url,live,suspicious_template_or_index,,2025-09-04T19:11:15Z,312,GitHub API QA flags: suspicious_template_or_index,confirm link belongs to the paper; reject template/index/star-inflated repo; artifact_type; license; install_or_run_instructions; data_or_checkpoint_access; result_reproduction_path,https://www.alphaxiv.org/abs/2601.05248,https://icml.cc/virtual/2026/poster/61887
16,1133,repo_flagged_live_check,65888,Learning to Discover at Test Time,Other,false,,529,https://github.com/sayantann11/all-classification-templetes-for-ML,sayantann11/all-classification-templetes-for-ML,297,github_url_with_stars,,live,stale_pushed_at,,2024-05-15T11:46:23Z,789,GitHub API QA flags: stale_pushed_at,confirm link belongs to the paper; reject template/index/star-inflated repo; artifact_type; license; install_or_run_instructions; data_or_checkpoint_access; result_reproduction_path,https://www.alphaxiv.org/abs/2601.16175,https://icml.cc/virtual/2026/poster/65888
17,1096,repo_flagged_live_check,61357,Hydra-Nav: Object Navigation via Adaptive Dual-Process Reasoning,Applications,false,,15,https://github.com/eliahuhorwitz/Academic-project-page-template,eliahuhorwitz/Academic-project-page-template,5063,needs_manual_check,template_or_index_like_url,live,suspicious_template_or_index,,2025-09-04T19:11:15Z,312,GitHub API QA flags: suspicious_template_or_index,confirm link belongs to the paper; reject template/index/star-inflated repo; artifact_type; license; install_or_run_instructions; data_or_checkpoint_access; result_reproduction_path,https://www.alphaxiv.org/abs/2602.09972,https://icml.cc/virtual/2026/poster/61357
18,1096,linked_needs_repro_check,65206,PaperBanana: Automating Academic Illustration for AI Scientists,Deep Learning,false,,420,https://github.com/dwzhu-pku/PaperBanana,dwzhu-pku/PaperBanana,6765,github_url_with_stars,,live,,Apache-2.0,2026-06-25T12:48:17Z,18,"GitHub URL exists; inspect runnable code, data/checkpoints, license, and reproduction instructions.",artifact_type; license; install_or_run_instructions; data_or_checkpoint_access; result_reproduction_path,https://www.alphaxiv.org/abs/2601.23265,https://icml.cc/virtual/2026/poster/65206
19,1095,repo_flagged_live_check,66763,"AudioChat: Unified Audio Storytelling, Editing, and Understanding with Transfusion Forcing",Applications,false,,14,https://github.com/eliahuhorwitz/Academic-project-page-template,eliahuhorwitz/Academic-project-page-template,5063,needs_manual_check,template_or_index_like_url,live,suspicious_template_or_index,,2025-09-04T19:11:15Z,312,GitHub API QA flags: suspicious_template_or_index,confirm link belongs to the paper; reject template/index/star-inflated repo; artifact_type; license; install_or_run_instructions; data_or_checkpoint_access; result_reproduction_path,https://www.alphaxiv.org/abs/2602.17097,https://icml.cc/virtual/2026/poster/66763
20,1093,repo_flagged_live_check,60836,From Correspondence to Actions: Human-Like Multi-Image Spatial Reasoning in Multi-modal Large Language Models,Applications,false,,12,https://github.com/eliahuhorwitz/Academic-project-page-template,eliahuhorwitz/Academic-project-page-template,5063,needs_manual_check,template_or_index_like_url,live,suspicious_template_or_index,,2025-09-04T19:11:15Z,312,GitHub API QA flags: suspicious_template_or_index,confirm link belongs to the paper; reject template/index/star-inflated repo; artifact_type; license; install_or_run_instructions; data_or_checkpoint_access; result_reproduction_path,https://www.alphaxiv.org/abs/2602.08735,https://icml.cc/virtual/2026/poster/60836
21,1093,repo_flagged_live_check,60719,PanoWorld-X: Generating Explorable Panoramic Worlds via Sphere-Aware Video Diffusion,Other,false,,12,https://github.com/eliahuhorwitz/Academic-project-page-template,eliahuhorwitz/Academic-project-page-template,5063,needs_manual_check,template_or_index_like_url,live,suspicious_template_or_index,,2025-09-04T19:11:15Z,312,GitHub API QA flags: suspicious_template_or_index,confirm link belongs to the paper; reject template/index/star-inflated repo; artifact_type; license; install_or_run_instructions; data_or_checkpoint_access; result_reproduction_path,https://www.alphaxiv.org/abs/2509.24997,https://icml.cc/virtual/2026/poster/60719
22,1089,repo_flagged_live_check,64128,AuTAgent: A Reinforcement Learning Framework for Tool-Augmented Audio Reasoning,Applications,false,,8,https://github.com/eliahuhorwitz/Academic-project-page-template,eliahuhorwitz/Academic-project-page-template,5063,needs_manual_check,template_or_index_like_url,live,suspicious_template_or_index,,2025-09-04T19:11:15Z,312,GitHub API QA flags: suspicious_template_or_index,confirm link belongs to the paper; reject template/index/star-inflated repo; artifact_type; license; install_or_run_instructions; data_or_checkpoint_access; result_reproduction_path,https://www.alphaxiv.org/abs/2602.13685,https://icml.cc/virtual/2026/poster/64128
23,1087,repo_flagged_live_check,65423,Autoregressive Direct Preference Optimization,Reinforcement Learning,false,,6,https://github.com/eliahuhorwitz/Academic-project-page-template,eliahuhorwitz/Academic-project-page-template,5063,needs_manual_check,template_or_index_like_url,live,suspicious_template_or_index,,2025-09-04T19:11:15Z,312,GitHub API QA flags: suspicious_template_or_index,confirm link belongs to the paper; reject template/index/star-inflated repo; artifact_type; license; install_or_run_instructions; data_or_checkpoint_access; result_reproduction_path,https://www.alphaxiv.org/abs/2602.09533,https://icml.cc/virtual/2026/poster/65423
24,1087,repo_flagged_live_check,60814,Self-Prompting Diffusion Transformer for Open-Vocabulary Scene Text Edit via In-Context Learning,Applications,false,,6,https://github.com/eliahuhorwitz/Academic-project-page-template,eliahuhorwitz/Academic-project-page-template,5069,needs_manual_check,template_or_index_like_url,live,suspicious_template_or_index,,2025-09-04T19:11:15Z,312,GitHub API QA flags: suspicious_template_or_index,confirm link belongs to the paper; reject template/index/star-inflated repo; artifact_type; license; install_or_run_instructions; data_or_checkpoint_access; result_reproduction_path,https://www.alphaxiv.org/abs/2605.15523,https://icml.cc/virtual/2026/poster/60814
25,1085,repo_flagged_live_check,65700,Boosting Monocular Metric Depth Estimation via Bokeh Rendering,Applications,false,,4,https://github.com/eliahuhorwitz/Academic-project-page-template,eliahuhorwitz/Academic-project-page-template,5063,needs_manual_check,template_or_index_like_url,live,suspicious_template_or_index,,2025-09-04T19:11:15Z,312,GitHub API QA flags: suspicious_template_or_index,confirm link belongs to the paper; reject template/index/star-inflated repo; artifact_type; license; install_or_run_instructions; data_or_checkpoint_access; result_reproduction_path,https://www.alphaxiv.org/abs/2512.12425,https://icml.cc/virtual/2026/poster/65700
26,1046,repo_flagged_live_check,64488,Agent Learning via Early Experience,Deep Learning,false,,532,https://github.com/jettbrains/-L-,jettbrains/-L-,148,github_url_with_stars,,live,stale_pushed_at,GPL-3.0,2021-08-18T13:41:54Z,1790,GitHub API QA flags: stale_pushed_at,confirm link belongs to the paper; reject template/index/star-inflated repo; artifact_type; license; install_or_run_instructions; data_or_checkpoint_access; result_reproduction_path,https://www.alphaxiv.org/abs/2510.08558,https://icml.cc/virtual/2026/poster/64488
27,846,repo_flagged_live_check,65157,Unifying and Optimizing Data Values for Selection via Sequential Decision-Making,General Machine Learning,false,,271,https://github.com/frankhlchi/SequentialDataVal,frankhlchi/SequentialDataVal,0,github_url_no_stars,,http_error:404,not_live_or_api_error,,,,GitHub API QA flags: not_live_or_api_error,confirm link belongs to the paper; reject template/index/star-inflated repo; artifact_type; license; install_or_run_instructions; data_or_checkpoint_access; result_reproduction_path,https://www.alphaxiv.org/abs/2502.04554,https://icml.cc/virtual/2026/poster/65157
28,818,linked_needs_repro_check,64121,Reinforcement Learning via Self-Distillation,Deep Learning,false,,718,https://github.com/lasgroup/SDPO,lasgroup/SDPO,1008,github_url_with_stars,,live,,Apache-2.0,2026-07-01T13:51:47Z,12,"GitHub URL exists; inspect runnable code, data/checkpoints, license, and reproduction instructions.",artifact_type; license; install_or_run_instructions; data_or_checkpoint_access; result_reproduction_path,https://www.alphaxiv.org/abs/2601.20802,https://icml.cc/virtual/2026/poster/64121
29,748,high_signal_no_github,63561,Pretrained Vision-Language-Action Models are Surprisingly Resistant to Forgetting in Continual Learning,Other,true,,98,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2603.03818,https://icml.cc/virtual/2026/poster/63561
30,732,repo_flagged_live_check,64465,VLANeXt: Recipes for Building Strong VLA Models,Applications,false,,74,https://github.com/DravenALG/awesome-vla,DravenALG/awesome-vla,833,needs_manual_check,template_or_index_like_url,live,suspicious_template_or_index,,2026-07-14T03:07:05Z,0,GitHub API QA flags: suspicious_template_or_index,confirm link belongs to the paper; reject template/index/star-inflated repo; artifact_type; license; install_or_run_instructions; data_or_checkpoint_access; result_reproduction_path,https://www.alphaxiv.org/abs/2602.18532,https://icml.cc/virtual/2026/poster/64465
31,732,linked_needs_repro_check,61870,mHC: Manifold-Constrained Hyper-Connections,Deep Learning,false,,696,https://github.com/tokenbender/mHC-manifold-constrained-hyper-connections,tokenbender/mHC-manifold-constrained-hyper-connections,367,github_url_with_stars,,live,,Apache-2.0,2026-02-17T12:25:12Z,146,"GitHub URL exists; inspect runnable code, data/checkpoints, license, and reproduction instructions.",artifact_type; license; install_or_run_instructions; data_or_checkpoint_access; result_reproduction_path,https://www.alphaxiv.org/abs/2512.24880,https://icml.cc/virtual/2026/poster/61870
32,730,linked_needs_repro_check,61434,Self-Distillation Enables Continual Learning,Other,false,,590,https://github.com/idanshen/Self-Distillation,idanshen/Self-Distillation,653,github_url_with_stars,,live,,,2026-04-07T20:14:25Z,97,"GitHub URL exists; inspect runnable code, data/checkpoints, license, and reproduction instructions.",artifact_type; license; install_or_run_instructions; data_or_checkpoint_access; result_reproduction_path,https://www.alphaxiv.org/abs/2601.19897,https://icml.cc/virtual/2026/poster/61434
33,725,high_signal_no_github,65446,Activation Oracles: Training and Evaluating LLMs as General-Purpose Activation Explainers,Social Aspects,true,,75,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2512.15674,https://icml.cc/virtual/2026/poster/65446
34,719,repo_flagged_live_check,62221,Alterbute: Editing Intrinsic Attributes of Objects in Images,Applications,false,,23,https://github.com/google/nerfies,google/nerfies,1969,github_url_with_stars,,live,archived; stale_pushed_at,Apache-2.0,2024-04-22T20:43:02Z,812,GitHub API QA flags: archived; stale_pushed_at,confirm link belongs to the paper; reject template/index/star-inflated repo; artifact_type; license; install_or_run_instructions; data_or_checkpoint_access; result_reproduction_path,https://www.alphaxiv.org/abs/2601.10714,https://icml.cc/virtual/2026/poster/62221
35,707,high_signal_no_github,61926,OPUS: Towards Efficient and Principled Data Selection in Large Language Model Pre-training in Every Iteration,Other,true,,57,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2602.05400,https://icml.cc/virtual/2026/poster/61926
36,706,high_signal_no_github,60765,Learning to Theorize the World from Observation,Deep Learning,true,,56,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2605.03413,https://icml.cc/virtual/2026/poster/60765
37,706,linked_needs_repro_check,62992,Monitoring Monitorability,Other,true,,28,https://github.com/nightscout/cgm-remote-monitor,nightscout/cgm-remote-monitor,2786,github_url_with_stars,,live,,AGPL-3.0,2026-07-08T09:32:27Z,5,"GitHub URL exists; inspect runnable code, data/checkpoints, license, and reproduction instructions.",artifact_type; license; install_or_run_instructions; data_or_checkpoint_access; result_reproduction_path,https://www.alphaxiv.org/abs/2512.18311,https://icml.cc/virtual/2026/poster/62992
38,701,repo_flagged_live_check,63942,DADP: Domain Adaptive Diffusion Policy,Reinforcement Learning,false,,5,https://github.com/google/nerfies,google/nerfies,1969,github_url_with_stars,,live,archived; stale_pushed_at,Apache-2.0,2024-04-22T20:43:02Z,812,GitHub API QA flags: archived; stale_pushed_at,confirm link belongs to the paper; reject template/index/star-inflated repo; artifact_type; license; install_or_run_instructions; data_or_checkpoint_access; result_reproduction_path,https://www.alphaxiv.org/abs/2602.04037,https://icml.cc/virtual/2026/poster/63942
39,698,linked_needs_repro_check,64301,DFlash: Block Diffusion for Flash Speculative Decoding,Deep Learning,false,,153,https://github.com/z-lab/dflash,z-lab/dflash,5451,github_url_with_stars,,live,,MIT,2026-05-10T09:53:33Z,64,"GitHub URL exists; inspect runnable code, data/checkpoints, license, and reproduction instructions.",artifact_type; license; install_or_run_instructions; data_or_checkpoint_access; result_reproduction_path,https://www.alphaxiv.org/abs/2602.06036,https://icml.cc/virtual/2026/poster/64301
40,698,high_signal_no_github,65133,Less is Enough: Synthesizing Diverse Data in Feature Space of LLMs,General Machine Learning,true,,48,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2602.10388,https://icml.cc/virtual/2026/poster/65133
41,678,linked_needs_repro_check,65332,Maximum Likelihood Reinforcement Learning,Deep Learning,true,,259,https://github.com/tajwarfahim/maxrl,tajwarfahim/maxrl,194,github_url_with_stars,,live,,Apache-2.0,2026-05-28T03:20:21Z,47,"GitHub URL exists; inspect runnable code, data/checkpoints, license, and reproduction instructions.",artifact_type; license; install_or_run_instructions; data_or_checkpoint_access; result_reproduction_path,https://www.alphaxiv.org/abs/2602.02710,https://icml.cc/virtual/2026/poster/65332
42,674,high_signal_no_github,63048,Equivalence of Context and Parameter Updates in Modern Transformer Blocks,Deep Learning,true,,24,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2511.17864,https://icml.cc/virtual/2026/poster/63048
43,671,high_signal_no_github,62726,Bad Seeing or Bad Thinking? Rewarding Perception for Multimodal Reasoning,Applications,true,,21,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2605.14054,https://icml.cc/virtual/2026/poster/62726
44,671,high_signal_no_github,63314,High-accuracy and dimension-free sampling with diffusions,Deep Learning,true,,21,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2601.10708,https://icml.cc/virtual/2026/poster/63314
45,670,high_signal_no_github,66118,dnaHNet: A Scalable and Hierarchical Foundation Model for Genomic Sequence Learning,Applications,true,,20,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2602.10603,https://icml.cc/virtual/2026/poster/66118
46,669,high_signal_no_github,62626,POET-X: Memory-efficient LLM Training by Scaling Orthogonal Transformation,Other,true,,19,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2603.05500,https://icml.cc/virtual/2026/poster/62626
47,669,linked_needs_repro_check,65886,Reinforcement Learning with Evolving Rubrics for Deep Research,Deep Learning,true,,201,https://github.com/rlresearch/dr-tulu,rlresearch/dr-tulu,682,github_url_with_stars,,live,,Apache-2.0,2026-06-17T02:47:32Z,27,"GitHub URL exists; inspect runnable code, data/checkpoints, license, and reproduction instructions.",artifact_type; license; install_or_run_instructions; data_or_checkpoint_access; result_reproduction_path,https://www.alphaxiv.org/abs/2511.19399,https://icml.cc/virtual/2026/poster/65886
48,669,high_signal_no_github,64826,XR-1: Towards Versatile Vision-Language-Action Models via Learning Unified Vision-Motion Representations,Applications,true,,19,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2511.02776,https://icml.cc/virtual/2026/poster/64826
49,665,high_signal_no_github,61486,Non-Euclidean Gradient Descent Operates at the Edge of Stability,Optimization,true,,15,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2603.05002,https://icml.cc/virtual/2026/poster/61486
50,663,high_signal_no_github,67238,Position: Anthropomorphic Misalignment Research Needs Stronger Evidence,Social Aspects,true,,13,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2606.07612,https://icml.cc/virtual/2026/poster/67238
51,663,high_signal_no_github,67247,Position: Stop Automating Peer Review Without Rigorous Evaluation,Social Aspects,true,,13,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2605.03202,https://icml.cc/virtual/2026/poster/67247
52,663,high_signal_no_github,60903,Reward-free Alignment for Conflicting Objectives,Deep Learning,true,,13,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2602.02495,https://icml.cc/virtual/2026/poster/60903
53,662,high_signal_no_github,64718,Towards Long-Horizon Interpretability: Efficient and Faithful Multi-Token Attribution for Reasoning LLMs,Social Aspects,true,,12,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2602.01914,https://icml.cc/virtual/2026/poster/64718
54,661,high_signal_no_github,65015,3ViewSense: Spatial and Mental Perspective Reasoning from Orthographic Views in Vision-Language Models,Applications,true,,11,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2603.07751,https://icml.cc/virtual/2026/poster/65015
55,661,high_signal_no_github,64426,Transforming Weather Data from Pixel to Latent Space,Applications,true,,11,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2503.06623,https://icml.cc/virtual/2026/poster/64426
56,660,high_signal_no_github,61049,Learning Human-Robot Collaboration via Heterogeneous-Agent Lyapunov Policy Optimization,Applications,true,,10,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2603.03741,https://icml.cc/virtual/2026/poster/61049
57,659,high_signal_no_github,65123,The Signal is in the Steps: Local Scoring for Reasoning Data Selection,General Machine Learning,true,,9,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2510.03988,https://icml.cc/virtual/2026/poster/65123
58,658,high_signal_no_github,66164,OMAC: A Holistic Optimization Framework for LLM-Based Multi-Agent Collaboration,Deep Learning,true,,8,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2505.11765,https://icml.cc/virtual/2026/poster/66164
59,658,high_signal_no_github,66709,Quantifying Frontier LLM Capabilities for Container Sandbox Escape,Social Aspects,true,,8,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2603.02277,https://icml.cc/virtual/2026/poster/66709
60,656,high_signal_no_github,62793,Markov Chain Monte Carlo without Evaluating the Target: an Auxiliary Variable Approach,Probabilistic Methods,true,,6,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2406.05242,https://icml.cc/virtual/2026/poster/62793
61,656,high_signal_no_github,65437,Mitigating Reward Hacking in RLHF via Bayesian Non-negative Reward Modeling,Reinforcement Learning,true,,6,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2602.10623,https://icml.cc/virtual/2026/poster/65437
62,656,high_signal_no_github,64487,Modeling Hierarchical Thinking in Large Reasoning Models,Deep Learning,true,,6,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2510.22437,https://icml.cc/virtual/2026/poster/64487
