semantic_cluster_id,semantic_cluster_label,lexical_cluster_id,lexical_cluster_label,overlap_count,semantic_cluster_share
26,networks / training / deep / gradient,20,code / anonymous / 4open science / 4open,11,0.0556
27,protein / molecular / chemistry / applications,15,physics / chemistry / earth / applications chemistry,61,0.4122
27,protein / molecular / chemistry / applications,17,representation / machine learning / machine / general,35,0.2365
27,protein / molecular / chemistry / applications,25,cross / semantic / label / extensive,20,0.1351
27,protein / molecular / chemistry / applications,3,diffusion / generative / diffusion models / generative models,12,0.0811
27,protein / molecular / chemistry / applications,11,agent / agents / multi agent / multi,4,0.027
28,convergence / optimization / stochastic / convex,22,gradient / networks / optimization / neural networks,62,0.4882
28,convergence / optimization / stochastic / convex,9,theory / algorithm / optimal / regret,54,0.4252
28,convergence / optimization / stochastic / convex,26,privacy / private / dp / aspects privacy,3,0.0236
28,convergence / optimization / stochastic / convex,20,code / anonymous / 4open science / 4open,2,0.0157
28,convergence / optimization / stochastic / convex,12,tuning / fine tuning / fine / lora,2,0.0157
29,llm / memory / gpu / throughput,21,quantization / kv / memory / cache,60,0.5172
29,llm / memory / gpu / throughput,12,tuning / fine tuning / fine / lora,10,0.0862
29,llm / memory / gpu / throughput,13,scaling / test time / test / time,9,0.0776
29,llm / memory / gpu / throughput,11,agent / agents / multi agent / multi,8,0.069
29,llm / memory / gpu / throughput,20,code / anonymous / 4open science / 4open,7,0.0603
30,agent / multi / search / agents,11,agent / agents / multi agent / multi,57,0.38
30,agent / multi / search / agents,20,code / anonymous / 4open science / 4open,21,0.14
30,agent / multi / search / agents,1,language / language models / llms / large language,14,0.0933
30,agent / multi / search / agents,17,representation / machine learning / machine / general,14,0.0933
30,agent / multi / search / agents,6,reasoning / reinforcement / rl / reinforcement learning,9,0.06
31,federated / federated learning / clients / client,17,representation / machine learning / machine / general,28,0.3294
31,federated / federated learning / clients / client,25,cross / semantic / label / extensive,21,0.2471
31,federated / federated learning / clients / client,12,tuning / fine tuning / fine / lora,11,0.1294
31,federated / federated learning / clients / client,20,code / anonymous / 4open science / 4open,5,0.0588
31,federated / federated learning / clients / client,26,privacy / private / dp / aspects privacy,3,0.0353
32,bayesian / probabilistic / posterior / probabilistic methods,17,representation / machine learning / machine / general,73,0.584
32,bayesian / probabilistic / posterior / probabilistic methods,9,theory / algorithm / optimal / regret,23,0.184
32,bayesian / probabilistic / posterior / probabilistic methods,3,diffusion / generative / diffusion models / generative models,8,0.064
32,bayesian / probabilistic / posterior / probabilistic methods,22,gradient / networks / optimization / neural networks,5,0.04
32,bayesian / probabilistic / posterior / probabilistic methods,14,attention / transformers / transformer / context,3,0.024
33,regret / online / bandits / algorithm,9,theory / algorithm / optimal / regret,151,0.8779
33,regret / online / bandits / algorithm,7,reinforcement learning / reinforcement / policy / rl,5,0.0291
33,regret / online / bandits / algorithm,17,representation / machine learning / machine / general,5,0.0291
33,regret / online / bandits / algorithm,24,preference / reward / preferences / preference optimization,3,0.0174
33,regret / online / bandits / algorithm,23,interpretability / accountability / transparency / transparency interpretability,2,0.0116
34,diffusion / generative / image / generative models,3,diffusion / generative / diffusion models / generative models,173,0.7119
34,diffusion / generative / image / generative models,0,video / video generation / videos / temporal,23,0.0947
34,diffusion / generative / image / generative models,10,3d / vision / applications computer / computer vision,8,0.0329
34,diffusion / generative / image / generative models,25,cross / semantic / label / extensive,7,0.0288
34,diffusion / generative / image / generative models,17,representation / machine learning / machine / general,6,0.0247
35,reasoning / rl / reinforcement / reinforcement learning,6,reasoning / reinforcement / rl / reinforcement learning,106,0.6584
35,reasoning / rl / reinforcement / reinforcement learning,13,scaling / test time / test / time,17,0.1056
35,reasoning / rl / reinforcement / reinforcement learning,1,language / language models / llms / large language,16,0.0994
35,reasoning / rl / reinforcement / reinforcement learning,12,tuning / fine tuning / fine / lora,6,0.0373
35,reasoning / rl / reinforcement / reinforcement learning,20,code / anonymous / 4open science / 4open,4,0.0248
36,detection / vision / image / robustness,25,cross / semantic / label / extensive,75,0.4237
36,detection / vision / image / robustness,10,3d / vision / applications computer / computer vision,25,0.1412
36,detection / vision / image / robustness,2,attacks / attack / safety / adversarial,22,0.1243
36,detection / vision / image / robustness,17,representation / machine learning / machine / general,10,0.0565
36,detection / vision / image / robustness,14,attention / transformers / transformer / context,7,0.0395
37,ai / position / social / position paper,28,position / ai / position paper / argues,109,0.6301
37,ai / position / social / position paper,11,agent / agents / multi agent / multi,20,0.1156
37,ai / position / social / position paper,23,interpretability / accountability / transparency / transparency interpretability,16,0.0925
37,ai / position / social / position paper,17,representation / machine learning / machine / general,9,0.052
37,ai / position / social / position paper,1,language / language models / llms / large language,7,0.0405
38,quantum / matrix / optimization / algorithm,9,theory / algorithm / optimal / regret,18,0.5143
38,quantum / matrix / optimization / algorithm,22,gradient / networks / optimization / neural networks,5,0.1429
38,quantum / matrix / optimization / algorithm,28,position / ai / position paper / argues,2,0.0571
38,quantum / matrix / optimization / algorithm,21,quantization / kv / memory / cache,1,0.0286
38,quantum / matrix / optimization / algorithm,25,cross / semantic / label / extensive,1,0.0286
39,time series / series / forecasting / time,18,time series / series / time / forecasting,124,0.775
39,time series / series / forecasting / time,17,representation / machine learning / machine / general,11,0.0688
39,time series / series / forecasting / time,15,physics / chemistry / earth / applications chemistry,8,0.05
39,time series / series / forecasting / time,23,interpretability / accountability / transparency / transparency interpretability,3,0.0187
39,time series / series / forecasting / time,13,scaling / test time / test / time,2,0.0125
40,agents / agent / evaluation / agentic,11,agent / agents / multi agent / multi,151,0.7295
40,agents / agent / evaluation / agentic,20,code / anonymous / 4open science / 4open,16,0.0773
40,agents / agent / evaluation / agentic,1,language / language models / llms / large language,10,0.0483
40,agents / agent / evaluation / agentic,28,position / ai / position paper / argues,9,0.0435
40,agents / agent / evaluation / agentic,13,scaling / test time / test / time,3,0.0145
41,graph / networks / neural networks / graph neural,5,graph / graph neural / networks / neural networks,37,0.5692
41,graph / networks / neural networks / graph neural,22,gradient / networks / optimization / neural networks,11,0.1692
41,graph / networks / neural networks / graph neural,17,representation / machine learning / machine / general,5,0.0769
41,graph / networks / neural networks / graph neural,27,neuroscience / cognitive / neuroscience cognitive / applications neuroscience,2,0.0308
41,graph / networks / neural networks / graph neural,15,physics / chemistry / earth / applications chemistry,2,0.0308
