sprint_rank,event_id,title,area,subarea,claim_ids,contribution_hypothesis,method_hypothesis,evidence_to_verify,taxonomy_question,claim_implication_prompt,artifact_check_prompt,reviewer_warning,suggested_note_seed,abstract_basis
11,66212,Controlled LLM Training on Spectral Sphere,Systems and Efficient Foundation Models,"Large-scale training, optimizers, and model architecture",C02; C08,"Theory / proof: To address this limitation, we introduce the **Spectral Sphere Optimizer (SSO)**, which enforces strict module-wise spectral constraints on both weights and their updates.",Tags: Compression / efficiency; setting: robotics/embodied; language/llm; theory/synthetic; abstract cues: no obvious abstract keyword cue.,check theorem assumptions and empirical/theory split,Resolve whether the assigned area/subarea is truly the main contribution. Check whether program-selected papers substantiate systems/agents emphasis. | Use high-signal papers to stress-test taxonomy boundaries.,C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",Do not treat AlphaXiv attention as quality. Program signal is not the same as paper-level correctness. Taxonomy assignment may be unstable.,"Contribution: Theory / proof: To address this limitation, we introduce the **Spectral Sphere Optimizer (SSO)**, which enforces strict module-wise spectral constraints on both weights and their updates. Evidence to verify: check theorem assumptions and empirical/theory split Claim implication: C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.","Scaling large models requires optimization strategies that ensure rapid convergence grounded in stability. Maximal Update Parametrization ($\boldsymbol{\mu}$P) provides a theoretical safeguard for width-invariant $\Theta(1)$ activation control, whereas emerging optimizers like Muon are only ""half-aligned"" with these constraints: they control updates but allow weights to drift. To address this limitation, we introduce the **Spectral Sphere Optimizer (SSO)**, which enforces strict module-wise spectral constraints on both weights and their updates. By deriving the steepest descent direction on the spectral sphere, SSO realizes a fully $\boldsymbol{\mu}$P-aligned optimization process. To enable large‑scale training, we implement SSO as an efficient parallel algorithm within Megatron. Through extensive pretraining on diverse architectures, including Dense 1.7B, MoE 8B-A1B, and 200-layer..."
12,64121,Reinforcement Learning via Self-Distillation,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",C01; C06; C08,Benchmark / evaluation: Large language models are increasingly post-trained with reinforcement learning in verifiable domains such as code and math.,Tags: RL / policy optimization; LLM post-training; Reasoning / test-time compute; Agents / tool use; Diffusion / flow; setting: math/code/verifiable; language/llm; abstract cues: reinforcement learning; tool.,benchmarks: LiveCodeBench; metrics: accuracy; reward; check theorem assumptions and empirical/theory split,Resolve whether the assigned area/subarea is truly the main contribution. Check whether high attention supports the center-of-gravity claim. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution. | Decide whether this cluster should remain in the assigned area/subarea or be relabeled.,C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C06 (External trend context): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",Do not treat AlphaXiv attention as quality. Taxonomy assignment may be unstable.,Contribution: Benchmark / evaluation: Large language models are increasingly post-trained with reinforcement learning in verifiable domains such as code and math. Evidence to verify: benchmarks: LiveCodeBench; metrics: accuracy; reward; check theorem assumptions and empirical/theory split Claim implication: C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C06 (External trend context): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,"Large language models are increasingly post-trained with reinforcement learning in verifiable domains such as code and math. Yet, current methods for reinforcement learning with verifiable rewards (RLVR) learn only from a scalar outcome reward per attempt, creating a severe credit-assignment bottleneck. Many verifiable environments actually provide rich textual feedback, such as runtime errors or judge evaluations, that explain *why* an attempt failed. We formalize this setting as reinforcement learning with rich feedback and introduce **Self-Distillation Policy Optimization** (**SDPO**), which converts tokenized feedback into a dense learning signal without any external teacher or explicit reward model. SDPO treats the current model conditioned on feedback as a self-teacher and distills its feedback-informed next-token predictions back into the policy. In this way, SDPO leverages..."
13,65446,Activation Oracles: Training and Evaluating LLMs as General-Purpose Activation Explainers,"LLM Reasoning, Post-Training, and RLVR","General LLM training, evaluation, and alignment",C01,"Position / conceptual: We find that AOs can recover information fine-tuned into a model (e.g., biographical knowledge or malign propensities) that does not appear in the input text, despite never being trained with activations from a fine-tuned model.",Tags: LLM post-training; setting: language/llm; abstract cues: dataset.,benchmarks: LatentQA; LatentQA-trained; check theorem assumptions and empirical/theory split,Resolve whether the assigned area/subarea is truly the main contribution. Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper.,C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable.,No obvious artifact link; record none/not_applicable unless PDF shows a release.,Do not treat AlphaXiv attention as quality. Program signal is not the same as paper-level correctness. Taxonomy assignment may be unstable.,"Contribution: Position / conceptual: We find that AOs can recover information fine-tuned into a model (e.g., biographical knowledge or malign propensities) that does not appear in the input text, despite never being trained with activations from a fine-tuned model. Evidence to verify: benchmarks: LatentQA; LatentQA-trained; check theorem assumptions and empirical/theory split Claim implication: C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable.","Large language model (LLM) activations are notoriously difficult to understand, with most existing techniques using complex, specialized methods for interpreting them. Recent work has proposed a simpler approach known as LatentQA: training LLMs to directly accept LLM activations as inputs and answer arbitrary questions about them in natural language. However, prior work has focused on narrow task settings for both training and evaluation. In this paper, we instead take a generalist perspective. We evaluate LatentQA-trained models, which we call Activation Oracles (AOs), in far out-of-distribution settings and examine how performance scales with training data diversity. We find that AOs can recover information fine-tuned into a model (e.g., biographical knowledge or malign propensities) that does not appear in the input text, despite never being trained with activations from a..."
14,63333,GDPO: Group reward-Decoupled Normalization Policy Optimization for Multi-reward RL Optimization,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",C01; C06,"Theory / proof: In this paper, we demonstrate that directly applying GRPO to normalize distinct rollout reward combinations causes them to collapse into identical advantage values, reducing the resolution of the training signal and resulting in suboptimal convergence and, in some cases, early training failure.",Tags: RL / policy optimization; LLM post-training; Reasoning / test-time compute; Agents / tool use; setting: math/code/verifiable; language/llm; abstract cues: reinforcement learning; tool.,metrics: accuracy; reward; check theorem assumptions and empirical/theory split; check human-study or user-evaluation setup,Resolve whether the assigned area/subarea is truly the main contribution. Check whether high attention supports the center-of-gravity claim. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C06 (External trend context): decide supports / weakens / complicates / not_applicable.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",Do not treat AlphaXiv attention as quality. Taxonomy assignment may be unstable.,"Contribution: Theory / proof: In this paper, we demonstrate that directly applying GRPO to normalize distinct rollout reward combinations causes them to collapse into identical advantage values, reducing the resolution of the training signal and resulting in suboptimal convergence and, in some cases, early training failure. Evidence to verify: metrics: accuracy; reward; check theorem assumptions and empirical/theory split; check human-study or user-evaluation setup Claim implication: C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C06 (External trend context): decide supports / weakens / complicates / not_applicable.","As language models become increasingly capable, users expect them to provide not only accurate responses but also behaviors aligned with diverse human preferences across a variety of scenarios. To achieve this, Reinforcement learning (RL) pipelines have begun incorporating multiple rewards, each capturing a distinct preference, to guide models toward these desired behaviors. However, recent work has defaulted to apply Group Relative Policy Optimization (GRPO) under multi-reward setting without examining its suitability. In this paper, we demonstrate that directly applying GRPO to normalize distinct rollout reward combinations causes them to collapse into identical advantage values, reducing the resolution of the training signal and resulting in suboptimal convergence and, in some cases, early training failure. We then introduce Group reward-Decoupled Normalization Policy Optimization..."
15,61870,mHC: Manifold-Constrained Hyper-Connections,Systems and Efficient Foundation Models,"Large-scale training, optimizers, and model architecture",C02; C06; C08,"System / infrastructure: To address these challenges, we propose Manifold-Constrained Hyper-Connections (mHC), a general framework that projects the residual connection space of HC onto a specific manifold to restore the identity mapping property, while incorporating rigorous infrastructure optimization to ensure efficiency.",Tags: Graphs / geometry; setting: language/llm; abstract cues: no obvious abstract keyword cue.,metrics: memory; check theorem assumptions and empirical/theory split,Resolve whether the assigned area/subarea is truly the main contribution. Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution. | Decide whether this cluster should remain in the assigned area/subarea or be relabeled.,C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable. C06 (External trend context): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",Do not treat AlphaXiv attention as quality. Taxonomy assignment may be unstable.,"Contribution: System / infrastructure: To address these challenges, we propose Manifold-Constrained Hyper-Connections (mHC), a general framework that projects the residual connection space of HC onto a specific manifold to restore the identity mapping property, while incorporating rigorous infrastructure optimization to ensure efficiency. Evidence to verify: metrics: memory; check theorem assumptions and empirical/theory split Claim implication: C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable. C06 (External trend context): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens /...","Recently, studies exemplified by Hyper-Connections (HC) have extended the ubiquitous residual connection paradigm established over the past decade by expanding the residual stream width and diversifying connectivity patterns. While yielding substantial performance gains, this diversification fundamentally compromises the identity mapping property intrinsic to the residual connection, which causes severe training instability and restricted scalability, and additionally incurs notable memory access overhead. To address these challenges, we propose Manifold-Constrained Hyper-Connections (mHC), a general framework that projects the residual connection space of HC onto a specific manifold to restore the identity mapping property, while incorporating rigorous infrastructure optimization to ensure efficiency. Empirical experiments demonstrate that mHC is effective for training at scale,..."
16,62943,Evolution Strategies at the Hyperscale,Systems and Efficient Foundation Models,"Large-scale training, optimizers, and model architecture",C02; C06,"System / infrastructure: We introduce Evolution Guided GeneRal Optimisation via Low-rank Learning (EGGROLL), which improves arithmetic intensity by structuring individual perturbations as rank-$r$ matrices, resulting in a hundredfold increase in training speed for billion-parameter models at large population sizes, achieving up to 91\% of...",Tags: RL / policy optimization; LLM post-training; Reasoning / test-time compute; setting: language/llm; theory/synthetic; abstract cues: no obvious abstract keyword cue.,metrics: throughput; check theorem assumptions and empirical/theory split,Resolve whether the assigned area/subarea is truly the main contribution. Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable. C06 (External trend context): decide supports / weakens / complicates / not_applicable.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",Do not treat AlphaXiv attention as quality. Taxonomy assignment may be unstable.,"Contribution: System / infrastructure: We introduce Evolution Guided GeneRal Optimisation via Low-rank Learning (EGGROLL), which improves arithmetic intensity by structuring individual perturbations as rank-$r$ matrices, resulting in a hundredfold increase in training speed for billion-parameter models at large population sizes, achieving up to 91\% of... Evidence to verify: metrics: throughput; check theorem assumptions and empirical/theory split Claim implication: C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable. C06 (External trend context): decide supports / weakens / complicates / not_applicable.","Evolution Strategies (ES) is a class of powerful black-box optimisation methods that are highly parallelisable and can handle non-differentiable and noisy objectives. However, naïve ES becomes prohibitively expensive at scale on GPUs due to the low arithmetic intensity of batched matrix multiplications with unstructured random perturbations. We introduce Evolution Guided GeneRal Optimisation via Low-rank Learning (EGGROLL), which improves arithmetic intensity by structuring individual perturbations as rank-$r$ matrices, resulting in a hundredfold increase in training speed for billion-parameter models at large population sizes, achieving up to 91\% of the throughput of pure batch inference. We provide a rigorous theoretical analysis of ES for high-dimensional parameter objectives, investigating conditions needed for ES updates to converge in high dimensions, revealing a linearising..."
17,65888,Learning to Discover at Test Time,"Agents, Code, and Tool Use","Multi-agent search, planning, and coordination",C02; C08,"System / infrastructure: All our results are achieved with an open model, OpenAI gpt-oss-120b, and can be reproduced with our publicly available code, in contrast to previous best results that required closed frontier models.",Tags: RL / policy optimization; Reasoning / test-time compute; Agents / tool use; Diffusion / flow; setting: math/code/verifiable; language/llm; abstract cues: reinforcement learning.,"identify baselines, datasets, metrics, ablations, and negative cases from the PDF",Resolve whether the assigned area/subarea is truly the main contribution. Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover. | Decide whether this cluster should remain in the assigned area/subarea or be relabeled.,C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",Do not treat AlphaXiv attention as quality. Taxonomy assignment may be unstable.,"Contribution: System / infrastructure: All our results are achieved with an open model, OpenAI gpt-oss-120b, and can be reproduced with our publicly available code, in contrast to previous best results that required closed frontier models. Evidence to verify: identify baselines, datasets, metrics, ablations, and negative cases from the PDF Claim implication: C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.","How can we use AI to discover a new state of the art for a scientific problem? Prior work in test-time scaling, such as AlphaEvolve, performs search by prompting a frozen LLM. We perform reinforcement learning at test time, so the LLM can continue to train, but now with experience specific to the test problem. This form of continual learning is quite special, because its goal is to produce one great solution rather than many good ones on average, and to solve this very problem rather than generalize to other problems. Therefore, our learning objective and search subroutine are designed to prioritize the most promising solutions. We call this method Test-Time Training to Discover (TTT-Discover). Following prior work, we focus on problems with continuous rewards. We report results for every problem we attempted, across mathematics, GPU kernel engineering, algorithm design, and biology...."
18,64488,Agent Learning via Early Experience,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",C01; C06,"Method / algorithm: Within this paradigm, we study two strategies of using such data: (1) implicit world modeling, which uses collected states to ground the policy in environment dynamics; and (2) self-reflection, where the agent learns from its suboptimal actions to improve reasoning and decision-making.",Tags: RL / policy optimization; LLM post-training; Reasoning / test-time compute; Agents / tool use; setting: math/code/verifiable; language/llm; abstract cues: reinforcement learning; agent; tool.,metrics: reward; check theorem assumptions and empirical/theory split; check human-study or user-evaluation setup; check sim-to-real or deployment evidence,Resolve whether the assigned area/subarea is truly the main contribution. Check whether high attention supports the center-of-gravity claim. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C06 (External trend context): decide supports / weakens / complicates / not_applicable.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",Do not treat AlphaXiv attention as quality. Taxonomy assignment may be unstable.,"Contribution: Method / algorithm: Within this paradigm, we study two strategies of using such data: (1) implicit world modeling, which uses collected states to ground the policy in environment dynamics; and (2) self-reflection, where the agent learns from its suboptimal actions to improve reasoning and decision-making. Evidence to verify: metrics: reward; check theorem assumptions and empirical/theory split; check human-study or user-evaluation setup; check sim-to-real or deployment evidence Claim implication: C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C06 (External trend context): decide supports / weakens / complicates / not_applicable.","A long-term goal of language agents is to learn and improve through their own experience, ultimately outperforming humans in complex, real-world tasks. However, training agents from experience data with reinforcement learning remains difficult in many environments, which either lack verifiable rewards (e.g., websites) or require inefficient long-horizon rollouts (e.g., multi-turn tool use). As a result, most current agents rely on supervised fine-tuning on expert data, which is challenging to scale and generalizes poorly. This limitation stems from the nature of expert demonstrations: they capture only a narrow range of scenarios, and expose the agent to limited environment diversity. We address this limitation with a middle-ground paradigm we call *early experience*: interaction data generated by the agent's own actions, where the resulting future states serve as supervision without..."
19,64095,WeDLM: Reconciling Diffusion Language Models with Standard Causal Attention for Fast Inference,"LLM Reasoning, Post-Training, and RLVR",Diffusion language models and decoding,C01,"Benchmark / evaluation: We propose WeDLM, a diffusion decoding framework built entirely on standard causal attention to make parallel generation prefix-cache friendly.",Tags: Reasoning / test-time compute; Diffusion / flow; Transformer / attention; Causal / data-centric; setting: language/llm; abstract cues: diffusion; benchmark.,"identify baselines, datasets, metrics, ablations, and negative cases from the PDF",Resolve whether the assigned area/subarea is truly the main contribution. Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper.,C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",Do not treat AlphaXiv attention as quality. Program signal is not the same as paper-level correctness. Taxonomy assignment may be unstable.,"Contribution: Benchmark / evaluation: We propose WeDLM, a diffusion decoding framework built entirely on standard causal attention to make parallel generation prefix-cache friendly. Evidence to verify: identify baselines, datasets, metrics, ablations, and negative cases from the PDF Claim implication: C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable.","Autoregressive (AR) generation is the standard decoding paradigm for Large Language Models (LLMs), but its token-by-token nature limits parallelism at inference time. Diffusion Language Models (DLLMs) offer parallel decoding by recovering multiple masked tokens per step; however, in practice they often fail to translate this parallelism into speed gains over optimized AR engines (e.g., vLLM). A key reason is that many DLLMs rely on bidirectional attention, which breaks standard prefix KV caching. We propose WeDLM, a diffusion decoding framework built entirely on standard causal attention to make parallel generation prefix-cache friendly. The core idea is to let each masked position condition on all observed tokens while keeping a causal mask, achieved by Topological Reordering that moves observed tokens to the physical prefix while preserving their logical positions. Building on..."
20,66596,From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model,"Robotics, Embodiment, and World Models",Vision-language-action models and robotic manipulation,C07,"Application / domain study: To address these limitations, we propose \textbf{BehaviorVLA}, a framework that facilitates robust manipulation through the learning of a temporally coherent behavioral representations.",Tags: LLM post-training; Causal / data-centric; setting: vision/video; robotics/embodied; language/llm; abstract cues: no obvious abstract keyword cue.,check sim-to-real or deployment evidence,Determine whether the GitHub link is a real paper artifact or a template/index/project page.,C07 (Artifact visibility): decide supports / weakens / complicates / not_applicable.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",Do not treat AlphaXiv attention as quality. Program signal is not the same as paper-level correctness.,"Contribution: Application / domain study: To address these limitations, we propose \textbf{BehaviorVLA}, a framework that facilitates robust manipulation through the learning of a temporally coherent behavioral representations. Evidence to verify: check sim-to-real or deployment evidence Claim implication: C07 (Artifact visibility): decide supports / weakens / complicates / not_applicable.","Vision-Language-Action (VLA) models often suffer from performance degradation under distribution shifts, as they struggle to learn generalized behavior representations across varying environments. While existing approaches attempt to construct behavior representations through action-centric latent variables, they are often limited by short-horizon temporal fragmentation and static execution-alignment, leading to inconsistent behaviors in complex scenarios. To address these limitations, we propose \textbf{BehaviorVLA}, a framework that facilitates robust manipulation through the learning of a temporally coherent behavioral representations. Our approach features two symmetric components: (1) the \textbf{Visuomotor Behavior Encoder (VBE)}, which utilizes a causal Mamba-based architecture to aggregate long-horizon trajectory information into a unified behavior representation; and (2) the..."
21,61180,Latent Collaboration in Multi-Agent Systems,"LLM Reasoning, Post-Training, and RLVR",Reasoning models and chain-of-thought behavior,C01; C08,"Benchmark / evaluation: We introduce LatentMAS, an end-to-end training-free framework that enables pure latent collaboration among LLM agents.",Tags: Reasoning / test-time compute; Agents / tool use; setting: math/code/verifiable; language/llm; theory/synthetic; abstract cues: benchmark; agent.,metrics: accuracy; memory,Resolve whether the assigned area/subarea is truly the main contribution. Check whether high attention supports the center-of-gravity claim. | Decide whether this cluster should remain in the assigned area/subarea or be relabeled.,C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",Do not treat AlphaXiv attention as quality. Taxonomy assignment may be unstable.,"Contribution: Benchmark / evaluation: We introduce LatentMAS, an end-to-end training-free framework that enables pure latent collaboration among LLM agents. Evidence to verify: metrics: accuracy; memory Claim implication: C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.","Multi-agent systems (MAS) extend large language models (LLMs) from independent single-model reasoning to coordinative system-level intelligence. While existing LLM agents depend on text-based mediation for reasoning and communication, we take a step forward by enabling models to collaborate directly within the continuous latent space. We introduce LatentMAS, an end-to-end training-free framework that enables pure latent collaboration among LLM agents. In LatentMAS, each agent first performs auto-regressive latent thoughts generation through last-layer hidden embeddings instead of text. Then, a shared latent working memory preserves and transfers each agent's internal representations and latent thoughts, ensuring lossless information exchange without re-encoding. We provide detailed theoretical analyses showing that LatentMAS achieves higher expressiveness and lossless information..."
22,63048,Equivalence of Context and Parameter Updates in Modern Transformer Blocks,"Theory, Optimization, and Algorithms",Transformer theory and attention expressivity,C03,"Theory / proof: To unify these findings, we introduce a general framework centered on two core properties: input controllability and output controllability.",Tags: Transformer / attention; setting: language/llm; theory/synthetic; abstract cues: transformer; theory.,check theorem assumptions and empirical/theory split,Resolve whether the assigned area/subarea is truly the main contribution. Identify the technical reason for high program signal and whether public attention misses it.,C03 (Program committee attention): decide supports / weakens / complicates / not_applicable.,No obvious artifact link; record none/not_applicable unless PDF shows a release.,Do not treat AlphaXiv attention as quality. Program signal is not the same as paper-level correctness. Taxonomy assignment may be unstable.,"Contribution: Theory / proof: To unify these findings, we introduce a general framework centered on two core properties: input controllability and output controllability. Evidence to verify: check theorem assumptions and empirical/theory split Claim implication: C03 (Program committee attention): decide supports / weakens / complicates / not_applicable.","Recent research has established that the impact of context in a vanilla transformer can be represented implicitly by forming a token-dependent, rank-1 patch to its MLP weights. This work extends that foundational theory to the diverse architectures of modern Large Language Models. We first demonstrate a precise, analytical solution for a Gemma-style transformer block, proving that the entire effect of a context can be perfectly mapped to rank-1 patches on its MLP weight matrices and a patch to the RMSNorm scale. We then generalize this result, providing a constructive proof and algorithm for multi-layer models. To unify these findings, we introduce a general framework centered on two core properties: input controllability and output controllability. We prove that a perfect implicit weight patch is possible for any MLP block where the inner function is input-controllable and the outer..."
23,63638,Optimal Decision-Making Based on Prediction Sets,"Theory, Optimization, and Algorithms",Statistical learning theory and regression,C03,"Theory / proof: Here, we propose a decision-theoretic framework that seeks to minimize the expected loss (risk) against a worst-case distribution consistent with the prediction set's coverage guarantee.",Tags: RL / policy optimization; Bayesian / probabilistic; setting: science/domain; security/safety; theory/synthetic; abstract cues: safety.,"identify baselines, datasets, metrics, ablations, and negative cases from the PDF",Resolve whether the assigned area/subarea is truly the main contribution. Identify the technical reason for high program signal and whether public attention misses it.,C03 (Program committee attention): decide supports / weakens / complicates / not_applicable.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",Do not treat AlphaXiv attention as quality. Program signal is not the same as paper-level correctness. Taxonomy assignment may be unstable.,"Contribution: Theory / proof: Here, we propose a decision-theoretic framework that seeks to minimize the expected loss (risk) against a worst-case distribution consistent with the prediction set's coverage guarantee. Evidence to verify: identify baselines, datasets, metrics, ablations, and negative cases from the PDF Claim implication: C03 (Program committee attention): decide supports / weakens / complicates / not_applicable.","Prediction sets can wrap around any ML model to cover unknown test outcomes with a guaranteed probability. Yet, it remains unclear how to use them optimally for downstream decision-making. Here, we propose a decision-theoretic framework that seeks to minimize the expected loss (risk) against a worst-case distribution consistent with the prediction set's coverage guarantee. We first characterize the minimax optimal policy for a fixed prediction set, showing that it balances the worst-case loss inside the set with a penalty for potential losses outside the set. Building on this, we derive the optimal prediction set construction that minimizes the resulting robust risk subject to a coverage constraint. Finally, we introduce Risk-Optimal Conformal Prediction (ROCP), a practical algorithm that targets these risk-minimizing sets while maintaining finite-sample distribution-free marginal..."
24,64377,$\tau^2$-Bench: Evaluating Conversational Agents in a Dual-Control Environment,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",C02,"Benchmark / evaluation: In order to address this gap, we introduce $\tau^2$-bench, with four key contributions: 1.",Tags: Reasoning / test-time compute; Agents / tool use; setting: math/code/verifiable; robotics/embodied; language/llm; theory/synthetic; abstract cues: benchmark; agent; tool.,look for ablations; check human-study or user-evaluation setup; check sim-to-real or deployment evidence,Check whether program-selected papers substantiate systems/agents emphasis.,C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",Do not treat AlphaXiv attention as quality. Program signal is not the same as paper-level correctness.,"Contribution: Benchmark / evaluation: In order to address this gap, we introduce $\tau^2$-bench, with four key contributions: 1. Evidence to verify: look for ablations; check human-study or user-evaluation setup; check sim-to-real or deployment evidence Claim implication: C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable.","Existing benchmarks for conversational AI agents simulate *single-control* environments, where only the AI agent can use tools to interact with the world, while the user remains a passive information provider. This differs from real-world scenarios like technical support, where users need to actively participate in modifying the state of the (shared) world. In order to address this gap, we introduce $\tau^2$-bench, with four key contributions: 1. A novel **Telecom dual-control domain** modeled as a Dec-POMDP, where both agent and user make use of tools to act in a shared, dynamic environment that tests both agent coordination and communication, 2. A **compositional task generator** that programmatically creates diverse, verifiable tasks from atomic components, ensuring domain coverage and controlled complexity, 3. A **reliable user simulator** tightly coupled with the environment,..."
25,63095,Agent0-VL: Exploring Self-Evolving Agent for Tool-Integrated Vision-Language Reasoning,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",C02,"Dataset / data resource: To address these challenges, inspired by recent advances in tool-integrated reasoning, we propose Agent0-VL, a self-evolving vision-language agent that achieves continual improvement with tool-integrated reasoning.",Tags: RL / policy optimization; Reasoning / test-time compute; Agents / tool use; Graphs / geometry; setting: vision/video; language/llm; abstract cues: reinforcement learning; agent; tool; multimodal.,metrics: reward; check theorem assumptions and empirical/theory split; check human-study or user-evaluation setup,Check whether program-selected papers substantiate systems/agents emphasis.,C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",Do not treat AlphaXiv attention as quality. Program signal is not the same as paper-level correctness.,"Contribution: Dataset / data resource: To address these challenges, inspired by recent advances in tool-integrated reasoning, we propose Agent0-VL, a self-evolving vision-language agent that achieves continual improvement with tool-integrated reasoning. Evidence to verify: metrics: reward; check theorem assumptions and empirical/theory split; check human-study or user-evaluation setup Claim implication: C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable.","Large Vision-Language Models (LVLMs) have achieved remarkable progress in multimodal reasoning tasks; however, their learning remains constrained by the limitations of human-annotated supervision. Recent self-rewarding approaches attempt to overcome this constraint by allowing models to act as their own critics or reward providers. Yet, purely text-based self-evaluation struggles to verify complex visual reasoning steps and often suffers from evaluation hallucinations. To address these challenges, inspired by recent advances in tool-integrated reasoning, we propose Agent0-VL, a self-evolving vision-language agent that achieves continual improvement with tool-integrated reasoning. Agent0-VL incorporates tool usage not only into reasoning but also into self-evaluation and self-repair, enabling the model to introspect, verify, and refine its reasoning through evidence-grounded analysis...."
