target_type,target_file,overlay_key,target_present,event_id,sprint_rank,title,target_claims,claim_id,note_status,blocking_gap,source_fields_to_read,overlay_fields_to_update
claim,data/manual/claim_review_overrides.csv,C05::62726,true,62726,7,Bad Seeing or Bad Thinking? Rewarding Perception for Multimodal Reasoning,C05,C05,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes
area,data/manual/area_review_overrides.csv,"Multimodal, Vision, and Perception::62726",true,62726,7,Bad Seeing or Bad Thinking? Rewarding Perception for Multimodal Reasoning,C05,,pending_note,paper note not started,contribution_summary; novelty_judgment; method_summary; evidence_strength; taxonomy_correction; final_report_use,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes
claim,data/manual/claim_review_overrides.csv,C04::61757,true,61757,8,World Guidance: World Modeling in Condition Space for Action Generation,C04,C04,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes
area,data/manual/area_review_overrides.csv,"Robotics, Embodiment, and World Models::61757",true,61757,8,World Guidance: World Modeling in Condition Space for Action Generation,C04,,pending_note,paper note not started,contribution_summary; novelty_judgment; method_summary; evidence_strength; taxonomy_correction; final_report_use,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes
claim,data/manual/claim_review_overrides.csv,C04::64904,true,64904,9,Temporal Straightening for Latent Planning,C04,C04,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes
area,data/manual/area_review_overrides.csv,"Robotics, Embodiment, and World Models::64904",true,64904,9,Temporal Straightening for Latent Planning,C04,,pending_note,paper note not started,contribution_summary; novelty_judgment; method_summary; evidence_strength; taxonomy_correction; final_report_use,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes
claim,data/manual/claim_review_overrides.csv,C05::63330,true,63330,10,Mind Your Margin and Boundary: Are Your Distilled Datasets Truly Robust?,C05,C05,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes
claim,data/manual/claim_review_overrides.csv,C04::65457,true,65457,11,LangForce: Bayesian Decomposition of Vision Language Action Models via Latent Action Queries,C04,C04,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes
area,data/manual/area_review_overrides.csv,"Robotics, Embodiment, and World Models::65457",true,65457,11,LangForce: Bayesian Decomposition of Vision Language Action Models via Latent Action Queries,C04,,pending_note,paper note not started,contribution_summary; novelty_judgment; method_summary; evidence_strength; taxonomy_correction; final_report_use,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes
claim,data/manual/claim_review_overrides.csv,C04::62813,true,62813,12,Vision-Language-Action Pretraining from Large-Scale Human Videos,C04,C04,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes
area,data/manual/area_review_overrides.csv,"Robotics, Embodiment, and World Models::62813",true,62813,12,Vision-Language-Action Pretraining from Large-Scale Human Videos,C04,,pending_note,paper note not started,contribution_summary; novelty_judgment; method_summary; evidence_strength; taxonomy_correction; final_report_use,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes
claim,data/manual/claim_review_overrides.csv,C04::63621,true,63621,13,From Pixels to Tokens: A Systematic Study of Latent Action Supervision for Vision-Language-Action Models,C04,C04,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes
area,data/manual/area_review_overrides.csv,"Robotics, Embodiment, and World Models::63621",true,63621,13,From Pixels to Tokens: A Systematic Study of Latent Action Supervision for Vision-Language-Action Models,C04,,pending_note,paper note not started,contribution_summary; novelty_judgment; method_summary; evidence_strength; taxonomy_correction; final_report_use,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes
claim,data/manual/claim_review_overrides.csv,C04::65933,true,65933,14,RoboMME: Benchmarking and Understanding Memory for Robotic Generalist Policies,C04,C04,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes
area,data/manual/area_review_overrides.csv,"Robotics, Embodiment, and World Models::65933",true,65933,14,RoboMME: Benchmarking and Understanding Memory for Robotic Generalist Policies,C04,,pending_note,paper note not started,contribution_summary; novelty_judgment; method_summary; evidence_strength; taxonomy_correction; final_report_use,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes
claim,data/manual/claim_review_overrides.csv,C04::64826,true,64826,15,XR-1: Towards Versatile Vision-Language-Action Models via Learning Unified Vision-Motion Representations,C04,C04,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes
area,data/manual/area_review_overrides.csv,"Robotics, Embodiment, and World Models::64826",true,64826,15,XR-1: Towards Versatile Vision-Language-Action Models via Learning Unified Vision-Motion Representations,C04,,pending_note,paper note not started,contribution_summary; novelty_judgment; method_summary; evidence_strength; taxonomy_correction; final_report_use,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes
claim,data/manual/claim_review_overrides.csv,C04::65056,true,65056,16,Learning Latent Action World Models In The Wild,C04,C04,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes
area,data/manual/area_review_overrides.csv,"Robotics, Embodiment, and World Models::65056",true,65056,16,Learning Latent Action World Models In The Wild,C04,,pending_note,paper note not started,contribution_summary; novelty_judgment; method_summary; evidence_strength; taxonomy_correction; final_report_use,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes
