event_id,semantic_cluster_id,semantic_cluster_label,lexical_cluster_id,lexical_cluster_label,title,topic,topic_group,themes,is_oral,award,public_total_votes,visits_last_7_days,github_stars,composite_score,semantic_distance,semantic_centrality,semantic_x,semantic_y,attention_score,url,alphaxiv_url
61337,0,multimodal / visual / modal / modality,14,attention / transformers / transformer / context,Hyper-ICL: Attention Calibration with Hyperbolic Anchor Distillation for Multimodal In-Context Learning,Applications->Computer Vision,Applications,"Causality and data-centric ML; Memorization, evaluation, and generalization; Multimodal, vision-language, and video; Systems, efficiency, and compression",false,,7,18,0,0.0383,0.63219,0.61267,-0.055665,-0.282016,0.01916,https://icml.cc/virtual/2026/poster/61337,https://www.alphaxiv.org/abs/2606.04434
63751,7,theory / regression / bounds / risk,17,representation / machine learning / machine / general,Data Augmentation of Contrastive Learning is Estimating Positive-incentive Noise,General Machine Learning->Representation Learning,General Machine Learning,"AI for science, health, and biology; Multimodal, vision-language, and video; Theory, optimization, and sampling",false,,5,0,0,0.0055,0.81324,0.5515,0.151082,0.120105,0.00275,https://icml.cc/virtual/2026/poster/63751,https://www.alphaxiv.org/abs/2408.09929
64625,25,3d / video / motion / applications computer,10,3d / vision / applications computer / computer vision,FastSESR: Fast Scene-level Explicit Surface Reconstruction,Applications->Computer Vision,Applications,"Agents, tools, and computer use; LLM reasoning and test-time compute; Memorization, evaluation, and generalization; Multimodal, vision-language, and video; Theory, optimization, and sampling",false,,0,0,0,0.0,0.74776,0.57216,0.250121,-0.135064,0.0,https://icml.cc/virtual/2026/poster/64625,
66078,6,code / language / llms / verification,23,interpretability / accountability / transparency / transparency interpretability,Query Circuits: Explaining How Language Models Answer User Prompts,"Social Aspects->Accountability, Transparency, and Interpretability",Social Aspects,"Diffusion, flow, and generative modeling; Interpretability and mechanistic analysis; Memorization, evaluation, and generalization; Safety, alignment, governance, and risk; Theory, optimization, and sampling",false,,4,3,1,0.1481,0.7277,0.5788,-0.19139,-0.02203,0.00475,https://icml.cc/virtual/2026/poster/66078,https://www.alphaxiv.org/abs/2509.24808
66787,2,reward / reinforcement learning / reinforcement / rewards,24,preference / reward / preferences / preference optimization,Reliability-Aware LLM Alignment from Inconsistent Human Feedback,Social Aspects->Alignment,Social Aspects,"Agents, tools, and computer use; Causality and data-centric ML; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards; Safety, alignment, governance, and risk; Theory, optimization, and sampling",false,,0,0,0,0.0,0.73621,0.57597,-0.218689,0.01019,0.0,https://icml.cc/virtual/2026/poster/66787,
61805,3,attention / kv / context / cache,14,attention / transformers / transformer / context,SSA: Sparse Sparse Attention by Aligning Full and Sparse Attention Outputs in Feature Space,Deep Learning->Attention Mechanisms,Deep Learning,"Safety, alignment, governance, and risk; Systems, efficiency, and compression",false,,32,18,27,0.7323,0.70281,0.58726,0.061577,-0.165396,0.03294,https://icml.cc/virtual/2026/poster/61805,https://www.alphaxiv.org/abs/2511.20102
62027,30,agent / multi / search / agents,20,code / anonymous / 4open science / 4open,LEGO: An LLM-Enabled Hierarchical Optimizer for Tensor Computation Graphs with Structure-Aware Search and Compositional Synthesis,Deep Learning->Large Language Models,Deep Learning,"Agents, tools, and computer use; Diffusion, flow, and generative modeling; LLM reasoning and test-time compute; Memorization, evaluation, and generalization; Systems, efficiency, and compression; Theory, optimization, and sampling",false,,0,0,0,0.0,0.6431,0.6086,-0.091697,-0.127877,0.0,https://icml.cc/virtual/2026/poster/62027,
61728,18,geometric / representation / geometry / representations,17,representation / machine learning / machine / general,VBA: Vector Bundle Attention for Intrinsically Geometric Representation Learning,Deep Learning->Other Representation Learning,Deep Learning,"AI for science, health, and biology; Memorization, evaluation, and generalization; Multimodal, vision-language, and video; Safety, alignment, governance, and risk; Theory, optimization, and sampling",false,,0,0,0,0.0,0.69438,0.59019,0.335119,-0.262009,0.0,https://icml.cc/virtual/2026/poster/61728,
66809,4,reinforcement learning / reinforcement / policy / rl,7,reinforcement learning / reinforcement / policy / rl,Latent Spherical Flow Policy for Reinforcement Learning with Combinatorial Actions,Reinforcement Learning->Deep RL,Reinforcement Learning,"Diffusion, flow, and generative modeling; RL for LLMs and verifiable rewards; Systems, efficiency, and compression; Theory, optimization, and sampling",false,,2,0,0,0.0022,0.5928,0.62782,-0.030164,0.150357,0.0011,https://icml.cc/virtual/2026/poster/66809,https://www.alphaxiv.org/abs/2601.22211
67054,37,ai / position / social / position paper,28,position / ai / position paper / argues,Position: Token Taxes Can Mitigate AI's Economic Risks,Social Aspects->Everything Else,Social Aspects,"Robotics and world models; Safety, alignment, governance, and risk",false,,0,0,0,0.0,0.81052,0.55233,-0.185007,0.1999,0.0,https://icml.cc/virtual/2026/poster/67054,
64661,13,dynamics / networks / latent / dynamical,18,time series / series / time / forecasting,Dynamic Fractal Mamba: A Neural Renormalization Group Flow for Scale-Invariant Sequence Modeling,"Deep Learning->Sequential Models, Time series",Deep Learning,"Safety, alignment, governance, and risk; Systems, efficiency, and compression",false,,0,0,0,0.0,0.71907,0.58171,0.212765,-0.208739,0.0,https://icml.cc/virtual/2026/poster/64661,
62905,10,continual / forgetting / continual learning / task,20,code / anonymous / 4open science / 4open,Learn to Merge: Meta-Learning for Adaptive Multi-Task Model Merging,"General Machine Learning->Transfer, Multitask and Meta-learning",General Machine Learning,"Systems, efficiency, and compression",false,,0,0,0,0.0,0.75106,0.57108,-0.0915,-0.084639,0.0,https://icml.cc/virtual/2026/poster/62905,
64324,2,reward / reinforcement learning / reinforcement / rewards,7,reinforcement learning / reinforcement / policy / rl,Compositional Transduction with Latent Analogies for Offline Goal-Conditioned Reinforcement Learning,Reinforcement Learning->Batch/Offline,Reinforcement Learning,"Agents, tools, and computer use; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards; Theory, optimization, and sampling",false,,7,1,0,0.0094,0.74068,0.57449,-0.185349,-0.058265,0.00471,https://icml.cc/virtual/2026/poster/64324,https://www.alphaxiv.org/abs/2605.20609
66306,3,attention / kv / context / cache,21,quantization / kv / memory / cache,Training-Free Hashing-Based Attention via Binary Principal Components,Deep Learning->Attention Mechanisms,Deep Learning,"Memorization, evaluation, and generalization; Systems, efficiency, and compression; Theory, optimization, and sampling",false,,0,0,0,0.0,0.64261,0.60879,0.047874,-0.176989,0.0,https://icml.cc/virtual/2026/poster/66306,
63090,4,reinforcement learning / reinforcement / policy / rl,6,reasoning / reinforcement / rl / reinforcement learning,T$^2$PO: Uncertainty-Guided Exploration Control for Stable Multi-Turn Agentic Reinforcement Learning,Deep Learning->Large Language Models,Deep Learning,"Agents, tools, and computer use; Causality and data-centric ML; LLM reasoning and test-time compute; RL for LLMs and verifiable rewards; Systems, efficiency, and compression; Theory, optimization, and sampling",false,,56,20,45,0.8614,0.65342,0.60481,-0.26344,0.145129,0.04786,https://icml.cc/virtual/2026/poster/63090,https://www.alphaxiv.org/abs/2605.02178
64217,35,reasoning / rl / reinforcement / reinforcement learning,13,scaling / test time / test / time,Beyond Test-Time Training: Learning to Reason via Hardware-Efficient Optimal Control,,Unknown,"Agents, tools, and computer use; LLM reasoning and test-time compute; RL for LLMs and verifiable rewards; Systems, efficiency, and compression",false,,17,0,15,0.5733,0.63659,0.61103,-0.207953,-0.022512,0.00937,https://icml.cc/virtual/2026/poster/64217,https://www.alphaxiv.org/abs/2603.09221
66322,1,spiking / snns / spiking neural / spike,27,neuroscience / cognitive / neuroscience cognitive / applications neuroscience,Learning Biophysical Models of Large-Scale Multineuronal Data To Enable Precise Neurostimulation,"Applications->Neuroscience, Cognitive Science",Applications,"AI for science, health, and biology; Interpretability and mechanistic analysis",false,,0,0,0,0.0,0.75231,0.57068,0.198544,0.098754,0.0,https://icml.cc/virtual/2026/poster/66322,
63729,5,causal / causality / learning causality / treatment,8,causal / causality / learning causality / treatment,CauScale: Neural Causal Discovery at Scale,General Machine Learning->Causality,General Machine Learning,"AI for science, health, and biology; Causality and data-centric ML; Systems, efficiency, and compression",false,,8,0,21,0.627,0.7148,0.58316,-0.01498,-0.024099,0.00441,https://icml.cc/virtual/2026/poster/63729,https://www.alphaxiv.org/abs/2602.08629
62777,4,reinforcement learning / reinforcement / policy / rl,7,reinforcement learning / reinforcement / policy / rl,Tracking Drift: Variation-Aware Entropy Scheduling for Non-Stationary Reinforcement Learning,Theory->Reinforcement Learning and Planning,Theory,"Agents, tools, and computer use; RL for LLMs and verifiable rewards; Systems, efficiency, and compression; Theory, optimization, and sampling",false,,3,0,0,0.0033,0.72147,0.5809,-0.060276,0.32654,0.00165,https://icml.cc/virtual/2026/poster/62777,https://www.alphaxiv.org/abs/2601.19624
62772,5,causal / causality / learning causality / treatment,8,causal / causality / learning causality / treatment,Towards Completeness in Causal Discovery from Soft Interventions with Known Targets,General Machine Learning->Causality,General Machine Learning,Causality and data-centric ML; LLM reasoning and test-time compute,false,,0,0,0,0.0,0.63974,0.60985,-0.122526,0.211136,0.0,https://icml.cc/virtual/2026/poster/62772,
65528,33,regret / online / bandits / algorithm,9,theory / algorithm / optimal / regret,Fairness in Aggregation: Optimal Top-$k$ and Improved Full Ranking,Social Aspects->Fairness,Social Aspects,"Safety, alignment, governance, and risk",false,,3,0,0,0.0033,0.90905,0.52382,-0.129578,0.339778,0.00165,https://icml.cc/virtual/2026/poster/65528,https://www.alphaxiv.org/abs/2605.23265
62082,35,reasoning / rl / reinforcement / reinforcement learning,6,reasoning / reinforcement / rl / reinforcement learning,Enhancing Multi-Modal LLMs Reasoning via Difficulty-Aware Group Normalization,,Unknown,"LLM reasoning and test-time compute; Memorization, evaluation, and generalization; Multimodal, vision-language, and video; RL for LLMs and verifiable rewards; Theory, optimization, and sampling",false,,5,6,0,0.0157,0.67932,0.59548,-0.186994,-0.09104,0.00786,https://icml.cc/virtual/2026/poster/62082,https://www.alphaxiv.org/abs/2602.21743
63489,24,language / language models / llms / large language,12,tuning / fine tuning / fine / lora,CSPLoRA: Confidence-Guided Structure Planning for Low-Rank Adaptation,Deep Learning->Large Language Models,Deep Learning,"Agents, tools, and computer use; Interpretability and mechanistic analysis; LLM reasoning and test-time compute; Systems, efficiency, and compression",false,,0,0,0,0.0,0.66092,0.60208,-0.139893,-0.129788,0.0,https://icml.cc/virtual/2026/poster/63489,
62188,39,time series / series / forecasting / time,13,scaling / test time / test / time,Tempora: Characterising the Time-Contingent Utility of Online Test-Time Adaptation,General Machine Learning->Evaluation,General Machine Learning,"LLM reasoning and test-time compute; Memorization, evaluation, and generalization; Multimodal, vision-language, and video; Theory, optimization, and sampling",false,,2,2,0,0.0056,0.77701,0.56274,-0.110367,0.161377,0.0028,https://icml.cc/virtual/2026/poster/62188,https://www.alphaxiv.org/abs/2602.06136
62499,31,federated / federated learning / clients / client,12,tuning / fine tuning / fine / lora,FedTreeLoRA: Reconciling Statistical and Functional Heterogeneity in Federated LoRA Fine-Tuning,Deep Learning->Large Language Models,Deep Learning,"LLM reasoning and test-time compute; Memorization, evaluation, and generalization; Safety, alignment, governance, and risk; Systems, efficiency, and compression",false,,0,0,0,0.0,0.66062,0.60218,-0.078638,-0.061466,0.0,https://icml.cc/virtual/2026/poster/62499,https://www.alphaxiv.org/abs/2603.13282
61300,7,theory / regression / bounds / risk,8,causal / causality / learning causality / treatment,Partial Identification under High-Dimensional Potential Outcomes and Confounders via Optimal Transport,General Machine Learning->Causality,General Machine Learning,"Causality and data-centric ML; Interpretability and mechanistic analysis; Theory, optimization, and sampling",false,,2,4,0,0.009,0.75069,0.5712,0.34962,0.181237,0.0045,https://icml.cc/virtual/2026/poster/61300,https://www.alphaxiv.org/abs/2606.00847
60649,5,causal / causality / learning causality / treatment,8,causal / causality / learning causality / treatment,Causal Discovery for Irregularly Time Series with Consistency Guarantees,General Machine Learning->Causality,General Machine Learning,"AI for science, health, and biology; Causality and data-centric ML; Diffusion, flow, and generative modeling; Safety, alignment, governance, and risk; Theory, optimization, and sampling",false,,0,7,0,0.0119,0.66945,0.599,0.135586,0.156695,0.00595,https://icml.cc/virtual/2026/poster/60649,https://www.alphaxiv.org/abs/2507.03310
63464,4,reinforcement learning / reinforcement / policy / rl,7,reinforcement learning / reinforcement / policy / rl,Reparameterization Flow Policy Optimization,Reinforcement Learning->Deep RL,Reinforcement Learning,"Diffusion, flow, and generative modeling; Multimodal, vision-language, and video; RL for LLMs and verifiable rewards; Robotics and world models; Systems, efficiency, and compression; Theory, optimization, and sampling",false,,5,3,0,0.0106,0.56536,0.63883,-0.023921,0.097944,0.00531,https://icml.cc/virtual/2026/poster/63464,https://www.alphaxiv.org/abs/2602.03501
64810,35,reasoning / rl / reinforcement / reinforcement learning,1,language / language models / llms / large language,Optimal Bayesian Stopping for Efficient Inference of Consistent LLM Answers,,Unknown,"Diffusion, flow, and generative modeling; LLM reasoning and test-time compute; Systems, efficiency, and compression; Theory, optimization, and sampling",false,,4,2,0,0.0078,0.77033,0.56487,-0.192104,0.14781,0.0039,https://icml.cc/virtual/2026/poster/64810,https://www.alphaxiv.org/abs/2602.05395
61380,30,agent / multi / search / agents,15,physics / chemistry / earth / applications chemistry,From Feasible to Practical: Pareto-Optimal Synthesis Planning,"Applications->Chemistry, Physics, and Earth Sciences",Applications,"AI for science, health, and biology; Agents, tools, and computer use; Diffusion, flow, and generative modeling; Memorization, evaluation, and generalization; Theory, optimization, and sampling",true,,1,2,0,1.5045,0.82811,0.54701,-0.064327,0.2262,0.00225,https://icml.cc/virtual/2026/poster/61380,https://www.alphaxiv.org/abs/2605.07521
65278,22,visual / vision / reasoning / video,4,visual / multimodal / reasoning / vision,DenseMLLM: Standard Multimodal LLMs are Intrinsic Dense Predictors,,Unknown,"Memorization, evaluation, and generalization; Multimodal, vision-language, and video; RL for LLMs and verifiable rewards",false,,9,1,0,0.0116,0.61228,0.62024,0.022143,-0.359911,0.00581,https://icml.cc/virtual/2026/poster/65278,https://www.alphaxiv.org/abs/2602.14134
65802,18,geometric / representation / geometry / representations,17,representation / machine learning / machine / general,Magnitude Distance: A Geometric Measure of Dataset Similarity,Theory->Everything Else,Theory,"Diffusion, flow, and generative modeling; LLM reasoning and test-time compute; RL for LLMs and verifiable rewards; Theory, optimization, and sampling",false,,1,1,0,0.0028,0.74479,0.57314,0.16175,-0.034546,0.0014,https://icml.cc/virtual/2026/poster/65802,https://www.alphaxiv.org/abs/2602.08859
65914,17,label / labels / machine / machine learning,25,cross / semantic / label / extensive,Class-Prior Perturbation-Robust Regularization for Imbalanced Unreliable Partial Label Learning,General Machine Learning->Everything Else,General Machine Learning,"Agents, tools, and computer use; Diffusion, flow, and generative modeling; Memorization, evaluation, and generalization; Theory, optimization, and sampling",false,,0,0,0,0.0,0.66199,0.60169,0.088343,0.129119,0.0,https://icml.cc/virtual/2026/poster/65914,
60478,29,llm / memory / gpu / throughput,12,tuning / fine tuning / fine / lora,Grouter: Decoupling Routing from Representation for Accelerated MoE Training,Deep Learning->Large Language Models,Deep Learning,"LLM reasoning and test-time compute; Systems, efficiency, and compression; Theory, optimization, and sampling",false,,0,5,0,0.0085,0.6396,0.6099,-0.021779,-0.111367,0.00425,https://icml.cc/virtual/2026/poster/60478,https://www.alphaxiv.org/abs/2603.06626
64115,19,quantization / bit / precision / low,21,quantization / kv / memory / cache,ASTRA: Communication-Efficient Acceleration for Multi-Device Transformer Inference,General Machine Learning->Hardware and Software,General Machine Learning,"Systems, efficiency, and compression",false,,0,0,0,0.0,0.67324,0.59764,0.175881,-0.14767,0.0,https://icml.cc/virtual/2026/poster/64115,
60520,14,decoding / diffusion / language / language models,20,code / anonymous / 4open science / 4open,Generalized Discrete Diffusion with Self-Correction,Deep Learning->Large Language Models,Deep Learning,"Diffusion language models; Diffusion, flow, and generative modeling; LLM reasoning and test-time compute; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards; Systems, efficiency, and compression; Theory, optimization, and sampling",false,,11,12,0,0.0325,0.66133,0.60193,0.059181,-0.02717,0.01626,https://icml.cc/virtual/2026/poster/60520,https://www.alphaxiv.org/abs/2603.02230
64668,35,reasoning / rl / reinforcement / reinforcement learning,6,reasoning / reinforcement / rl / reinforcement learning,From Shortcuts to Reasoning: Robust Post-Training of Theory of Mind with Reinforcement Learning,General Machine Learning->Evaluation,General Machine Learning,"Agents, tools, and computer use; Causality and data-centric ML; LLM reasoning and test-time compute; Memorization, evaluation, and generalization; Multimodal, vision-language, and video; RL for LLMs and verifiable rewards; Theory, optimization, and sampling",false,,8,5,0,0.0173,0.65052,0.60587,-0.269668,-0.008382,0.00866,https://icml.cc/virtual/2026/poster/64668,https://www.alphaxiv.org/abs/2606.09092
63727,13,dynamics / networks / latent / dynamical,16,physics / pde / equations / pdes,Revisiting Neural Processes via Fourier Transform and Volterra Series,Probabilistic Methods->Everything Else,Probabilistic Methods,"Interpretability and mechanistic analysis; Memorization, evaluation, and generalization; Systems, efficiency, and compression; Theory, optimization, and sampling",false,,3,0,0,0.0033,0.68593,0.59315,0.257839,-0.030851,0.00165,https://icml.cc/virtual/2026/poster/63727,https://www.alphaxiv.org/abs/2606.01172
62534,10,continual / forgetting / continual learning / task,17,representation / machine learning / machine / general,Factor-Wise Homogeneity of Slot-Attention for Continual Object-Centric Learning,General Machine Learning->Representation Learning,General Machine Learning,"Multimodal, vision-language, and video; Safety, alignment, governance, and risk; Systems, efficiency, and compression",false,,0,0,0,0.0,0.65274,0.60506,0.02468,-0.154291,0.0,https://icml.cc/virtual/2026/poster/62534,
63915,12,safety / attacks / attack / social aspects,2,attacks / attack / safety / adversarial,Training with Honeypots: Reshaping How LLMs Fail,Deep Learning->Large Language Models,Deep Learning,"LLM reasoning and test-time compute; Memorization, evaluation, and generalization; Safety, alignment, governance, and risk",false,,0,0,0,0.0,0.56515,0.63892,-0.368677,0.102491,0.0,https://icml.cc/virtual/2026/poster/63915,
64178,18,geometric / representation / geometry / representations,17,representation / machine learning / machine / general,Layer-Centric Factors of Variation Disentanglement for Task- and Model-Agnostic Generalization,Deep Learning->Other Representation Learning,Deep Learning,"Memorization, evaluation, and generalization; Safety, alignment, governance, and risk",false,,0,0,0,0.0,0.71055,0.58461,0.180768,-0.191956,0.0,https://icml.cc/virtual/2026/poster/64178,
63900,16,action / robotics / vla / applications robotics,25,cross / semantic / label / extensive,"CE$^4$L: Continual Ego, Exo, and Ego-Exo Learning","General Machine Learning->Transfer, Multitask and Meta-learning",General Machine Learning,"Agents, tools, and computer use; Memorization, evaluation, and generalization; Multimodal, vision-language, and video; Robotics and world models; Systems, efficiency, and compression",false,,0,0,0,0.0,0.71194,0.58413,0.007633,-0.128531,0.0,https://icml.cc/virtual/2026/poster/63900,
66633,19,quantization / bit / precision / low,21,quantization / kv / memory / cache,RQ-MoE: Residual Quantization via Mixture of Experts for Efficient Input-Dependent Vector Compression,General Machine Learning->Representation Learning,General Machine Learning,"Agents, tools, and computer use; Systems, efficiency, and compression",false,,6,1,0,0.0083,0.64802,0.60679,0.17267,-0.058663,0.00416,https://icml.cc/virtual/2026/poster/66633,https://www.alphaxiv.org/abs/2605.14359
63791,4,reinforcement learning / reinforcement / policy / rl,7,reinforcement learning / reinforcement / policy / rl,DisPPO: Quantile-Based Distributional Reinforcement Learning for Large Language Models,Reinforcement Learning->Everything Else,Reinforcement Learning,"LLM reasoning and test-time compute; Memorization, evaluation, and generalization; Multimodal, vision-language, and video; RL for LLMs and verifiable rewards; Theory, optimization, and sampling",false,,0,0,0,0.0,0.69264,0.59079,-0.123752,0.161117,0.0,https://icml.cc/virtual/2026/poster/63791,
64089,11,reasoning / language / large language / language models,14,attention / transformers / transformer / context,Step-resolved data attribution for looped transformers,Deep Learning->Everything Else,Deep Learning,Causality and data-centric ML; Interpretability and mechanistic analysis; LLM reasoning and test-time compute; RL for LLMs and verifiable rewards,false,,6,0,0,0.0066,0.67539,0.59687,-0.024523,-0.133026,0.00331,https://icml.cc/virtual/2026/poster/64089,https://www.alphaxiv.org/abs/2602.10097
63367,2,reward / reinforcement learning / reinforcement / rewards,11,agent / agents / multi agent / multi,CUARewardBench: Benchmark for Evaluating Reward Models on Computer-using Agent Trajectories,General Machine Learning->Evaluation,General Machine Learning,"Agents, tools, and computer use; LLM reasoning and test-time compute; Memorization, evaluation, and generalization; Multimodal, vision-language, and video; RL for LLMs and verifiable rewards",false,,15,0,0,0.0165,0.68151,0.5947,-0.29981,0.029743,0.00826,https://icml.cc/virtual/2026/poster/63367,https://www.alphaxiv.org/abs/2510.18596
65629,14,decoding / diffusion / language / language models,1,language / language models / llms / large language,Efficient numeracy in language models through single-token number embeddings,Deep Learning->Large Language Models,Deep Learning,"Agents, tools, and computer use; LLM reasoning and test-time compute; Systems, efficiency, and compression",false,,9,5,3,0.2957,0.75818,0.56877,-0.044197,-0.099395,0.00921,https://icml.cc/virtual/2026/poster/65629,https://www.alphaxiv.org/abs/2510.06824
61990,17,label / labels / machine / machine learning,17,representation / machine learning / machine / general,When Softmax Fails at the Top: Extreme‑Value Corrections for InfoNCE,General Machine Learning->Unsupervised and Semi-supervised Learning,General Machine Learning,"Memorization, evaluation, and generalization; Theory, optimization, and sampling",false,,1,0,0,0.0011,0.7599,0.56821,0.008151,0.189796,0.00055,https://icml.cc/virtual/2026/poster/61990,https://www.alphaxiv.org/abs/2606.00262
60896,23,privacy / private / dp / aspects privacy,26,privacy / private / dp / aspects privacy,Optimal conversion from Rényi Differential Privacy to $f$-Differential Privacy,Social Aspects->Privacy,Social Aspects,"Safety, alignment, governance, and risk; Theory, optimization, and sampling",false,,0,0,0,0.0,0.74584,0.57279,0.026003,0.499854,0.0,https://icml.cc/virtual/2026/poster/60896,https://www.alphaxiv.org/abs/2602.04562
63575,4,reinforcement learning / reinforcement / policy / rl,6,reasoning / reinforcement / rl / reinforcement learning,Learning from Comparison: Constrained Projection Policy Optimization for Pareto-Front Improvement,Reinforcement Learning->Everything Else,Reinforcement Learning,"Agents, tools, and computer use; Interpretability and mechanistic analysis; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards; Safety, alignment, governance, and risk; Theory, optimization, and sampling",false,,0,0,0,0.0,0.68818,0.59235,-0.043667,0.341946,0.0,https://icml.cc/virtual/2026/poster/63575,
60687,17,label / labels / machine / machine learning,25,cross / semantic / label / extensive,"DIYHealth Suite: Dataset, Model, and Benchmark for Health Management at Home",Applications->Health / Medicine,Applications,"AI for science, health, and biology; Memorization, evaluation, and generalization; Multimodal, vision-language, and video",false,,0,2,0,0.0034,0.80677,0.55347,0.045504,-0.062149,0.0017,https://icml.cc/virtual/2026/poster/60687,https://www.alphaxiv.org/abs/2606.07542
67167,37,ai / position / social / position paper,28,position / ai / position paper / argues,Position: Safe Models Do Not Guarantee Safe Societies: The Case for Sociopolitical Risk,Social Aspects->Safety,Social Aspects,"Safety, alignment, governance, and risk",false,,0,0,0,0.0,0.71972,0.58149,-0.268338,0.14974,0.0,https://icml.cc/virtual/2026/poster/67167,
