semantic_cluster_id,area,subarea,review_status,group,paper_count,paper_share,oral_count,oral_rate,oral_share,oral_enrichment,award_count,award_rate,award_share,award_enrichment,total_public_votes,votes_per_paper,public_vote_share,public_attention_enrichment,program_vs_public_delta,high_signal_papers,public_not_program_papers,program_low_public_papers
5,"Data-Centric, Causal, and Federated ML",Causal inference and causal discovery,stable_seed,5: causal / causality / learning causality / treatment,111,0.0167,4,0.036,0.0238,1.42,0,0.0,0.0,0.0,256,2.31,0.0042,0.25,1.17,DISCO: Mitigating Bias in Deep Learning with Conditional Distance Correlation | Exact Functional ANOVA Decomposition for Categorical Inputs | A Recursive Decomposition Framework for Causal Structure Learning in the Presence of Latent Variables | On the Identifiability of Poisson Branching Structural Causal Model Under Latent Confounding | Position: Causality is Key for Interpretability Claims to Generalise | From Generalist to Specialist Representation | Use What You Know: Causal Foundation Models with Partial Graphs | What Makes a Good Representation for Single-Cell Perturbation Prediction?,Position: Causality is Key for Interpretability Claims to Generalise | From Generalist to Specialist Representation | Use What You Know: Causal Foundation Models with Partial Graphs | What Makes a Good Representation for Single-Cell Perturbation Prediction? | CauScale: Neural Causal Discovery at Scale | Conditional Distributional Treatment Effects: Doubly Robust Estimation and Testing | Causal discovery for time series with endogenous context variables | Optimal structure learning and conditional independence testing,On the Identifiability of Poisson Branching Structural Causal Model Under Latent Confounding | A Recursive Decomposition Framework for Causal Structure Learning in the Presence of Latent Variables | Exact Functional ANOVA Decomposition for Categorical Inputs | DISCO: Mitigating Bias in Deep Learning with Conditional Distance Correlation
23,"Safety, Governance, Privacy, and Society","Privacy, differential privacy, and unlearning",stable_seed,23: privacy / private / dp / aspects privacy,84,0.0127,3,0.0357,0.0179,1.41,0,0.0,0.0,0.0,176,2.1,0.0029,0.23,1.18,"Is Your LLM Overcharging You? Tokenization, Transparency, and Incentives | PRISM: Gauge-Invariant Tangent-Space Differentially Private LoRA | GoodDiffusion: Proactive Copyright Protection for Diffusion Generative Models via Learnable Sample-specific Signatures | Privasis: Synthesizing the Largest ""Public"" Private Dataset from Scratch | Improved Bounds for Private and Robust Alignment | Differentially Private Geodesic Regression | Representation Unlearning: Forgetting through Information Compression | Understanding Private Learning From Feature Perspective","Privasis: Synthesizing the Largest ""Public"" Private Dataset from Scratch | Improved Bounds for Private and Robust Alignment | Differentially Private Geodesic Regression | Representation Unlearning: Forgetting through Information Compression | Understanding Private Learning From Feature Perspective | Private and Stable Test-time Adaptation with Differential Privacy | Contextualized Privacy Defense for LLM Agents | Exploring Nonlinear Pathway in Parameter Space for Machine Unlearning","GoodDiffusion: Proactive Copyright Protection for Diffusion Generative Models via Learnable Sample-specific Signatures | PRISM: Gauge-Invariant Tangent-Space Differentially Private LoRA | Is Your LLM Overcharging You? Tokenization, Transparency, and Incentives"
14,"LLM Reasoning, Post-Training, and RLVR",Diffusion language models and decoding,needs_review,14: decoding / diffusion / language / language models,145,0.0219,5,0.0345,0.0298,1.36,1,0.0069,0.1111,5.08,2077,14.32,0.0344,1.57,-0.21,How much can language models memorize? | WeDLM: Reconciling Diffusion Language Models with Standard Causal Attention for Fast Inference | OPUS: Towards Efficient and Principled Data Selection in Large Language Model Pre-training in Every Iteration | Learning Unmasking Policies for Diffusion Language Models | Any-Order GPT as Masked Diffusion Model: Decoupling Formulation and Architecture | DFlash: Block Diffusion for Flash Speculative Decoding | Predicting the Order of Upcoming Tokens Improves Language Modeling | Coevolutionary Continuous Discrete Diffusion: Make Your Diffusion Language Model a Latent Reasoner,"DFlash: Block Diffusion for Flash Speculative Decoding | Predicting the Order of Upcoming Tokens Improves Language Modeling | Coevolutionary Continuous Discrete Diffusion: Make Your Diffusion Language Model a Latent Reasoner | Esoteric Language Models | dLLM-Cache: Accelerating Diffusion Large Language Models with Adaptive Caching | Efficient-DLM: From Autoregressive to Diffusion Language Models, and Beyond in Speed | Residual Context Diffusion Language Models | d3LLM: Ultra-Fast Diffusion LLM using Pseudo-Trajectory Distillation",Any-Order GPT as Masked Diffusion Model: Decoupling Formulation and Architecture | Learning Unmasking Policies for Diffusion Language Models | OPUS: Towards Efficient and Principled Data Selection in Large Language Model Pre-training in Every Iteration | WeDLM: Reconciling Diffusion Language Models with Standard Causal Attention for Fast Inference | How much can language models memorize?
27,"AI for Science, Health, and Neuro","Protein, molecule, and biological modeling",needs_review,27: protein / molecular / chemistry / applications,148,0.0223,5,0.0338,0.0298,1.33,0,0.0,0.0,0.0,402,2.72,0.0067,0.3,1.03,Protein Autoregressive Modeling via Multiscale Structure Generation | dnaHNet: A Scalable and Hierarchical Foundation Model for Genomic Sequence Learning | Protein Fold Classification at Scale: Benchmarking and Pretraining | FLIP2: Expanding Protein Fitness Landscape Benchmarks for Real-World Machine Learning Applications | Towards Sub-second Biological Foundation Model Infrastructure: A Quantized Consistency Diffusion Framework for Molecular Docking | Adaptive Protein Tokenization | Contrastive Geometric Learning Unlocks Unified Structure- and Ligand-Based Drug Design | PDFBench: A Benchmark for De Novo Protein Design from Function,Adaptive Protein Tokenization | Contrastive Geometric Learning Unlocks Unified Structure- and Ligand-Based Drug Design | PDFBench: A Benchmark for De Novo Protein Design from Function | Towards A Generative Protein Evolution Machine with DPLM-Evo | MADE: Benchmark Environments for Closed-Loop Materials Discovery | DNACHUNKER: Learnable Tokenization for DNA Language Models | PLaID++: A Preference Aligned Language Model for Targeted Inorganic Materials Design | CellBRIDGE: Learning Cellular Trajectories via Interaction-Aware Alignment,FLIP2: Expanding Protein Fitness Landscape Benchmarks for Real-World Machine Learning Applications | Towards Sub-second Biological Foundation Model Infrastructure: A Quantized Consistency Diffusion Framework for Molecular Docking | Protein Fold Classification at Scale: Benchmarking and Pretraining | dnaHNet: A Scalable and Hierarchical Foundation Model for Genomic Sequence Learning | Protein Autoregressive Modeling via Multiscale Structure Generation
9,"AI for Science, Health, and Neuro","Physical sciences, chemistry, and climate",stable_seed,9: physics / chemistry / earth / applications chemistry,128,0.0193,4,0.0312,0.0238,1.23,0,0.0,0.0,0.0,511,3.99,0.0085,0.44,0.8,LASER: Learning Active Sensing for Continuum Field Reconstruction | Training-Free Bayesian Filtering with Generative Emulators | ReViT: Rotational-equivariant Vision Transformers for Neural PDE Solvers | Solving Time-Dependent Differential Equations with Physical Dynamical Systems | GeoPT: Scaling Physics Simulation via Lifted Geometric Pre-Training | Walrus: A Cross-domain Foundation Model for Continuum Dynamics | Transolver-3: Scaling Up Transformer Solvers to Industrial-Scale Geometries | BLIPs: Bayesian Learned Interatomic Potentials,"GeoPT: Scaling Physics Simulation via Lifted Geometric Pre-Training | Walrus: A Cross-domain Foundation Model for Continuum Dynamics | Transolver-3: Scaling Up Transformer Solvers to Industrial-Scale Geometries | BLIPs: Bayesian Learned Interatomic Potentials | Riemannian Neural Optimal Transport | Learning, Solving and Optimizing PDEs with TensorGalerkin: an efficient high-performance Galerkin assembly algorithm | Learning to Think in Physics: Breaking Shortcut Learning in Scientific Diffusion via Representation Alignment | Learning Hamiltonian Flow Maps: Mean Flow Consistency for Large-Timestep Molecular Dynamics",ReViT: Rotational-equivariant Vision Transformers for Neural PDE Solvers | Solving Time-Dependent Differential Equations with Physical Dynamical Systems | Training-Free Bayesian Filtering with Generative Emulators | LASER: Learning Active Sensing for Continuum Field Reconstruction
10,"Data-Centric, Causal, and Federated ML","Continual learning, forgetting, and task adaptation",needs_review,10: continual / forgetting / continual learning / task,138,0.0208,4,0.029,0.0238,1.14,0,0.0,0.0,0.0,2261,16.38,0.0374,1.8,-0.65,Pretrained Vision-Language-Action Models are Surprisingly Resistant to Forgetting in Continual Learning | Midtraining Bridges Pretraining and Posttraining Distributions | Expressivity-Efficiency Tradeoffs for Hybrid Sequence Models | Detecting the Semantic Fixed Point: A Geometric Framework for Efficient Inference | Self-Distillation Enables Continual Learning | Understanding LoRA as Knowledge Memory: An Empirical Analysis | ATLAS: Learning to Optimally Memorize the Context at Test Time | Retaining by Doing: The Role of On-Policy Data in Mitigating Forgetting,Self-Distillation Enables Continual Learning | Understanding LoRA as Knowledge Memory: An Empirical Analysis | ATLAS: Learning to Optimally Memorize the Context at Test Time | Retaining by Doing: The Role of On-Policy Data in Mitigating Forgetting | Artificial Hippocampus Networks for Efficient Long-Context Modeling | SAEmnesia: Erasing Concepts in Diffusion Models with Supervised Sparse Autoencoders | Test-Time Training Is Secretly Linear Attention | MemoryBench: A Benchmark for Memory and Continual Learning in LLM Systems,Detecting the Semantic Fixed Point: A Geometric Framework for Efficient Inference | Expressivity-Efficiency Tradeoffs for Hybrid Sequence Models | Midtraining Bridges Pretraining and Posttraining Distributions | Pretrained Vision-Language-Action Models are Surprisingly Resistant to Forgetting in Continual Learning
38,"Theory, Optimization, and Algorithms","Quantum, matrix, and numerical optimization",needs_review,38: quantum / matrix / optimization / algorithm,35,0.0053,1,0.0286,0.006,1.13,0,0.0,0.0,0.0,108,3.09,0.0018,0.34,0.79,"Optimal and Scalable MAPF via Multi-Marginal Optimal Transport and Schrödinger Bridges | Ultrafast On-Chip Online Learning via Spline Locality in Kolmogorov–Arnold Networks | Discrete Adjoint Schrödinger Bridge Sampler | Position: Quantum Deep Learning Still Needs a Quantum Leap | Gromov-Wasserstein at Scale, Beyond Squared Norms | Batched First-Order Methods for Parallel LP Solving in MIP | DASH: Faster Shampoo via Batched Block Preconditioning and Efficient Inverse-Root Solvers | A Penalty Approach For Differentiation Through Black-box Quadratic Programming Solvers","Ultrafast On-Chip Online Learning via Spline Locality in Kolmogorov–Arnold Networks | Discrete Adjoint Schrödinger Bridge Sampler | Position: Quantum Deep Learning Still Needs a Quantum Leap | Gromov-Wasserstein at Scale, Beyond Squared Norms | Batched First-Order Methods for Parallel LP Solving in MIP | DASH: Faster Shampoo via Batched Block Preconditioning and Efficient Inverse-Root Solvers | A Penalty Approach For Differentiation Through Black-box Quadratic Programming Solvers | An Exponential Separation Between Quantum and Quantum-Inspired Classical Algorithms for Linear Systems",Optimal and Scalable MAPF via Multi-Marginal Optimal Transport and Schrödinger Bridges
30,"Agents, Code, and Tool Use","Multi-agent search, planning, and coordination",needs_review,30: agent / multi / search / agents,150,0.0226,4,0.0267,0.0238,1.05,0,0.0,0.0,0.0,2544,16.96,0.0421,1.86,-0.81,OMAC: A Holistic Optimization Framework for LLM-Based Multi-Agent Collaboration | Guaranteed Optimal Compositional Explanations for Neurons | From Feasible to Practical: Pareto-Optimal Synthesis Planning | Unsupervised Partner Design Enables Robust Ad-hoc Teamwork | Learning to Discover at Test Time | MemEvolve: Meta-Evolution of Agent Memory Systems | Scaling Long-Horizon Agent via Context Folding | Meta Context Engineering via Agentic Skill Evolution,Learning to Discover at Test Time | MemEvolve: Meta-Evolution of Agent Memory Systems | Scaling Long-Horizon Agent via Context Folding | Meta Context Engineering via Agentic Skill Evolution | Evolution Strategies at Scale: LLM Fine-Tuning Beyond Reinforcement Learning | Graph-R1: Towards Agentic GraphRAG Framework via End-to-end Reinforcement Learning | Towards Execution-Grounded Automated AI Research | Knapsack RL: Unlocking Exploration of LLMs via Optimizing Budget Allocation,Unsupervised Partner Design Enables Robust Ad-hoc Teamwork | From Feasible to Practical: Pareto-Optimal Synthesis Planning | Guaranteed Optimal Compositional Explanations for Neurons | OMAC: A Holistic Optimization Framework for LLM-Based Multi-Agent Collaboration
22,"Multimodal, Vision, and Perception",Vision-language reasoning and video understanding,stable_seed,22: visual / vision / reasoning / video,272,0.041,7,0.0257,0.0417,1.02,0,0.0,0.0,0.0,2437,8.96,0.0403,0.98,0.03,Bad Seeing or Bad Thinking? Rewarding Perception for Multimodal Reasoning | Are VLMs Seeing or Just Saying? Uncovering the Illusion of Visual Re-examination | 3ViewSense: Spatial and Mental Perspective Reasoning from Orthographic Views in Vision-Language Models | CLEAR: Context-Aware Learning with End-to-End Mask-Free Inference for Adaptive Subtitle Removal | DOUBT: Decoupled Object-level Understanding and Bridging via vMF-based Trustworthiness for Hallucination Detection in MLLMs | PhotoAgent: Exploratory Visual Aesthetic Planning with Large Vision Models | SpatioLM: Towards General Physical Spatial Intelligence in Vision-Language Models | A Very Big Video Reasoning Suite,A Very Big Video Reasoning Suite | Causal-JEPA: Learning World Models through Object-Level Latent Interventions | BabyVision: Visual Reasoning Beyond Language | Zooming without Zooming: Region-to-Image Distillation for Fine-Grained Multimodal Perception | Open-o3-Video: Grounded Video Reasoning with Explicit Spatio-Temporal Evidence | Context Forcing: Consistent Autoregressive Video Generation with Long Context | VideoSeeker: Native Interleaved Clue Seeking for Long Video Multi-Hop Reasoning | MemOCR: Layout-Aware Visual Memory for Efficient Long-Horizon Reasoning,DOUBT: Decoupled Object-level Understanding and Bridging via vMF-based Trustworthiness for Hallucination Detection in MLLMs | PhotoAgent: Exploratory Visual Aesthetic Planning with Large Vision Models | SpatioLM: Towards General Physical Spatial Intelligence in Vision-Language Models | CLEAR: Context-Aware Learning with End-to-End Mask-Free Inference for Adaptive Subtitle Removal | 3ViewSense: Spatial and Mental Perspective Reasoning from Orthographic Views in Vision-Language Models | Are VLMs Seeing or Just Saying? Uncovering the Illusion of Visual Re-examination | Bad Seeing or Bad Thinking? Rewarding Perception for Multimodal Reasoning
15,"Graphs, Geometry, and Representation Learning",Graph neural networks and graph learning,stable_seed,15: graph / graph neural / graphs / networks,166,0.025,4,0.0241,0.0238,0.95,0,0.0,0.0,0.0,221,1.33,0.0037,0.15,0.8,Which Algorithms Can Graph Neural Networks Learn? | MV-FGAD: Towards Efficient and Effective Federated Graph Anomaly Detection via Multi-view Learning | PhenoBrain: Phenotype-Conditioned Long-Range Communication for Multi-Modal Brain Network Analysis | Towards Hierarchy–Uniformity Equilibrium: Recovering Semantic Depth in Hypergraph Contrastive Learning | Supervised Graph Contrastive Learning for Gene Regulatory Networks | Is Fixing Schema Graphs Necessary? Full-Resolution Graph Structure Learning for Relational Deep Learning | Graph is a Substrate Across Data Modalities | Rel-MOSS: Towards Imbalanced Relational Deep Learning on Relational Databases,"Supervised Graph Contrastive Learning for Gene Regulatory Networks | Is Fixing Schema Graphs Necessary? Full-Resolution Graph Structure Learning for Relational Deep Learning | Graph is a Substrate Across Data Modalities | Rel-MOSS: Towards Imbalanced Relational Deep Learning on Relational Databases | Learning to Approximate Uniform Facility Location via Graph Neural Networks | Pruning at Initialisation through the lens of Graphon Limit: Convergence, Expressivity, and Generalisation | What Makes a Desired Graph for Relational Deep Learning? | Beyond Softmax: A Natural Parameterization for Categorical Random Variables",MV-FGAD: Towards Efficient and Effective Federated Graph Anomaly Detection via Multi-view Learning | PhenoBrain: Phenotype-Conditioned Long-Range Communication for Multi-Modal Brain Network Analysis | Towards Hierarchy–Uniformity Equilibrium: Recovering Semantic Depth in Hypergraph Contrastive Learning | Which Algorithms Can Graph Neural Networks Learn?
28,"Theory, Optimization, and Algorithms","Convex, stochastic, and nonconvex optimization",stable_seed,28: convergence / optimization / stochastic / convex,127,0.0192,3,0.0236,0.0179,0.93,0,0.0,0.0,0.0,413,3.25,0.0068,0.36,0.58,Non-Euclidean Gradient Descent Operates at the Edge of Stability | On the Convergence Rate of LoRA Gradient Descent | Asymmetric Perturbation in Solving Bilinear Saddle-Point Optimization | On the Role of Batch Size in Stochastic Conditional Gradient Methods | LiMuon: Light and Fast Muon Optimizer for Large Models | RMNP: Row-Momentum Normalized Preconditioning for Scalable Matrix-Based Optimization | Momentum Further Constrains Sharpness at the Edge of Stochastic Stability | KromHC: Manifold-Constrained Hyper-Connections with Kronecker-Product Residual Matrices,On the Role of Batch Size in Stochastic Conditional Gradient Methods | LiMuon: Light and Fast Muon Optimizer for Large Models | RMNP: Row-Momentum Normalized Preconditioning for Scalable Matrix-Based Optimization | Momentum Further Constrains Sharpness at the Edge of Stochastic Stability | KromHC: Manifold-Constrained Hyper-Connections with Kronecker-Product Residual Matrices | Lions and Muons: Optimization via Stochastic Frank-Wolfe | Zeroth-Order Optimization at the Edge of Stability | A Sketch-and-Project Analysis of Subsampled Natural Gradient Algorithms,Asymmetric Perturbation in Solving Bilinear Saddle-Point Optimization | On the Convergence Rate of LoRA Gradient Descent | Non-Euclidean Gradient Descent Operates at the Edge of Stability
19,Systems and Efficient Foundation Models,Quantization and low-precision training/inference,stable_seed,19: quantization / bit / precision / low,88,0.0133,2,0.0227,0.0119,0.9,0,0.0,0.0,0.0,467,5.31,0.0077,0.58,0.31,CAT-Q: Cost-efficient and Accurate Ternary Quantization for LLMs | ReQAT: Achieving Full-Precision Reasoning Accuracy with 4-bit Floating-Point Quantization-Aware Training | LLMs as Noisy Channels: A Shannon Perspective on Model Capacity and Scaling Laws | INT vs. FP: A Comprehensive Study of Fine-Grained Low-bit Quantization Formats | Scaling Law for Quantization-Aware Training | Quant VideoGen: Auto-Regressive Long Video Generation via 2-Bit KV-Cache Quantization | NanoQuant: Efficient Sub-1-bit Quantization of Large Language Models | ECO: Quantized Training without Full-Precision Master Weights,LLMs as Noisy Channels: A Shannon Perspective on Model Capacity and Scaling Laws | INT vs. FP: A Comprehensive Study of Fine-Grained Low-bit Quantization Formats | Scaling Law for Quantization-Aware Training | Quant VideoGen: Auto-Regressive Long Video Generation via 2-Bit KV-Cache Quantization | NanoQuant: Efficient Sub-1-bit Quantization of Large Language Models | ECO: Quantized Training without Full-Precision Master Weights | Model-Preserving Adaptive Rounding | WUSH: Near-Optimal Adaptive Transforms for LLM Quantization,CAT-Q: Cost-efficient and Accurate Ternary Quantization for LLMs | ReQAT: Achieving Full-Precision Reasoning Accuracy with 4-bit Floating-Point Quantization-Aware Training
7,"Theory, Optimization, and Algorithms",Statistical learning theory and regression,needs_review,7: theory / regression / bounds / risk,180,0.0272,4,0.0222,0.0238,0.88,1,0.0056,0.1111,4.09,373,2.07,0.0062,0.23,0.65,"To Grok Grokking: Provable Grokking in Ridge Regression | Optimal Decision-Making Based on Prediction Sets | Joint Learning in the Gaussian Single Index Model | Mixtures Closest To A Given Measure: A Semidefinite Programming Approach | Multi-Distribution Robust Conformal Prediction | Fast kernel methods: Sobolev, physics-informed, and additive models | Generalization of Gibbs and Langevin Monte Carlo Algorithms in the Interpolation Regime | Logit Distance Bounds Representational Similarity","Multi-Distribution Robust Conformal Prediction | Fast kernel methods: Sobolev, physics-informed, and additive models | Generalization of Gibbs and Langevin Monte Carlo Algorithms in the Interpolation Regime | Logit Distance Bounds Representational Similarity | Conditional Coverage Diagnostics for Conformal Prediction | Approximating f -Divergences with Rank Statistics | Optimization with Access to Auxiliary Information | Performative Learning Theory",Joint Learning in the Gaussian Single Index Model | Mixtures Closest To A Given Measure: A Semidefinite Programming Approach | Optimal Decision-Making Based on Prediction Sets | To Grok Grokking: Provable Grokking in Ridge Regression
12,"Safety, Governance, Privacy, and Society","Adversarial safety, attacks, and security",stable_seed,12: safety / attacks / attack / social aspects,245,0.037,5,0.0204,0.0298,0.81,1,0.0041,0.1111,3.01,1265,5.16,0.0209,0.57,0.24,The Obfuscation Atlas: Mapping Where Honesty Emerges in RLVR with Deception Probes | Jailbreak Foundry: From Papers to Runnable Attacks for Reproducible Benchmarking | Quantifying Frontier LLM Capabilities for Container Sandbox Escape | When the Prompt Becomes Visual: Vision-Centric Jailbreak Attacks for Large Image Editing Models | Robust Harmful Features Under Jailbreak Attacks: Mechanistic Evidence from Attention Head Specialization in Large Language Models | The Assistant Axis: Situating and Stabilizing the Default Persona of Language Models | Is Vibe Coding Safe? Benchmarking Vulnerability of Agent-Generated Code in Real-World Tasks | Think Twice Before You Act: Enhancing Agent Behavioral Safety with Thought Correction,The Assistant Axis: Situating and Stabilizing the Default Persona of Language Models | Is Vibe Coding Safe? Benchmarking Vulnerability of Agent-Generated Code in Real-World Tasks | Think Twice Before You Act: Enhancing Agent Behavioral Safety with Thought Correction | OpenDeception: Learning Deception and Trust in Human–AI Interaction via Multi-Agent Simulation | Are Your Agents Upward Deceivers? | Position: Adversarial ML for LLMs Is Not Making Any Progress | Exploration Hacking: LLMs Can Learn to Resist RL Training | Safety Alignment of LMs via Non-cooperative Games,Robust Harmful Features Under Jailbreak Attacks: Mechanistic Evidence from Attention Head Specialization in Large Language Models | Quantifying Frontier LLM Capabilities for Container Sandbox Escape | When the Prompt Becomes Visual: Vision-Centric Jailbreak Attacks for Large Image Editing Models | Jailbreak Foundry: From Papers to Runnable Attacks for Reproducible Benchmarking | The Obfuscation Atlas: Mapping Where Honesty Emerges in RLVR with Deception Probes
16,"Robotics, Embodiment, and World Models",Vision-language-action models and robotic manipulation,stable_seed,16: action / robotics / vla / applications robotics,195,0.0294,4,0.0205,0.0238,0.81,0,0.0,0.0,0.0,3743,19.19,0.0619,2.11,-1.3,RoboMME: Benchmarking and Understanding Memory for Robotic Generalist Policies | From Pixels to Tokens: A Systematic Study of Latent Action Supervision for Vision-Language-Action Models | XR-1: Towards Versatile Vision-Language-Action Models via Learning Unified Vision-Motion Representations | From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model | Learning Latent Action World Models In The Wild | Discrete Diffusion VLA: Bringing Discrete Diffusion to Action Decoding in Vision-Language-Action Policies | Temporal Straightening for Latent Planning | LangForce: Bayesian Decomposition of Vision Language Action Models via Latent Action Queries,Learning Latent Action World Models In The Wild | Discrete Diffusion VLA: Bringing Discrete Diffusion to Action Decoding in Vision-Language-Action Policies | Temporal Straightening for Latent Planning | LangForce: Bayesian Decomposition of Vision Language Action Models via Latent Action Queries | Vision-Language-Action Pretraining from Large-Scale Human Videos | World Guidance: World Modeling in Condition Space for Action Generation | RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation | CaP-X: A Framework for Benchmarking and Improving Coding Agents for Robot Manipulation,From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model | XR-1: Towards Versatile Vision-Language-Action Models via Learning Unified Vision-Motion Representations | From Pixels to Tokens: A Systematic Study of Latent Action Supervision for Vision-Language-Action Models | RoboMME: Benchmarking and Understanding Memory for Robotic Generalist Policies
4,Reinforcement Learning and Control,"Core RL, offline RL, and policy optimization",stable_seed,4: reinforcement learning / reinforcement / policy / rl,312,0.0471,6,0.0192,0.0357,0.76,0,0.0,0.0,0.0,1875,6.01,0.031,0.66,0.1,"On Computation and Reinforcement Learning | Learning Human-Robot Collaboration via Heterogeneous-Agent Lyapunov Policy Optimization | Distributional Inverse Reinforcement Learning | Chebyshev Policies and the Mountain Car Problem: Reinforcement Learning for Low-dimensional Control Tasks | Stabilizing the Q-Gradient Field for Policy Smoothness in Actor-Critic Methods | Video-Based Optimal Transport for Feedback-Efficient Offline Preference-Based Reinforcement Learning | Reinforcement Learning with Verifiable Rewards: GRPO's Loss, Dynamics, and Success Amplification | Stabilizing MoE Reinforcement Learning by Aligning Training and Inference Routers","Reinforcement Learning with Verifiable Rewards: GRPO's Loss, Dynamics, and Success Amplification | Stabilizing MoE Reinforcement Learning by Aligning Training and Inference Routers | How Does the Lagrangian Guide Safe Reinforcement Learning through Diffusion Models? | Just-In-Time Reinforcement Learning: Continual Learning in LLM Agents Without Gradient Updates | T$^2$PO: Uncertainty-Guided Exploration Control for Stable Multi-Turn Agentic Reinforcement Learning | Parallel Stochastic Gradient-Based Planning for World Models | Posterior Behavioral Cloning: Pretraining BC Policies for Efficient RL Finetuning | Synthesizing world models for bilevel planning",Video-Based Optimal Transport for Feedback-Efficient Offline Preference-Based Reinforcement Learning | Stabilizing the Q-Gradient Field for Policy Smoothness in Actor-Critic Methods | Chebyshev Policies and the Mountain Car Problem: Reinforcement Learning for Low-dimensional Control Tasks | Distributional Inverse Reinforcement Learning | Learning Human-Robot Collaboration via Heterogeneous-Agent Lyapunov Policy Optimization | On Computation and Reinforcement Learning
39,"AI for Science, Health, and Neuro",Time series and forecasting applications,needs_review,39: time series / series / forecasting / time,160,0.0241,3,0.0187,0.0179,0.74,0,0.0,0.0,0.0,497,3.11,0.0082,0.34,0.4,"From Text to Forecasts: Bridging Modality Gap with Temporal Evolution Semantic Space | ConFlux: Multivariate Time Series in Flux, One Unified Forecast in Confluence | Scalable Event Cloud Network for Event-based Classification | TSRBench: A Comprehensive Multi-task Multi-modal Time Series Reasoning Benchmark for Generalist Models | Understanding Self-Supervised Learning via Latent Distribution Matching | OpenTSLM: Time-Series Language Models for Reasoning over Multivariate Medical Text- and Time-Series Data | Position: Why a Dynamical Systems Perspective is Needed to Advance Time Series Modeling | StarEmbed: Benchmarking Time Series Foundation Models on Astronomical Observations of Variable Stars","TSRBench: A Comprehensive Multi-task Multi-modal Time Series Reasoning Benchmark for Generalist Models | Understanding Self-Supervised Learning via Latent Distribution Matching | OpenTSLM: Time-Series Language Models for Reasoning over Multivariate Medical Text- and Time-Series Data | Position: Why a Dynamical Systems Perspective is Needed to Advance Time Series Modeling | StarEmbed: Benchmarking Time Series Foundation Models on Astronomical Observations of Variable Stars | TimeOmni-VL: Unified Models for Time Series Understanding and Generation | It's TIME: Towards the Next Generation of Time Series Forecasting Benchmarks | TimeAutoDiff: A Unified Framework for Generation, Imputation, Forecasting, and Time-Varying Metadata Conditioning of Heterogeneous Time Series Tabular Data","ConFlux: Multivariate Time Series in Flux, One Unified Forecast in Confluence | Scalable Event Cloud Network for Event-based Classification | From Text to Forecasts: Bridging Modality Gap with Temporal Evolution Semantic Space"
2,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",needs_review,2: reward / reinforcement learning / reinforcement / rewards,164,0.0247,3,0.0183,0.0179,0.72,0,0.0,0.0,0.0,4506,27.48,0.0746,3.01,-2.29,"Maximum Likelihood Reinforcement Learning | Reinforcement Learning with Evolving Rubrics for Deep Research | Mitigating Reward Hacking in RLHF via Bayesian Non-negative Reward Modeling | Reinforcement Learning via Self-Distillation | Agent Learning via Early Experience | GDPO: Group reward-Decoupled Normalization Policy Optimization for Multi-reward RL Optimization | Training AI Co-Scientists Using Rubric Rewards | RLAnything: Forge Environment, Policy, and Reward Model in Completely Dynamic RL System","Reinforcement Learning via Self-Distillation | Agent Learning via Early Experience | GDPO: Group reward-Decoupled Normalization Policy Optimization for Multi-reward RL Optimization | Training AI Co-Scientists Using Rubric Rewards | RLAnything: Forge Environment, Policy, and Reward Model in Completely Dynamic RL System | Statistical Impossibility and Possibility of Aligning LLMs with Human Preferences: From Condorcet Paradox to Nash Equilibrium | Reward Modeling from Natural Language Human Feedback | GRPO is Secretly a Process Reward Model",Mitigating Reward Hacking in RLHF via Bayesian Non-negative Reward Modeling | Reinforcement Learning with Evolving Rubrics for Deep Research | Maximum Likelihood Reinforcement Learning
