audit_type,id,name,readiness_tier,researcher_use,review_rows,reviewed_rows,remaining_rows,taxonomy_review_rows,low_confidence_rows,program_or_award_rows,github_rows,primary_risk,evidence_summary,next_action,selection_mix
area,Systems and Efficient Foundation Models,Systems and Efficient Foundation Models,high,Use for area-level orientation; avoid subarea-level claims until queued papers are reviewed.,16,0,16,8,2,9,9,8 queued taxonomy-boundary rows; 2 low-confidence evidence rows; historical baseline interpretation needed,515 papers; taxonomy share 7.8%; oral enrichment 0.69x; public enrichment 1.31x; historical delta +2.1 pp,"Review the area validation packet, starting with boundary, low-confidence, and public/program divergence rows.",fault_line_representative: 6; public_attention_not_program_signal: 4; program_signal_low_public_attention: 3; taxonomy_boundary_cluster: 3
area,"Theory, Optimization, and Algorithms","Theory, Optimization, and Algorithms",high,Use for area-level orientation; avoid subarea-level claims until queued papers are reviewed.,16,0,16,9,4,10,5,9 queued taxonomy-boundary rows; 4 low-confidence evidence rows; large public/program signal gap,737 papers; taxonomy share 11.1%; oral enrichment 1.45x; public enrichment 0.46x; historical delta +0.8 pp,"Review the area validation packet, starting with boundary, low-confidence, and public/program divergence rows.",fault_line_representative: 6; public_attention_not_program_signal: 4; program_signal_low_public_attention: 4; taxonomy_boundary_cluster: 2
claim,C01,LLM reasoning center of gravity,high_priority_unreviewed,Use only as a directional landscape claim until the packet is reviewed.,14,0,14,12,1,8,11,Area boundaries include general LLM training/evaluation and some diffusion-language papers; paper-level taxonomy still needs review.,1099 taxonomy papers (16.6%); historical delta +2.9 pp; public-attention enrichment 2.03x.,"Manually inspect boundary clusters 14, 21, and 24 before making subarea-level claims.",llm_boundary_cluster: 8; llm_high_attention_core: 6
claim,C02,Infrastructure and agentic workloads,high_priority_unreviewed,Use only as a directional landscape claim until the packet is reviewed.,14,0,14,5,1,7,14,Historical comparison uses a keyword scorer; ICML 2025 and NeurIPS 2025 lack static abstracts in the current pull.,"Systems historical delta +2.1 pp, relative 1.68x; Agents historical delta +2.1 pp, relative 1.44x.",Read top positive-delta papers and check whether deltas reflect real venue emphasis or metadata/topic-label differences.,systems_agents_program_signal: 7; systems_agents_public_signal: 7
claim,C03,Program committee attention,high_priority_unreviewed,Use only as a directional landscape claim until the packet is reviewed.,14,0,14,3,3,14,5,"Oral/award counts are program signals, not full quality labels; award counts are small and volatile.",Theory oral enrichment 1.45x vs public enrichment 0.46x; Safety oral enrichment 1.41x and 3 awards vs public enrichment 0.51x.,Review low-public/high-program papers to extract the technical reasons for committee interest.,program_high_public_lower: 14
claim,C04,Public attention mismatch,directional_unreviewed,Use as a hypothesis or reading guide.,12,0,12,0,2,3,9,AlphaXiv likely overweights shareable VLA/world-model work and project-page traffic.,195 papers (2.9%); public-attention enrichment 2.11x vs oral enrichment 0.81x.,"Inspect whether the high-attention papers are benchmarks, demos, or reusable models rather than core ICML program emphasis.",robotics_public_not_program: 9; robotics_program_anchor: 3
claim,C05,Neighboring-venue contrast,directional_unreviewed,Use as a hypothesis or reading guide.,14,0,14,1,1,4,9,This is the area most sensitive to venue scope and title/topic classification; ICLR/NeurIPS vision-heavy shares may dominate the baseline average.,"889 taxonomy papers (13.4%); historical delta -3.1 pp, relative 0.82x.","Break multimodal into vision-language reasoning, video, 3D, and robustness before interpreting the aggregate underweight.",multimodal_high_attention: 10; multimodal_subarea_anchor: 4
claim,C06,External trend context,context_only_unreviewed,"Use as background context, not as a main thesis.",16,0,16,6,1,0,14,"arXiv queries are broad, overlapping, and not acceptance or quality signals.","Multimodal, Vision, and Perception: 94.6%; LLM Reasoning, Post-Training, and RLVR: 59.9%; Safety, Governance, Privacy, and Society: 53.6%; Systems and Efficient Foundation Models: 43.3%","Use accepted-paper corpora, not arXiv counts, for publication-ready year-over-year venue claims.",fast_arxiv_area_sample: 16
claim,C07,Artifact visibility,directional_unreviewed,Use as a hypothesis or reading guide.,16,0,16,4,0,1,16,GitHub metadata comes from AlphaXiv and does not prove runnable reproduction; some high-star links are templates or index repos.,"Robotics, Embodiment, and World Models: GitHub URL share 38.0%; Agents, Code, and Tool Use: GitHub URL share 32.9%; LLM Reasoning, Post-Training, and RLVR: GitHub URL share 32.1%; Generative Modeling: GitHub URL share 31.1%","Clone/check high-signal repositories and separate code, benchmark, dataset, checkpoint, and project-page links.",artifact_high_star: 9; artifact_manual_check: 7
claim,C08,Validation priority,workflow_claim_unreviewed,"Use to describe the validation workflow, not the paper landscape.",18,0,18,18,3,7,13,The queue organizes review but does not mean evidence fields have been checked.,21 of 42 semantic clusters are marked needs_review; validation queue contains 192 papers across 12 areas.,Fill validation packets and reconcile reviewed fields back into a checked CSV.,taxonomy_boundary_cluster_anchor: 12; taxonomy_boundary_program_public_fill: 6
