global_review_rank,review_priority_score,review_phase,priority_reason,event_id,title,area,subarea,claim_ids,claim_themes,in_claim_queue,in_area_queue,claim_selection_reasons,area_selection_reasons,review_focus,is_oral,award,public_total_votes,github_url,github_stars,needs_manual_check_reason,taxonomy_review_status,evidence_confidence,primary_contribution_type,method_families,evaluation_settings,manual_fields_to_fill,claim_packet_links,claim_dossier_links,area_packet_link,area_briefing_link,icml_url,alphaxiv_url
11,67.13,main_thesis_claims,in claim-validation queue; supports priority claim(s) C02; in area-validation queue; priority report area; oral/program signal; taxonomy boundary needs review; artifact-visible; moderate AlphaXiv attention,66212,Controlled LLM Training on Spectral Sphere,Systems and Efficient Foundation Models,"Large-scale training, optimizers, and model architecture",C02; C08,Infrastructure and agentic workloads; Validation priority,true,true,systems_agents_program_signal; taxonomy_boundary_program_public_fill,fault_line_representative,Check whether program-selected papers substantiate systems/agents emphasis. | Use high-signal papers to stress-test taxonomy boundaries.,true,,115,https://github.com/Unakar/Spectral-Sphere-Optimizer,130,,needs_review,medium,Theory / proof,Compression / efficiency,robotics/embodied; language/llm; theory/synthetic,claim: manual_claim_support/manual_taxonomy_judgment/manual_artifact_judgment; area: manual_validated/manual_primary_contribution_type/manual_method_family/manual_artifact_status/manual_fault_line_relevance,reports/claim_validation_packets/c02-infrastructure-and-agentic-workloads.md; reports/claim_validation_packets/c08-validation-priority.md,reports/claim_evidence_dossiers/c02-infrastructure-and-agentic-workloads.md; reports/claim_evidence_dossiers/c08-validation-priority.md,reports/validation_packets/systems-and-efficient-foundation-models.md,reports/area_briefing_cards/systems-and-efficient-foundation-models.md,https://icml.cc/virtual/2026/poster/66212,https://www.alphaxiv.org/abs/2601.08393
12,67.008,main_thesis_claims,in claim-validation queue; supports priority claim(s) C01; in area-validation queue; priority report area; taxonomy boundary needs review; artifact-visible; high AlphaXiv attention; public attention without program signal,64121,Reinforcement Learning via Self-Distillation,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",C01; C06; C08,LLM reasoning center of gravity; External trend context; Validation priority,true,true,fast_arxiv_area_sample; llm_high_attention_core; taxonomy_boundary_cluster_anchor,public_attention_not_program_signal,Check whether high attention supports the center-of-gravity claim. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution. | Decide whether this cluster should remain in the assigned area/subarea or be relabeled.,false,,718,https://github.com/lasgroup/SDPO,1008,,needs_review,medium,Benchmark / evaluation,RL / policy optimization; LLM post-training; Reasoning / test-time compute; Agents / tool use; Diffusion / flow,math/code/verifiable; language/llm,claim: manual_claim_support/manual_taxonomy_judgment/manual_artifact_judgment; area: manual_validated/manual_primary_contribution_type/manual_method_family/manual_artifact_status/manual_fault_line_relevance,reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md; reports/claim_validation_packets/c06-external-trend-context.md; reports/claim_validation_packets/c08-validation-priority.md,reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md; reports/claim_evidence_dossiers/c06-external-trend-context.md; reports/claim_evidence_dossiers/c08-validation-priority.md,reports/validation_packets/llm-reasoning-post-training-and-rlvr.md,reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,https://icml.cc/virtual/2026/poster/64121,https://www.alphaxiv.org/abs/2601.20802
13,67.0,main_thesis_claims,in claim-validation queue; supports priority claim(s) C01; in area-validation queue; priority report area; oral/program signal; taxonomy boundary needs review; moderate AlphaXiv attention,65446,Activation Oracles: Training and Evaluating LLMs as General-Purpose Activation Explainers,"LLM Reasoning, Post-Training, and RLVR","General LLM training, evaluation, and alignment",C01,LLM reasoning center of gravity,true,true,llm_boundary_cluster,fault_line_representative,Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper.,true,,75,,0,,needs_review,medium,Position / conceptual,LLM post-training,language/llm,claim: manual_claim_support/manual_taxonomy_judgment/manual_artifact_judgment; area: manual_validated/manual_primary_contribution_type/manual_method_family/manual_artifact_status/manual_fault_line_relevance,reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md,reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md,reports/validation_packets/llm-reasoning-post-training-and-rlvr.md,reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,https://icml.cc/virtual/2026/poster/65446,https://www.alphaxiv.org/abs/2512.15674
14,66.489,main_thesis_claims,in claim-validation queue; supports priority claim(s) C01; in area-validation queue; priority report area; taxonomy boundary needs review; artifact-visible; high AlphaXiv attention; public attention without program signal,63333,GDPO: Group reward-Decoupled Normalization Policy Optimization for Multi-reward RL Optimization,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",C01; C06,LLM reasoning center of gravity; External trend context,true,true,fast_arxiv_area_sample; llm_high_attention_core,public_attention_not_program_signal,Check whether high attention supports the center-of-gravity claim. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,false,,507,https://github.com/NVlabs/GDPO,489,,needs_review,medium,Theory / proof,RL / policy optimization; LLM post-training; Reasoning / test-time compute; Agents / tool use,math/code/verifiable; language/llm,claim: manual_claim_support/manual_taxonomy_judgment/manual_artifact_judgment; area: manual_validated/manual_primary_contribution_type/manual_method_family/manual_artifact_status/manual_fault_line_relevance,reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md; reports/claim_validation_packets/c06-external-trend-context.md,reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md; reports/claim_evidence_dossiers/c06-external-trend-context.md,reports/validation_packets/llm-reasoning-post-training-and-rlvr.md,reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,https://icml.cc/virtual/2026/poster/63333,https://www.alphaxiv.org/abs/2601.05242
15,66.367,main_thesis_claims,in claim-validation queue; supports priority claim(s) C02; in area-validation queue; priority report area; taxonomy boundary needs review; artifact-visible; high AlphaXiv attention; public attention without program signal,61870,mHC: Manifold-Constrained Hyper-Connections,Systems and Efficient Foundation Models,"Large-scale training, optimizers, and model architecture",C02; C06; C08,Infrastructure and agentic workloads; External trend context; Validation priority,true,true,fast_arxiv_area_sample; systems_agents_public_signal; taxonomy_boundary_cluster_anchor,public_attention_not_program_signal,Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution. | Decide whether this cluster should remain in the assigned area/subarea or be relabeled.,false,,696,https://github.com/tokenbender/mHC-manifold-constrained-hyper-connections,367,,needs_review,medium,System / infrastructure,Graphs / geometry,language/llm,claim: manual_claim_support/manual_taxonomy_judgment/manual_artifact_judgment; area: manual_validated/manual_primary_contribution_type/manual_method_family/manual_artifact_status/manual_fault_line_relevance,reports/claim_validation_packets/c02-infrastructure-and-agentic-workloads.md; reports/claim_validation_packets/c06-external-trend-context.md; reports/claim_validation_packets/c08-validation-priority.md,reports/claim_evidence_dossiers/c02-infrastructure-and-agentic-workloads.md; reports/claim_evidence_dossiers/c06-external-trend-context.md; reports/claim_evidence_dossiers/c08-validation-priority.md,reports/validation_packets/systems-and-efficient-foundation-models.md,reports/area_briefing_cards/systems-and-efficient-foundation-models.md,https://icml.cc/virtual/2026/poster/61870,https://www.alphaxiv.org/abs/2512.24880
16,66.346,main_thesis_claims,in claim-validation queue; supports priority claim(s) C02; in area-validation queue; priority report area; taxonomy boundary needs review; artifact-visible; high AlphaXiv attention; public attention without program signal,62943,Evolution Strategies at the Hyperscale,Systems and Efficient Foundation Models,"Large-scale training, optimizers, and model architecture",C02; C06,Infrastructure and agentic workloads; External trend context,true,true,fast_arxiv_area_sample; systems_agents_public_signal,public_attention_not_program_signal,Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,false,,405,https://github.com/ESHyperscale/HyperscaleES,346,,needs_review,medium,System / infrastructure,RL / policy optimization; LLM post-training; Reasoning / test-time compute,language/llm; theory/synthetic,claim: manual_claim_support/manual_taxonomy_judgment/manual_artifact_judgment; area: manual_validated/manual_primary_contribution_type/manual_method_family/manual_artifact_status/manual_fault_line_relevance,reports/claim_validation_packets/c02-infrastructure-and-agentic-workloads.md; reports/claim_validation_packets/c06-external-trend-context.md,reports/claim_evidence_dossiers/c02-infrastructure-and-agentic-workloads.md; reports/claim_evidence_dossiers/c06-external-trend-context.md,reports/validation_packets/systems-and-efficient-foundation-models.md,reports/area_briefing_cards/systems-and-efficient-foundation-models.md,https://icml.cc/virtual/2026/poster/62943,https://www.alphaxiv.org/abs/2511.16652
17,66.297,main_thesis_claims,in claim-validation queue; supports priority claim(s) C02; in area-validation queue; priority report area; taxonomy boundary needs review; artifact-visible; high AlphaXiv attention; public attention without program signal,65888,Learning to Discover at Test Time,"Agents, Code, and Tool Use","Multi-agent search, planning, and coordination",C02; C08,Infrastructure and agentic workloads; Validation priority,true,true,systems_agents_public_signal; taxonomy_boundary_cluster_anchor,public_attention_not_program_signal,Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover. | Decide whether this cluster should remain in the assigned area/subarea or be relabeled.,false,,529,https://github.com/sayantann11/all-classification-templetes-for-ML,297,,needs_review,medium,System / infrastructure,RL / policy optimization; Reasoning / test-time compute; Agents / tool use; Diffusion / flow,math/code/verifiable; language/llm,claim: manual_claim_support/manual_taxonomy_judgment/manual_artifact_judgment; area: manual_validated/manual_primary_contribution_type/manual_method_family/manual_artifact_status/manual_fault_line_relevance,reports/claim_validation_packets/c02-infrastructure-and-agentic-workloads.md; reports/claim_validation_packets/c08-validation-priority.md,reports/claim_evidence_dossiers/c02-infrastructure-and-agentic-workloads.md; reports/claim_evidence_dossiers/c08-validation-priority.md,reports/validation_packets/agents-code-and-tool-use.md,reports/area_briefing_cards/agents-code-and-tool-use.md,https://icml.cc/virtual/2026/poster/65888,https://www.alphaxiv.org/abs/2601.16175
18,66.148,main_thesis_claims,in claim-validation queue; supports priority claim(s) C01; in area-validation queue; priority report area; taxonomy boundary needs review; artifact-visible; high AlphaXiv attention; public attention without program signal,64488,Agent Learning via Early Experience,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",C01; C06,LLM reasoning center of gravity; External trend context,true,true,fast_arxiv_area_sample; llm_high_attention_core,public_attention_not_program_signal,Check whether high attention supports the center-of-gravity claim. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,false,,532,https://github.com/jettbrains/-L-,148,,needs_review,medium,Method / algorithm,RL / policy optimization; LLM post-training; Reasoning / test-time compute; Agents / tool use,math/code/verifiable; language/llm,claim: manual_claim_support/manual_taxonomy_judgment/manual_artifact_judgment; area: manual_validated/manual_primary_contribution_type/manual_method_family/manual_artifact_status/manual_fault_line_relevance,reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md; reports/claim_validation_packets/c06-external-trend-context.md,reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md; reports/claim_evidence_dossiers/c06-external-trend-context.md,reports/validation_packets/llm-reasoning-post-training-and-rlvr.md,reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,https://icml.cc/virtual/2026/poster/64488,https://www.alphaxiv.org/abs/2510.08558
19,63.644,main_thesis_claims,in claim-validation queue; supports priority claim(s) C01; in area-validation queue; priority report area; oral/program signal; taxonomy boundary needs review; artifact-visible,64095,WeDLM: Reconciling Diffusion Language Models with Standard Causal Attention for Fast Inference,"LLM Reasoning, Post-Training, and RLVR",Diffusion language models and decoding,C01,LLM reasoning center of gravity,true,true,llm_boundary_cluster,fault_line_representative,Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper.,true,,60,https://github.com/Tencent/WeDLM,644,,needs_review,medium,Benchmark / evaluation,Reasoning / test-time compute; Diffusion / flow; Transformer / attention; Causal / data-centric,language/llm,claim: manual_claim_support/manual_taxonomy_judgment/manual_artifact_judgment; area: manual_validated/manual_primary_contribution_type/manual_method_family/manual_artifact_status/manual_fault_line_relevance,reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md,reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md,reports/validation_packets/llm-reasoning-post-training-and-rlvr.md,reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,https://icml.cc/virtual/2026/poster/64095,https://www.alphaxiv.org/abs/2512.22737
20,63.069,artifact_and_reproducibility,in claim-validation queue; supports priority claim(s) C07; in area-validation queue; oral/program signal; GitHub artifact needs manual check; artifact-visible,66596,From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model,"Robotics, Embodiment, and World Models",Vision-language-action models and robotic manipulation,C07,Artifact visibility,true,true,artifact_manual_check,fault_line_representative,Determine whether the GitHub link is a real paper artifact or a template/index/project page.,true,,14,https://github.com/eliahuhorwitz/Academic-project-page-template,5069,template_or_index_like_url,stable_seed,medium,Application / domain study,LLM post-training; Causal / data-centric,vision/video; robotics/embodied; language/llm,claim: manual_claim_support/manual_taxonomy_judgment/manual_artifact_judgment; area: manual_validated/manual_primary_contribution_type/manual_method_family/manual_artifact_status/manual_fault_line_relevance,reports/claim_validation_packets/c07-artifact-visibility.md,reports/claim_evidence_dossiers/c07-artifact-visibility.md,reports/validation_packets/robotics-embodiment-and-world-models.md,reports/area_briefing_cards/robotics-embodiment-and-world-models.md,https://icml.cc/virtual/2026/poster/66596,https://www.alphaxiv.org/abs/2605.22671
21,63.048,main_thesis_claims,in claim-validation queue; supports priority claim(s) C01; in area-validation queue; priority report area; taxonomy boundary needs review; artifact-visible; high AlphaXiv attention,61180,Latent Collaboration in Multi-Agent Systems,"LLM Reasoning, Post-Training, and RLVR",Reasoning models and chain-of-thought behavior,C01; C08,LLM reasoning center of gravity; Validation priority,true,true,llm_high_attention_core; taxonomy_boundary_cluster_anchor,taxonomy_boundary_cluster,Check whether high attention supports the center-of-gravity claim. | Decide whether this cluster should remain in the assigned area/subarea or be relabeled.,false,,402,https://github.com/Gen-Verse/LatentMAS,1048,,needs_review,medium,Benchmark / evaluation,Reasoning / test-time compute; Agents / tool use,math/code/verifiable; language/llm; theory/synthetic,claim: manual_claim_support/manual_taxonomy_judgment/manual_artifact_judgment; area: manual_validated/manual_primary_contribution_type/manual_method_family/manual_artifact_status/manual_fault_line_relevance,reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md; reports/claim_validation_packets/c08-validation-priority.md,reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md; reports/claim_evidence_dossiers/c08-validation-priority.md,reports/validation_packets/llm-reasoning-post-training-and-rlvr.md,reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,https://icml.cc/virtual/2026/poster/61180,https://www.alphaxiv.org/abs/2511.20639
