claim_id,claim_theme,claim_strength,priority_claim,claim_review_rank,event_id,title,area,subarea,selection_reason,pre_review_bucket,pre_review_rationale,keyword_hits,is_oral,award,public_total_votes,github_url,github_stars,needs_manual_check_reason,taxonomy_review_status,evidence_confidence,abstract_excerpt,manual_claim_support,manual_taxonomy_judgment,manual_artifact_judgment,url,alphaxiv_url
C01,LLM reasoning center of gravity,strong_for_landscape,true,11,64488,Agent Learning via Early Experience,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",llm_high_attention_core,likely_supports,"Abstract/title centrally discuss LLMs, reasoning, memorization, diffusion language models, or RL/post-training.",llm; reasoning; post-training; reinforcement learning; reward,false,,532,https://github.com/jettbrains/-L-,148,,needs_review,medium,"A long-term goal of language agents is to learn and improve through their own experience, ultimately outperforming humans in complex, real-world tasks. However, training agents from experience data with reinforcement learning remains difficult in many environments, which either lack verifiable rewards (e.g., websites) or require inefficient long-horizon rollouts (e.g., multi-turn tool use). As a result, most current agents rely on supervised fine-tuning on expert data, which is challenging to scale and...",,,,https://icml.cc/virtual/2026/poster/64488,https://www.alphaxiv.org/abs/2510.08558
C01,LLM reasoning center of gravity,strong_for_landscape,true,12,63333,GDPO: Group reward-Decoupled Normalization Policy Optimization for Multi-reward RL Optimization,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",llm_high_attention_core,likely_supports,"Abstract/title centrally discuss LLMs, reasoning, memorization, diffusion language models, or RL/post-training.",language model; llm; reasoning; post-training; reinforcement learning; reward; grpo,false,,507,https://github.com/NVlabs/GDPO,489,,needs_review,medium,"As language models become increasingly capable, users expect them to provide not only accurate responses but also behaviors aligned with diverse human preferences across a variety of scenarios. To achieve this, Reinforcement learning (RL) pipelines have begun incorporating multiple rewards, each capturing a distinct preference, to guide models toward these desired behaviors. However, recent work has defaulted to apply Group Relative Policy Optimization (GRPO) under multi-reward setting without examining its...",,,,https://icml.cc/virtual/2026/poster/63333,https://www.alphaxiv.org/abs/2601.05242
C01,LLM reasoning center of gravity,strong_for_landscape,true,13,63850,"On the Interplay of Pre-Training, Mid-Training, and RL on Reasoning Language Models","LLM Reasoning, Post-Training, and RLVR",RL for reasoning models and verifiable rewards,llm_high_attention_core,likely_supports,"Abstract/title centrally discuss LLMs, reasoning, memorization, diffusion language models, or RL/post-training.",language model; llm; reasoning; post-training; reinforcement learning; reward; pre-training,false,,456,https://github.com/Interplay-LM-Reasoning/Interplay-LM-Reasoning,160,,stable_seed,medium,"Recent reinforcement learning (RL) techniques have yielded impressive reasoning improvements in language models, yet it remains unclear whether post-training truly extends a model’s reasoning ability beyond what it acquires during pre-training. A central challenge is the lack of control in modern training pipelines: large-scale pre-training corpora are opaque, mid-training is often underexamined, and RL objectives interact with unknown prior knowledge in complex ways. To resolve this ambiguity, we develop a...",,,,https://icml.cc/virtual/2026/poster/63850,https://www.alphaxiv.org/abs/2512.07783
C01,LLM reasoning center of gravity,strong_for_landscape,true,14,61180,Latent Collaboration in Multi-Agent Systems,"LLM Reasoning, Post-Training, and RLVR",Reasoning models and chain-of-thought behavior,llm_high_attention_core,likely_supports,"Abstract/title centrally discuss LLMs, reasoning, memorization, diffusion language models, or RL/post-training.",language model; llm; reasoning,false,,402,https://github.com/Gen-Verse/LatentMAS,1048,,needs_review,medium,"Multi-agent systems (MAS) extend large language models (LLMs) from independent single-model reasoning to coordinative system-level intelligence. While existing LLM agents depend on text-based mediation for reasoning and communication, we take a step forward by enabling models to collaborate directly within the continuous latent space. We introduce LatentMAS, an end-to-end training-free framework that enables pure latent collaboration among LLM agents. In LatentMAS, each agent first performs auto-regressive...",,,,https://icml.cc/virtual/2026/poster/61180,https://www.alphaxiv.org/abs/2511.20639
C02,Infrastructure and agentic workloads,moderate_to_strong,true,1,66212,Controlled LLM Training on Spectral Sphere,Systems and Efficient Foundation Models,"Large-scale training, optimizers, and model architecture",systems_agents_program_signal,likely_supports,"Abstract/title is directly about systems efficiency, agents, tools, or software/code workloads.",efficient; training; optimization,true,,115,https://github.com/Unakar/Spectral-Sphere-Optimizer,130,,needs_review,medium,"Scaling large models requires optimization strategies that ensure rapid convergence grounded in stability. Maximal Update Parametrization ($\boldsymbol{\mu}$P) provides a theoretical safeguard for width-invariant $\Theta(1)$ activation control, whereas emerging optimizers like Muon are only ""half-aligned"" with these constraints: they control updates but allow weights to drift. To address this limitation, we introduce the **Spectral Sphere Optimizer (SSO)**, which enforces strict module-wise spectral constraints...",,,,https://icml.cc/virtual/2026/poster/66212,https://www.alphaxiv.org/abs/2601.08393
C02,Infrastructure and agentic workloads,moderate_to_strong,true,2,63095,Agent0-VL: Exploring Self-Evolving Agent for Tool-Integrated Vision-Language Reasoning,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",systems_agents_program_signal,likely_supports,"Abstract/title is directly about systems efficiency, agents, tools, or software/code workloads.",agent; tool; optimization,true,,89,https://github.com/aiming-lab/Agent0,1228,,stable_seed,medium,"Large Vision-Language Models (LVLMs) have achieved remarkable progress in multimodal reasoning tasks; however, their learning remains constrained by the limitations of human-annotated supervision. Recent self-rewarding approaches attempt to overcome this constraint by allowing models to act as their own critics or reward providers. Yet, purely text-based self-evaluation struggles to verify complex visual reasoning steps and often suffers from evaluation hallucinations. To address these challenges, inspired by...",,,,https://icml.cc/virtual/2026/poster/63095,https://www.alphaxiv.org/abs/2511.19900
C02,Infrastructure and agentic workloads,moderate_to_strong,true,3,64377,$\tau^2$-Bench: Evaluating Conversational Agents in a Dual-Control Environment,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",systems_agents_program_signal,likely_supports,"Abstract/title is directly about systems efficiency, agents, tools, or software/code workloads.",agent; tool; code,true,,89,https://github.com/sierra-research/tau2-bench,1569,,stable_seed,medium,"Existing benchmarks for conversational AI agents simulate *single-control* environments, where only the AI agent can use tools to interact with the world, while the user remains a passive information provider. This differs from real-world scenarios like technical support, where users need to actively participate in modifying the state of the (shared) world. In order to address this gap, we introduce $\tau^2$-bench, with four key contributions: 1. A novel **Telecom dual-control domain** modeled as a Dec-POMDP,...",,,,https://icml.cc/virtual/2026/poster/64377,https://www.alphaxiv.org/abs/2506.07982
C02,Infrastructure and agentic workloads,moderate_to_strong,true,4,63099,daVinci-Dev: Agent-native Mid-training for Software Engineering,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",systems_agents_program_signal,likely_supports,"Abstract/title is directly about systems efficiency, agents, tools, or software/code workloads.",system; training; agent; tool; software; code; optimization,true,,52,https://github.com/sii-research/GAIR,9,,stable_seed,medium,"Recently, the frontier of Large Language Model (LLM) capabilities has shifted from single-turn code generation to agentic software engineering—a paradigm where models autonomously navigate, edit, and test complex repositories. While post-training methods have become the de facto approach for code agents, *agentic mid-training*—mid-training (MT) on large-scale data that mirrors authentic agentic workflows—remains critically underexplored due to substantial resource requirements, despite offering a more scalable...",,,,https://icml.cc/virtual/2026/poster/63099,https://www.alphaxiv.org/abs/2601.18418
C02,Infrastructure and agentic workloads,moderate_to_strong,true,5,62992,Monitoring Monitorability,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",systems_agents_program_signal,likely_supports,"Abstract/title is directly about systems efficiency, agents, tools, or software/code workloads.",system; inference; training; agent; tool,true,,28,https://github.com/nightscout/cgm-remote-monitor,2786,,stable_seed,medium,"Safe deployment of increasingly capable AI agents may require visibility into how they make decisions. Chain-of-thought (CoT) monitoring can detect misbehavior in today’s reasoning models, but this “monitorability” may be fragile under different training procedures, data sources, or continued system scaling. We propose three evaluation archetypes (intervention, process, and outcome-property), a new monitorability metric, and a broad evaluation suite. We show CoT monitoring outperforms action-only monitoring in...",,,,https://icml.cc/virtual/2026/poster/62992,https://www.alphaxiv.org/abs/2512.18311
C02,Infrastructure and agentic workloads,moderate_to_strong,true,6,62732,Strategic Navigation or Stochastic Search? How Agents and Humans Reason Over Document Collections,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",systems_agents_program_signal,likely_supports,"Abstract/title is directly about systems efficiency, agents, tools, or software/code workloads.",efficient; agent; tool,true,,26,https://github.com/Snowflake-Labs/MADQA,1,,stable_seed,medium,"Multimodal agents offer a compelling path to automating complex document-intensive workflows, yet a critical question remains: do these architectures demonstrate genuine strategic reasoning, or simply conduct stochastic trial-and-error search? To address this, we introduce Agentic Document VQA, a benchmark of 2,250 human-authored questions grounded in 800 heterogeneous PDF documents. Guided by *Classical Test Theory*, we design it to maximize discriminative power and reliably differentiate between varying...",,,,https://icml.cc/virtual/2026/poster/62732,https://www.alphaxiv.org/abs/2603.12180
C02,Infrastructure and agentic workloads,moderate_to_strong,true,7,65622,CVE-Factory: Scaling Expert-Level Agentic Tasks for Code Security Vulnerability,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",systems_agents_program_signal,likely_supports,"Abstract/title is directly about systems efficiency, agents, tools, or software/code workloads.",training; agent; tool; code,true,,21,https://github.com/livecvebench/CVE-Factory,139,,stable_seed,medium,"Evaluating and improving the security capabilities of code agents requires high-quality, executable vulnerability tasks. However, existing works rely on costly, unscalable manual reproduction and suffer from outdated data distributions. To address these, we present CVE-Factory, the first multi-agent framework to achieve expert-level quality in automatically transforming sparse CVE metadata into fully executable agentic tasks. Cross-validation against human expert reproductions shows that CVE-Factory achieves...",,,,https://icml.cc/virtual/2026/poster/65622,https://www.alphaxiv.org/abs/2602.03012
C02,Infrastructure and agentic workloads,moderate_to_strong,true,8,61870,mHC: Manifold-Constrained Hyper-Connections,Systems and Efficient Foundation Models,"Large-scale training, optimizers, and model architecture",systems_agents_public_signal,likely_supports,"Abstract/title is directly about systems efficiency, agents, tools, or software/code workloads.",training; optimization,false,,696,https://github.com/tokenbender/mHC-manifold-constrained-hyper-connections,367,,needs_review,medium,"Recently, studies exemplified by Hyper-Connections (HC) have extended the ubiquitous residual connection paradigm established over the past decade by expanding the residual stream width and diversifying connectivity patterns. While yielding substantial performance gains, this diversification fundamentally compromises the identity mapping property intrinsic to the residual connection, which causes severe training instability and restricted scalability, and additionally incurs notable memory access overhead. To...",,,,https://icml.cc/virtual/2026/poster/61870,https://www.alphaxiv.org/abs/2512.24880
C02,Infrastructure and agentic workloads,moderate_to_strong,true,9,65888,Learning to Discover at Test Time,"Agents, Code, and Tool Use","Multi-agent search, planning, and coordination",systems_agents_public_signal,likely_supports,"Abstract/title is directly about systems efficiency, agents, tools, or software/code workloads.",training; agent; tool; code; optimization,false,,529,https://github.com/sayantann11/all-classification-templetes-for-ML,297,,needs_review,medium,"How can we use AI to discover a new state of the art for a scientific problem? Prior work in test-time scaling, such as AlphaEvolve, performs search by prompting a frozen LLM. We perform reinforcement learning at test time, so the LLM can continue to train, but now with experience specific to the test problem. This form of continual learning is quite special, because its goal is to produce one great solution rather than many good ones on average, and to solve this very problem rather than generalize to other...",,,,https://icml.cc/virtual/2026/poster/65888,https://www.alphaxiv.org/abs/2601.16175
C02,Infrastructure and agentic workloads,moderate_to_strong,true,10,63436,xKV: Cross-Layer KV-Cache Compression via Aligned Singular Vector Extraction,Systems and Efficient Foundation Models,Long-context attention and KV-cache compression,systems_agents_public_signal,likely_supports,"Abstract/title is directly about systems efficiency, agents, tools, or software/code workloads.",inference; training; cache; agent; tool; code; latency; throughput,false,,518,https://github.com/abdelfattah-lab/xKV,52,,stable_seed,medium,"Long-context Large Language Models (LLMs) enable powerful applications but incur high memory costs due to the key–value states (KV-Cache). Recent studies attempt to share KV-Cache across layers, but these approaches either require expensive pretraining or rely on per-token cross-layer cosine similarity that is often limited in practice. We show, via Centered Kernel Alignment (CKA), that the dominant singular vectors of KV-Cache are well aligned across layers. Motivated by this observation, we propose xKV, a...",,,,https://icml.cc/virtual/2026/poster/63436,https://www.alphaxiv.org/abs/2503.18893
C02,Infrastructure and agentic workloads,moderate_to_strong,true,11,65206,PaperBanana: Automating Academic Illustration for AI Scientists,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",systems_agents_public_signal,likely_supports,"Abstract/title is directly about systems efficiency, agents, tools, or software/code workloads.",agent; tool,false,,420,https://github.com/dwzhu-pku/PaperBanana,6765,,stable_seed,medium,"Despite rapid advances in autonomous AI scientists powered by language models, generating publication-ready illustrations remains a labor-intensive bottleneck in the research workflow. To lift this burden, we introduce PaperBanana, an agentic framework for automated generation of publication-ready academic illustrations. Powered by state-of-the-art VLMs and image generation models, PaperBanana orchestrates specialized agents to retrieve references, plan content and style, render images, and iteratively refine...",,,,https://icml.cc/virtual/2026/poster/65206,https://www.alphaxiv.org/abs/2601.23265
C02,Infrastructure and agentic workloads,moderate_to_strong,true,12,62943,Evolution Strategies at the Hyperscale,Systems and Efficient Foundation Models,"Large-scale training, optimizers, and model architecture",systems_agents_public_signal,likely_supports,"Abstract/title is directly about systems efficiency, agents, tools, or software/code workloads.",inference; training; throughput; optimization,false,,405,https://github.com/ESHyperscale/HyperscaleES,346,,needs_review,medium,"Evolution Strategies (ES) is a class of powerful black-box optimisation methods that are highly parallelisable and can handle non-differentiable and noisy objectives. However, naïve ES becomes prohibitively expensive at scale on GPUs due to the low arithmetic intensity of batched matrix multiplications with unstructured random perturbations. We introduce Evolution Guided GeneRal Optimisation via Low-rank Learning (EGGROLL), which improves arithmetic intensity by structuring individual perturbations as rank-$r$...",,,,https://icml.cc/virtual/2026/poster/62943,https://www.alphaxiv.org/abs/2511.16652
C02,Infrastructure and agentic workloads,moderate_to_strong,true,13,65901,Neural Thickets: Diverse Task Experts Are Dense Around Pretrained Weights,Systems and Efficient Foundation Models,"Large-scale training, optimizers, and model architecture",systems_agents_public_signal,likely_supports,"Abstract/title is directly about systems efficiency, agents, tools, or software/code workloads.",training; optimization,false,,365,https://github.com/sunrainyg/RandOpt,627,,needs_review,low,"Pretraining produces a learned parameter vector that is typically treated as a starting point for further iterative adaptation. In this work, we instead view the outcome of pretraining as a distribution over parameter vectors, whose support already contains task-specific experts. We show that in smaller or insufficiently trained models such expert solutions occupy a negligible fraction of the volume of this distribution, making their discovery reliant on structured optimization methods such as gradient descent....",,,,https://icml.cc/virtual/2026/poster/65901,https://www.alphaxiv.org/abs/2603.12228
C02,Infrastructure and agentic workloads,moderate_to_strong,true,14,62794,ToolOrchestra: Elevating Intelligence via Efficient Model and Tool Orchestration,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",systems_agents_public_signal,likely_supports,"Abstract/title is directly about systems efficiency, agents, tools, or software/code workloads.",system; efficient; training; agent; tool; optimization,false,,260,https://github.com/NVlabs/ToolOrchestra,745,,stable_seed,medium,"Large language models are powerful generalists, yet solving deep and complex problems such as those of the Humanity’s Last Exam (HLE) remains both conceptually challenging and computationally expensive. We show that small orchestrators managing other models and a variety of tools are able to both push the upper bound of intelligence and improve efficiency in solving difficult agentic tasks. We introduce ToolOrchestra, a method for training small orchestrators that coordinate the use of intelligent tools....",,,,https://icml.cc/virtual/2026/poster/62794,https://www.alphaxiv.org/abs/2511.21689
C03,Program committee attention,strong_for_triage,true,1,60766,The Obfuscation Atlas: Mapping Where Honesty Emerges in RLVR with Deception Probes,"Safety, Governance, Privacy, and Society","Adversarial safety, attacks, and security",program_high_public_lower,likely_supports,Program-selected paper in theory or safety/governance area.,risk; deception,true,Outstanding Paper Honorable Mention,14,https://github.com/AlignmentResearch/obfuscation-atlas,13,,stable_seed,medium,"Training against white-box deception detectors has been proposed as a way to make AI systems honest. However, such training risks models learning to obfuscate their deception to evade the detector. Prior work has studied obfuscation only in artificial settings where models were directly rewarded for harmful output. We construct a realistic coding environment where reward hacking via hardcoding test cases naturally occurs, and show that obfuscation emerges in this setting. We introduce a taxonomy of possible...",,,,https://icml.cc/virtual/2026/poster/60766,https://www.alphaxiv.org/abs/2602.15515
C03,Program committee attention,strong_for_triage,true,2,66206,To Grok Grokking: Provable Grokking in Ridge Regression,"Theory, Optimization, and Algorithms",Statistical learning theory and regression,program_high_public_lower,likely_supports,Program-selected paper in theory or safety/governance area.,theory,true,Outstanding Paper Honorable Mention,7,,0,,needs_review,low,"We study *grokking* - the onset of generalization long after overfitting - in a classical ridge regression setting. We prove end-to-end grokking results for learning over-parameterized linear regression models using gradient descent with weight decay. Specifically, we prove that the following stages occur: (i) the model overfits the training data early during training; (ii) poor generalization persists long after overfitting has manifested; and (iii) the generalization error eventually becomes arbitrarily...",,,,https://icml.cc/virtual/2026/poster/66206,https://www.alphaxiv.org/abs/2601.19791
C03,Program committee attention,strong_for_triage,true,3,67118,Position: The Alignment Community is Unintentionally Building a Censor’s Toolkit,"Safety, Governance, Privacy, and Society","Position papers, policy, and social impacts",program_high_public_lower,likely_supports,Program-selected paper in theory or safety/governance area.,safety; alignment; position; risk,true,Outstanding Position Paper Award,0,,0,,stable_seed,medium,"This position paper argues that modern alignment methods – originally designed to prevent harmful output – are dual-use technologies that may easily be misused by malicious actors for censorship and manipulation. By mapping current alignment techniques to the possibility and actual cases of misuse, we show that the quest for a ''perfectly aligned'' model inadvertently also provides malicious actors with an ever-improving tool for informational dominance. We need to discuss this dual-use potential *now*, as its...",,,,https://icml.cc/virtual/2026/poster/67118,
C03,Program committee attention,strong_for_triage,true,4,67084,Position: AI/ML Deepfake Research is Misaligned with AI Generated Non-Consensual Intimate Imagery (AIG-NCII),"Safety, Governance, Privacy, and Society","Position papers, policy, and social impacts",program_high_public_lower,likely_supports,Program-selected paper in theory or safety/governance area.,theory; safety; position; risk,true,Outstanding Position Paper Honorable Mention,0,,0,,stable_seed,medium,"AI-generated non-consensual intimate imagery (AIG-NCII) is not adequately addressed in AI/ML literature regarding AI-generated media, commonly referred to as ""deepfakes"". While research on deepfakes currently focuses on its epistemic harms—or harms relating to truth and authenticity—this is misaligned with the dominant reality of generative AI abuse involving sexualized imagery. We conduct a landscape analysis of highly-cited works to demonstrate that technical interventions addressing deepfakes almost entirely...",,,,https://icml.cc/virtual/2026/poster/67084,
C03,Program committee attention,strong_for_triage,true,5,63048,Equivalence of Context and Parameter Updates in Modern Transformer Blocks,"Theory, Optimization, and Algorithms",Transformer theory and attention expressivity,program_high_public_lower,likely_supports,Program-selected paper in theory or safety/governance area.,theory; proof,true,,24,,0,,needs_review,medium,"Recent research has established that the impact of context in a vanilla transformer can be represented implicitly by forming a token-dependent, rank-1 patch to its MLP weights. This work extends that foundational theory to the diverse architectures of modern Large Language Models. We first demonstrate a precise, analytical solution for a Gemma-style transformer block, proving that the entire effect of a context can be perfectly mapped to rank-1 patches on its MLP weight matrices and a patch to the RMSNorm...",,,,https://icml.cc/virtual/2026/poster/63048,https://www.alphaxiv.org/abs/2511.17864
