sprint_rank,event_id,title,review_phase,area,subarea,claim_ids,why_first,claim_overlay_keys,area_overlay_keys,claim_fields_to_fill,area_fields_to_fill,review_focus,claim_packet_links,claim_dossier_links,area_packet_link,area_briefing_link,signals,method_families,evaluation_settings,abstract_excerpt,icml_url,alphaxiv_url,github_url
11,66212,Controlled LLM Training on Spectral Sphere,main_thesis_claims,Systems and Efficient Foundation Models,"Large-scale training, optimizers, and model architecture",C02; C08,in claim-validation queue; supports priority claim(s) C02; in area-validation queue; priority report area; oral/program signal; taxonomy boundary needs review; artifact-visible; moderate AlphaXiv attention,C02::66212 | C08::66212,Systems and Efficient Foundation Models::66212,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Check whether program-selected papers substantiate systems/agents emphasis. | Use high-signal papers to stress-test taxonomy boundaries.,reports/claim_validation_packets/c02-infrastructure-and-agentic-workloads.md; reports/claim_validation_packets/c08-validation-priority.md,reports/claim_evidence_dossiers/c02-infrastructure-and-agentic-workloads.md; reports/claim_evidence_dossiers/c08-validation-priority.md,reports/validation_packets/systems-and-efficient-foundation-models.md,reports/area_briefing_cards/systems-and-efficient-foundation-models.md,oral; votes=115; github_stars=130; taxonomy_review; evidence=medium,Compression / efficiency,robotics/embodied; language/llm; theory/synthetic,"Scaling large models requires optimization strategies that ensure rapid convergence grounded in stability. Maximal Update Parametrization ($\boldsymbol{\mu}$P) provides a theoretical safeguard for width-invariant $\Theta(1)$ activation control, whereas emerging optimizers like Muon are only ""half-aligned"" with these constraints: they control updates but allow weights to drift. To address this limitation, we introduce the **Spectral Sphere Optimizer (SSO)**, which enforces strict module-wise spectral constraints on both weights and their updates. By deriving the steepest descent direction on the spectral sphere, SSO realizes a fully $\boldsymbol{\mu}$P-aligned optimization process. To...",https://icml.cc/virtual/2026/poster/66212,https://www.alphaxiv.org/abs/2601.08393,https://github.com/Unakar/Spectral-Sphere-Optimizer
12,64121,Reinforcement Learning via Self-Distillation,main_thesis_claims,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",C01; C06; C08,in claim-validation queue; supports priority claim(s) C01; in area-validation queue; priority report area; taxonomy boundary needs review; artifact-visible; high AlphaXiv attention; public attention without program signal,C01::64121 | C06::64121 | C08::64121,"LLM Reasoning, Post-Training, and RLVR::64121",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Check whether high attention supports the center-of-gravity claim. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution. | Decide whether this cluster should remain in the assigned area/subarea or be relabeled.,reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md; reports/claim_validation_packets/c06-external-trend-context.md; reports/claim_validation_packets/c08-validation-priority.md,reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md; reports/claim_evidence_dossiers/c06-external-trend-context.md; reports/claim_evidence_dossiers/c08-validation-priority.md,reports/validation_packets/llm-reasoning-post-training-and-rlvr.md,reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,votes=718; github_stars=1008; taxonomy_review; evidence=medium,RL / policy optimization; LLM post-training; Reasoning / test-time compute; Agents / tool use; Diffusion / flow,math/code/verifiable; language/llm,"Large language models are increasingly post-trained with reinforcement learning in verifiable domains such as code and math. Yet, current methods for reinforcement learning with verifiable rewards (RLVR) learn only from a scalar outcome reward per attempt, creating a severe credit-assignment bottleneck. Many verifiable environments actually provide rich textual feedback, such as runtime errors or judge evaluations, that explain *why* an attempt failed. We formalize this setting as reinforcement learning with rich feedback and introduce **Self-Distillation Policy Optimization** (**SDPO**), which converts tokenized feedback into a dense learning signal without any external teacher or...",https://icml.cc/virtual/2026/poster/64121,https://www.alphaxiv.org/abs/2601.20802,https://github.com/lasgroup/SDPO
13,65446,Activation Oracles: Training and Evaluating LLMs as General-Purpose Activation Explainers,main_thesis_claims,"LLM Reasoning, Post-Training, and RLVR","General LLM training, evaluation, and alignment",C01,in claim-validation queue; supports priority claim(s) C01; in area-validation queue; priority report area; oral/program signal; taxonomy boundary needs review; moderate AlphaXiv attention,C01::65446,"LLM Reasoning, Post-Training, and RLVR::65446",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper.,reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md,reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md,reports/validation_packets/llm-reasoning-post-training-and-rlvr.md,reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,oral; votes=75; taxonomy_review; evidence=medium,LLM post-training,language/llm,"Large language model (LLM) activations are notoriously difficult to understand, with most existing techniques using complex, specialized methods for interpreting them. Recent work has proposed a simpler approach known as LatentQA: training LLMs to directly accept LLM activations as inputs and answer arbitrary questions about them in natural language. However, prior work has focused on narrow task settings for both training and evaluation. In this paper, we instead take a generalist perspective. We evaluate LatentQA-trained models, which we call Activation Oracles (AOs), in far out-of-distribution settings and examine how performance scales with training data diversity. We find that AOs...",https://icml.cc/virtual/2026/poster/65446,https://www.alphaxiv.org/abs/2512.15674,
14,63333,GDPO: Group reward-Decoupled Normalization Policy Optimization for Multi-reward RL Optimization,main_thesis_claims,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",C01; C06,in claim-validation queue; supports priority claim(s) C01; in area-validation queue; priority report area; taxonomy boundary needs review; artifact-visible; high AlphaXiv attention; public attention without program signal,C01::63333 | C06::63333,"LLM Reasoning, Post-Training, and RLVR::63333",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Check whether high attention supports the center-of-gravity claim. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md; reports/claim_validation_packets/c06-external-trend-context.md,reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md; reports/claim_evidence_dossiers/c06-external-trend-context.md,reports/validation_packets/llm-reasoning-post-training-and-rlvr.md,reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,votes=507; github_stars=489; taxonomy_review; evidence=medium,RL / policy optimization; LLM post-training; Reasoning / test-time compute; Agents / tool use,math/code/verifiable; language/llm,"As language models become increasingly capable, users expect them to provide not only accurate responses but also behaviors aligned with diverse human preferences across a variety of scenarios. To achieve this, Reinforcement learning (RL) pipelines have begun incorporating multiple rewards, each capturing a distinct preference, to guide models toward these desired behaviors. However, recent work has defaulted to apply Group Relative Policy Optimization (GRPO) under multi-reward setting without examining its suitability. In this paper, we demonstrate that directly applying GRPO to normalize distinct rollout reward combinations causes them to collapse into identical advantage values,...",https://icml.cc/virtual/2026/poster/63333,https://www.alphaxiv.org/abs/2601.05242,https://github.com/NVlabs/GDPO
15,61870,mHC: Manifold-Constrained Hyper-Connections,main_thesis_claims,Systems and Efficient Foundation Models,"Large-scale training, optimizers, and model architecture",C02; C06; C08,in claim-validation queue; supports priority claim(s) C02; in area-validation queue; priority report area; taxonomy boundary needs review; artifact-visible; high AlphaXiv attention; public attention without program signal,C02::61870 | C06::61870 | C08::61870,Systems and Efficient Foundation Models::61870,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution. | Decide whether this cluster should remain in the assigned area/subarea or be relabeled.,reports/claim_validation_packets/c02-infrastructure-and-agentic-workloads.md; reports/claim_validation_packets/c06-external-trend-context.md; reports/claim_validation_packets/c08-validation-priority.md,reports/claim_evidence_dossiers/c02-infrastructure-and-agentic-workloads.md; reports/claim_evidence_dossiers/c06-external-trend-context.md; reports/claim_evidence_dossiers/c08-validation-priority.md,reports/validation_packets/systems-and-efficient-foundation-models.md,reports/area_briefing_cards/systems-and-efficient-foundation-models.md,votes=696; github_stars=367; taxonomy_review; evidence=medium,Graphs / geometry,language/llm,"Recently, studies exemplified by Hyper-Connections (HC) have extended the ubiquitous residual connection paradigm established over the past decade by expanding the residual stream width and diversifying connectivity patterns. While yielding substantial performance gains, this diversification fundamentally compromises the identity mapping property intrinsic to the residual connection, which causes severe training instability and restricted scalability, and additionally incurs notable memory access overhead. To address these challenges, we propose Manifold-Constrained Hyper-Connections (mHC), a general framework that projects the residual connection space of HC onto a specific manifold to...",https://icml.cc/virtual/2026/poster/61870,https://www.alphaxiv.org/abs/2512.24880,https://github.com/tokenbender/mHC-manifold-constrained-hyper-connections
16,62943,Evolution Strategies at the Hyperscale,main_thesis_claims,Systems and Efficient Foundation Models,"Large-scale training, optimizers, and model architecture",C02; C06,in claim-validation queue; supports priority claim(s) C02; in area-validation queue; priority report area; taxonomy boundary needs review; artifact-visible; high AlphaXiv attention; public attention without program signal,C02::62943 | C06::62943,Systems and Efficient Foundation Models::62943,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,reports/claim_validation_packets/c02-infrastructure-and-agentic-workloads.md; reports/claim_validation_packets/c06-external-trend-context.md,reports/claim_evidence_dossiers/c02-infrastructure-and-agentic-workloads.md; reports/claim_evidence_dossiers/c06-external-trend-context.md,reports/validation_packets/systems-and-efficient-foundation-models.md,reports/area_briefing_cards/systems-and-efficient-foundation-models.md,votes=405; github_stars=346; taxonomy_review; evidence=medium,RL / policy optimization; LLM post-training; Reasoning / test-time compute,language/llm; theory/synthetic,"Evolution Strategies (ES) is a class of powerful black-box optimisation methods that are highly parallelisable and can handle non-differentiable and noisy objectives. However, naïve ES becomes prohibitively expensive at scale on GPUs due to the low arithmetic intensity of batched matrix multiplications with unstructured random perturbations. We introduce Evolution Guided GeneRal Optimisation via Low-rank Learning (EGGROLL), which improves arithmetic intensity by structuring individual perturbations as rank-$r$ matrices, resulting in a hundredfold increase in training speed for billion-parameter models at large population sizes, achieving up to 91\% of the throughput of pure batch...",https://icml.cc/virtual/2026/poster/62943,https://www.alphaxiv.org/abs/2511.16652,https://github.com/ESHyperscale/HyperscaleES
17,65888,Learning to Discover at Test Time,main_thesis_claims,"Agents, Code, and Tool Use","Multi-agent search, planning, and coordination",C02; C08,in claim-validation queue; supports priority claim(s) C02; in area-validation queue; priority report area; taxonomy boundary needs review; artifact-visible; high AlphaXiv attention; public attention without program signal,C02::65888 | C08::65888,"Agents, Code, and Tool Use::65888",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover. | Decide whether this cluster should remain in the assigned area/subarea or be relabeled.,reports/claim_validation_packets/c02-infrastructure-and-agentic-workloads.md; reports/claim_validation_packets/c08-validation-priority.md,reports/claim_evidence_dossiers/c02-infrastructure-and-agentic-workloads.md; reports/claim_evidence_dossiers/c08-validation-priority.md,reports/validation_packets/agents-code-and-tool-use.md,reports/area_briefing_cards/agents-code-and-tool-use.md,votes=529; github_stars=297; taxonomy_review; evidence=medium,RL / policy optimization; Reasoning / test-time compute; Agents / tool use; Diffusion / flow,math/code/verifiable; language/llm,"How can we use AI to discover a new state of the art for a scientific problem? Prior work in test-time scaling, such as AlphaEvolve, performs search by prompting a frozen LLM. We perform reinforcement learning at test time, so the LLM can continue to train, but now with experience specific to the test problem. This form of continual learning is quite special, because its goal is to produce one great solution rather than many good ones on average, and to solve this very problem rather than generalize to other problems. Therefore, our learning objective and search subroutine are designed to prioritize the most promising solutions. We call this method Test-Time Training to Discover...",https://icml.cc/virtual/2026/poster/65888,https://www.alphaxiv.org/abs/2601.16175,https://github.com/sayantann11/all-classification-templetes-for-ML
18,64488,Agent Learning via Early Experience,main_thesis_claims,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",C01; C06,in claim-validation queue; supports priority claim(s) C01; in area-validation queue; priority report area; taxonomy boundary needs review; artifact-visible; high AlphaXiv attention; public attention without program signal,C01::64488 | C06::64488,"LLM Reasoning, Post-Training, and RLVR::64488",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Check whether high attention supports the center-of-gravity claim. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md; reports/claim_validation_packets/c06-external-trend-context.md,reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md; reports/claim_evidence_dossiers/c06-external-trend-context.md,reports/validation_packets/llm-reasoning-post-training-and-rlvr.md,reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,votes=532; github_stars=148; taxonomy_review; evidence=medium,RL / policy optimization; LLM post-training; Reasoning / test-time compute; Agents / tool use,math/code/verifiable; language/llm,"A long-term goal of language agents is to learn and improve through their own experience, ultimately outperforming humans in complex, real-world tasks. However, training agents from experience data with reinforcement learning remains difficult in many environments, which either lack verifiable rewards (e.g., websites) or require inefficient long-horizon rollouts (e.g., multi-turn tool use). As a result, most current agents rely on supervised fine-tuning on expert data, which is challenging to scale and generalizes poorly. This limitation stems from the nature of expert demonstrations: they capture only a narrow range of scenarios, and expose the agent to limited environment diversity. We...",https://icml.cc/virtual/2026/poster/64488,https://www.alphaxiv.org/abs/2510.08558,https://github.com/jettbrains/-L-
19,64095,WeDLM: Reconciling Diffusion Language Models with Standard Causal Attention for Fast Inference,main_thesis_claims,"LLM Reasoning, Post-Training, and RLVR",Diffusion language models and decoding,C01,in claim-validation queue; supports priority claim(s) C01; in area-validation queue; priority report area; oral/program signal; taxonomy boundary needs review; artifact-visible,C01::64095,"LLM Reasoning, Post-Training, and RLVR::64095",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper.,reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md,reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md,reports/validation_packets/llm-reasoning-post-training-and-rlvr.md,reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,oral; votes=60; github_stars=644; taxonomy_review; evidence=medium,Reasoning / test-time compute; Diffusion / flow; Transformer / attention; Causal / data-centric,language/llm,"Autoregressive (AR) generation is the standard decoding paradigm for Large Language Models (LLMs), but its token-by-token nature limits parallelism at inference time. Diffusion Language Models (DLLMs) offer parallel decoding by recovering multiple masked tokens per step; however, in practice they often fail to translate this parallelism into speed gains over optimized AR engines (e.g., vLLM). A key reason is that many DLLMs rely on bidirectional attention, which breaks standard prefix KV caching. We propose WeDLM, a diffusion decoding framework built entirely on standard causal attention to make parallel generation prefix-cache friendly. The core idea is to let each masked position...",https://icml.cc/virtual/2026/poster/64095,https://www.alphaxiv.org/abs/2512.22737,https://github.com/Tencent/WeDLM
20,66596,From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model,artifact_and_reproducibility,"Robotics, Embodiment, and World Models",Vision-language-action models and robotic manipulation,C07,in claim-validation queue; supports priority claim(s) C07; in area-validation queue; oral/program signal; GitHub artifact needs manual check; artifact-visible,C07::66596,"Robotics, Embodiment, and World Models::66596",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Determine whether the GitHub link is a real paper artifact or a template/index/project page.,reports/claim_validation_packets/c07-artifact-visibility.md,reports/claim_evidence_dossiers/c07-artifact-visibility.md,reports/validation_packets/robotics-embodiment-and-world-models.md,reports/area_briefing_cards/robotics-embodiment-and-world-models.md,oral; votes=14; github_stars=5069; artifact_manual_check; evidence=medium,LLM post-training; Causal / data-centric,vision/video; robotics/embodied; language/llm,"Vision-Language-Action (VLA) models often suffer from performance degradation under distribution shifts, as they struggle to learn generalized behavior representations across varying environments. While existing approaches attempt to construct behavior representations through action-centric latent variables, they are often limited by short-horizon temporal fragmentation and static execution-alignment, leading to inconsistent behaviors in complex scenarios. To address these limitations, we propose \textbf{BehaviorVLA}, a framework that facilitates robust manipulation through the learning of a temporally coherent behavioral representations. Our approach features two symmetric components:...",https://icml.cc/virtual/2026/poster/66596,https://www.alphaxiv.org/abs/2605.22671,https://github.com/eliahuhorwitz/Academic-project-page-template
21,61180,Latent Collaboration in Multi-Agent Systems,main_thesis_claims,"LLM Reasoning, Post-Training, and RLVR",Reasoning models and chain-of-thought behavior,C01; C08,in claim-validation queue; supports priority claim(s) C01; in area-validation queue; priority report area; taxonomy boundary needs review; artifact-visible; high AlphaXiv attention,C01::61180 | C08::61180,"LLM Reasoning, Post-Training, and RLVR::61180",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Check whether high attention supports the center-of-gravity claim. | Decide whether this cluster should remain in the assigned area/subarea or be relabeled.,reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md; reports/claim_validation_packets/c08-validation-priority.md,reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md; reports/claim_evidence_dossiers/c08-validation-priority.md,reports/validation_packets/llm-reasoning-post-training-and-rlvr.md,reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,votes=402; github_stars=1048; taxonomy_review; evidence=medium,Reasoning / test-time compute; Agents / tool use,math/code/verifiable; language/llm; theory/synthetic,"Multi-agent systems (MAS) extend large language models (LLMs) from independent single-model reasoning to coordinative system-level intelligence. While existing LLM agents depend on text-based mediation for reasoning and communication, we take a step forward by enabling models to collaborate directly within the continuous latent space. We introduce LatentMAS, an end-to-end training-free framework that enables pure latent collaboration among LLM agents. In LatentMAS, each agent first performs auto-regressive latent thoughts generation through last-layer hidden embeddings instead of text. Then, a shared latent working memory preserves and transfers each agent's internal representations and...",https://icml.cc/virtual/2026/poster/61180,https://www.alphaxiv.org/abs/2511.20639,https://github.com/Gen-Verse/LatentMAS
22,63048,Equivalence of Context and Parameter Updates in Modern Transformer Blocks,main_thesis_claims,"Theory, Optimization, and Algorithms",Transformer theory and attention expressivity,C03,in claim-validation queue; supports priority claim(s) C03; in area-validation queue; priority report area; oral/program signal; taxonomy boundary needs review,C03::63048,"Theory, Optimization, and Algorithms::63048",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Identify the technical reason for high program signal and whether public attention misses it.,reports/claim_validation_packets/c03-program-committee-attention.md,reports/claim_evidence_dossiers/c03-program-committee-attention.md,reports/validation_packets/theory-optimization-and-algorithms.md,reports/area_briefing_cards/theory-optimization-and-algorithms.md,oral; votes=24; taxonomy_review; evidence=medium,Transformer / attention,language/llm; theory/synthetic,"Recent research has established that the impact of context in a vanilla transformer can be represented implicitly by forming a token-dependent, rank-1 patch to its MLP weights. This work extends that foundational theory to the diverse architectures of modern Large Language Models. We first demonstrate a precise, analytical solution for a Gemma-style transformer block, proving that the entire effect of a context can be perfectly mapped to rank-1 patches on its MLP weight matrices and a patch to the RMSNorm scale. We then generalize this result, providing a constructive proof and algorithm for multi-layer models. To unify these findings, we introduce a general framework centered on two...",https://icml.cc/virtual/2026/poster/63048,https://www.alphaxiv.org/abs/2511.17864,
23,63638,Optimal Decision-Making Based on Prediction Sets,main_thesis_claims,"Theory, Optimization, and Algorithms",Statistical learning theory and regression,C03,in claim-validation queue; supports priority claim(s) C03; in area-validation queue; priority report area; oral/program signal; taxonomy boundary needs review; artifact-visible,C03::63638,"Theory, Optimization, and Algorithms::63638",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Identify the technical reason for high program signal and whether public attention misses it.,reports/claim_validation_packets/c03-program-committee-attention.md,reports/claim_evidence_dossiers/c03-program-committee-attention.md,reports/validation_packets/theory-optimization-and-algorithms.md,reports/area_briefing_cards/theory-optimization-and-algorithms.md,oral; votes=6; github_stars=0; taxonomy_review; evidence=medium,RL / policy optimization; Bayesian / probabilistic,science/domain; security/safety; theory/synthetic,"Prediction sets can wrap around any ML model to cover unknown test outcomes with a guaranteed probability. Yet, it remains unclear how to use them optimally for downstream decision-making. Here, we propose a decision-theoretic framework that seeks to minimize the expected loss (risk) against a worst-case distribution consistent with the prediction set's coverage guarantee. We first characterize the minimax optimal policy for a fixed prediction set, showing that it balances the worst-case loss inside the set with a penalty for potential losses outside the set. Building on this, we derive the optimal prediction set construction that minimizes the resulting robust risk subject to a coverage...",https://icml.cc/virtual/2026/poster/63638,https://www.alphaxiv.org/abs/2602.00989,https://github.com/salma123456789123456789-dotcom/Pneumonia-Detection-using-Chest-X-Ray-images
24,64377,$\tau^2$-Bench: Evaluating Conversational Agents in a Dual-Control Environment,main_thesis_claims,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",C02,in claim-validation queue; supports priority claim(s) C02; in area-validation queue; priority report area; oral/program signal; artifact-visible; moderate AlphaXiv attention,C02::64377,"Agents, Code, and Tool Use::64377",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Check whether program-selected papers substantiate systems/agents emphasis.,reports/claim_validation_packets/c02-infrastructure-and-agentic-workloads.md,reports/claim_evidence_dossiers/c02-infrastructure-and-agentic-workloads.md,reports/validation_packets/agents-code-and-tool-use.md,reports/area_briefing_cards/agents-code-and-tool-use.md,oral; votes=89; github_stars=1569; evidence=medium,Reasoning / test-time compute; Agents / tool use,math/code/verifiable; robotics/embodied; language/llm; theory/synthetic,"Existing benchmarks for conversational AI agents simulate *single-control* environments, where only the AI agent can use tools to interact with the world, while the user remains a passive information provider. This differs from real-world scenarios like technical support, where users need to actively participate in modifying the state of the (shared) world. In order to address this gap, we introduce $\tau^2$-bench, with four key contributions: 1. A novel **Telecom dual-control domain** modeled as a Dec-POMDP, where both agent and user make use of tools to act in a shared, dynamic environment that tests both agent coordination and communication, 2. A **compositional task generator** that...",https://icml.cc/virtual/2026/poster/64377,https://www.alphaxiv.org/abs/2506.07982,https://github.com/sierra-research/tau2-bench
25,63095,Agent0-VL: Exploring Self-Evolving Agent for Tool-Integrated Vision-Language Reasoning,main_thesis_claims,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",C02,in claim-validation queue; supports priority claim(s) C02; in area-validation queue; priority report area; oral/program signal; artifact-visible; moderate AlphaXiv attention,C02::63095,"Agents, Code, and Tool Use::63095",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Check whether program-selected papers substantiate systems/agents emphasis.,reports/claim_validation_packets/c02-infrastructure-and-agentic-workloads.md,reports/claim_evidence_dossiers/c02-infrastructure-and-agentic-workloads.md,reports/validation_packets/agents-code-and-tool-use.md,reports/area_briefing_cards/agents-code-and-tool-use.md,oral; votes=89; github_stars=1228; evidence=medium,RL / policy optimization; Reasoning / test-time compute; Agents / tool use; Graphs / geometry,vision/video; language/llm,"Large Vision-Language Models (LVLMs) have achieved remarkable progress in multimodal reasoning tasks; however, their learning remains constrained by the limitations of human-annotated supervision. Recent self-rewarding approaches attempt to overcome this constraint by allowing models to act as their own critics or reward providers. Yet, purely text-based self-evaluation struggles to verify complex visual reasoning steps and often suffers from evaluation hallucinations. To address these challenges, inspired by recent advances in tool-integrated reasoning, we propose Agent0-VL, a self-evolving vision-language agent that achieves continual improvement with tool-integrated reasoning....",https://icml.cc/virtual/2026/poster/63095,https://www.alphaxiv.org/abs/2511.19900,https://github.com/aiming-lab/Agent0
26,67247,Position: Stop Automating Peer Review Without Rigorous Evaluation,main_thesis_claims,"Safety, Governance, Privacy, and Society","Position papers, policy, and social impacts",C03,in claim-validation queue; supports priority claim(s) C03; in area-validation queue; priority report area; oral/program signal; low-confidence evidence code,C03::67247,"Safety, Governance, Privacy, and Society::67247",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Identify the technical reason for high program signal and whether public attention misses it.,reports/claim_validation_packets/c03-program-committee-attention.md,reports/claim_evidence_dossiers/c03-program-committee-attention.md,reports/validation_packets/safety-governance-privacy-and-society.md,reports/area_briefing_cards/safety-governance-privacy-and-society.md,oral; votes=13; evidence=low,,language/llm,"Large language models offer a tempting solution to address the peer review crisis. This position paper argues that **today's AI systems should not be used to produce paper reviews**. We ground this positing in an empirical comparison of human- versus AI-generated ICLR 2026 reviews and an evaluation of the effect of automated paper rewriting on different AI reviewers. We identify two critical issues: 1) AI reviewers exhibit a *hivemind effect* of excessive agreement within and across papers that reduces perspective diversity. 2) AI review scores are trivially gameable through *paper laundering*: prompting an LLM to rewrite a paper could significantly increase the scores from AI reviewers,...",https://icml.cc/virtual/2026/poster/67247,https://www.alphaxiv.org/abs/2605.03202,
27,61382,Vision-aligned Latent Reasoning for Multi-Modal Large Language Model,artifact_and_reproducibility,"LLM Reasoning, Post-Training, and RLVR",Reasoning models and chain-of-thought behavior,C07,in claim-validation queue; supports priority claim(s) C07; priority report area; taxonomy boundary needs review; GitHub artifact needs manual check; artifact-visible,C07::61382,,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,,Determine whether the GitHub link is a real paper artifact or a template/index/project page.,reports/claim_validation_packets/c07-artifact-visibility.md,reports/claim_evidence_dossiers/c07-artifact-visibility.md,,reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,votes=56; github_stars=6773; taxonomy_review; artifact_manual_check; evidence=medium,Reasoning / test-time compute; Transformer / attention,vision/video; language/llm,"Despite recent advancements in Multi-modal Large Language Models (MLLMs) on diverse understanding tasks, these models struggle to solve problems which require extensive multi-step reasoning. This is primarily due to the progressive dilution of visual information during long-context generation, which hinders their ability to fully exploit test-time scaling. To address this issue, we introduce Vision-aligned Latent Reasoning (VaLR), a simple, yet effective reasoning framework that dynamically generates vision-aligned latent tokens before each Chain of Thought reasoning step, guiding the model to reason based on perceptual cues in the latent space. Specifically, VaLR is trained to preserve...",https://icml.cc/virtual/2026/poster/61382,https://www.alphaxiv.org/abs/2602.04476,https://github.com/awesome-NeRF/awesome-NeRF
