target_type,target_file,overlay_key,target_present,event_id,sprint_rank,title,area,subarea,claim_id,note_status,blocking_gap,source_fields_to_read,overlay_fields_to_update,allowed_values,transfer_instruction,claim_implication_prompt,taxonomy_question,artifact_check_prompt,note_claim_implications,note_taxonomy_correction,note_evidence_strength,note_artifact_status_checked,note_final_report_use
claim,data/manual/claim_review_overrides.csv,C02::65901,true,65901,4,Neural Thickets: Diverse Task Experts Are Dense Around Pretrained Weights,Systems and Efficient Foundation Models,"Large-scale training, optimizers, and model architecture",C02,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,"manual_claim_support: supports, partial_support, weakens, contradicts, not_applicable, unclear; manual_taxonomy_judgment: correct, too_broad, too_narrow, wrong_area, wrong_subarea, unclear; manual_artifact_judgment: not_applicable, none, linked_unchecked, live_checked, runnable, broken","Use the paper note to decide whether this paper supports, weakens, complicates, or is not applicable to the linked claim; copy concise evidence and caveats into manual_notes.",C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable. C06 (External trend context): decide supports / weakens / complicates / not_applicable.,Resolve whether the assigned area/subarea is truly the main contribution. Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",,,,,
claim,data/manual/claim_review_overrides.csv,C06::65901,true,65901,4,Neural Thickets: Diverse Task Experts Are Dense Around Pretrained Weights,Systems and Efficient Foundation Models,"Large-scale training, optimizers, and model architecture",C06,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,"manual_claim_support: supports, partial_support, weakens, contradicts, not_applicable, unclear; manual_taxonomy_judgment: correct, too_broad, too_narrow, wrong_area, wrong_subarea, unclear; manual_artifact_judgment: not_applicable, none, linked_unchecked, live_checked, runnable, broken","Use the paper note to decide whether this paper supports, weakens, complicates, or is not applicable to the linked claim; copy concise evidence and caveats into manual_notes.",C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable. C06 (External trend context): decide supports / weakens / complicates / not_applicable.,Resolve whether the assigned area/subarea is truly the main contribution. Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",,,,,
area,data/manual/area_review_overrides.csv,"LLM Reasoning, Post-Training, and RLVR::65332",true,65332,5,Maximum Likelihood Reinforcement Learning,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",,pending_note,paper note not started,contribution_summary; novelty_judgment; method_summary; baselines_checked; datasets_checked; metrics_checked; evidence_strength; taxonomy_correction; final_report_use,manual_validated; manual_primary_contribution_type; manual_method_family; manual_benchmarks; manual_datasets; manual_metrics; manual_artifact_status; manual_result_character; manual_fault_line_relevance; manual_notes,"manual_validated: yes, partial, no, unclear; manual_primary_contribution_type: method, theory, system, dataset, benchmark, analysis, application, survey_or_position, unclear; manual_artifact_status: none, linked_unchecked, live_checked, runnable, broken, not_applicable; manual_fault_line_relevance: headline, supporting, caveat, not_relevant, unclear","Use the paper note to validate the area/subarea assignment, contribution type, method/evidence fields, artifact status, and whether the paper should be a headline, support, caveat, or excluded example.",C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,Resolve whether the assigned area/subarea is truly the main contribution. Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper. | Use high-signal papers to stress-test taxonomy boundaries.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",,,,,
claim,data/manual/claim_review_overrides.csv,C01::65332,true,65332,5,Maximum Likelihood Reinforcement Learning,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",C01,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,"manual_claim_support: supports, partial_support, weakens, contradicts, not_applicable, unclear; manual_taxonomy_judgment: correct, too_broad, too_narrow, wrong_area, wrong_subarea, unclear; manual_artifact_judgment: not_applicable, none, linked_unchecked, live_checked, runnable, broken","Use the paper note to decide whether this paper supports, weakens, complicates, or is not applicable to the linked claim; copy concise evidence and caveats into manual_notes.",C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,Resolve whether the assigned area/subarea is truly the main contribution. Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper. | Use high-signal papers to stress-test taxonomy boundaries.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",,,,,
claim,data/manual/claim_review_overrides.csv,C08::65332,true,65332,5,Maximum Likelihood Reinforcement Learning,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",C08,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,"manual_claim_support: supports, partial_support, weakens, contradicts, not_applicable, unclear; manual_taxonomy_judgment: correct, too_broad, too_narrow, wrong_area, wrong_subarea, unclear; manual_artifact_judgment: not_applicable, none, linked_unchecked, live_checked, runnable, broken","Use the paper note to decide whether this paper supports, weakens, complicates, or is not applicable to the linked claim; copy concise evidence and caveats into manual_notes.",C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,Resolve whether the assigned area/subarea is truly the main contribution. Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper. | Use high-signal papers to stress-test taxonomy boundaries.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",,,,,
area,data/manual/area_review_overrides.csv,"Agents, Code, and Tool Use::65206",true,65206,6,PaperBanana: Automating Academic Illustration for AI Scientists,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",,pending_note,paper note not started,contribution_summary; novelty_judgment; method_summary; baselines_checked; datasets_checked; metrics_checked; evidence_strength; taxonomy_correction; final_report_use,manual_validated; manual_primary_contribution_type; manual_method_family; manual_benchmarks; manual_datasets; manual_metrics; manual_artifact_status; manual_result_character; manual_fault_line_relevance; manual_notes,"manual_validated: yes, partial, no, unclear; manual_primary_contribution_type: method, theory, system, dataset, benchmark, analysis, application, survey_or_position, unclear; manual_artifact_status: none, linked_unchecked, live_checked, runnable, broken, not_applicable; manual_fault_line_relevance: headline, supporting, caveat, not_relevant, unclear","Use the paper note to validate the area/subarea assignment, contribution type, method/evidence fields, artifact status, and whether the paper should be a headline, support, caveat, or excluded example.",C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable. C07 (Artifact visibility): decide supports / weakens / complicates / not_applicable.,"Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover. | Check artifact type, license/readme quality, and whether reproduction assets are present.","Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",,,,,
claim,data/manual/claim_review_overrides.csv,C02::65206,true,65206,6,PaperBanana: Automating Academic Illustration for AI Scientists,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",C02,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,"manual_claim_support: supports, partial_support, weakens, contradicts, not_applicable, unclear; manual_taxonomy_judgment: correct, too_broad, too_narrow, wrong_area, wrong_subarea, unclear; manual_artifact_judgment: not_applicable, none, linked_unchecked, live_checked, runnable, broken","Use the paper note to decide whether this paper supports, weakens, complicates, or is not applicable to the linked claim; copy concise evidence and caveats into manual_notes.",C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable. C07 (Artifact visibility): decide supports / weakens / complicates / not_applicable.,"Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover. | Check artifact type, license/readme quality, and whether reproduction assets are present.","Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",,,,,
claim,data/manual/claim_review_overrides.csv,C07::65206,true,65206,6,PaperBanana: Automating Academic Illustration for AI Scientists,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",C07,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,"manual_claim_support: supports, partial_support, weakens, contradicts, not_applicable, unclear; manual_taxonomy_judgment: correct, too_broad, too_narrow, wrong_area, wrong_subarea, unclear; manual_artifact_judgment: not_applicable, none, linked_unchecked, live_checked, runnable, broken","Use the paper note to decide whether this paper supports, weakens, complicates, or is not applicable to the linked claim; copy concise evidence and caveats into manual_notes.",C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable. C07 (Artifact visibility): decide supports / weakens / complicates / not_applicable.,"Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover. | Check artifact type, license/readme quality, and whether reproduction assets are present.","Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",,,,,
area,data/manual/area_review_overrides.csv,"Safety, Governance, Privacy, and Society::60766",true,60766,7,The Obfuscation Atlas: Mapping Where Honesty Emerges in RLVR with Deception Probes,"Safety, Governance, Privacy, and Society","Adversarial safety, attacks, and security",,pending_note,paper note not started,contribution_summary; novelty_judgment; method_summary; baselines_checked; datasets_checked; metrics_checked; evidence_strength; taxonomy_correction; final_report_use,manual_validated; manual_primary_contribution_type; manual_method_family; manual_benchmarks; manual_datasets; manual_metrics; manual_artifact_status; manual_result_character; manual_fault_line_relevance; manual_notes,"manual_validated: yes, partial, no, unclear; manual_primary_contribution_type: method, theory, system, dataset, benchmark, analysis, application, survey_or_position, unclear; manual_artifact_status: none, linked_unchecked, live_checked, runnable, broken, not_applicable; manual_fault_line_relevance: headline, supporting, caveat, not_relevant, unclear","Use the paper note to validate the area/subarea assignment, contribution type, method/evidence fields, artifact status, and whether the paper should be a headline, support, caveat, or excluded example.",C03 (Program committee attention): decide supports / weakens / complicates / not_applicable.,Identify the technical reason for high program signal and whether public attention misses it.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",,,,,
claim,data/manual/claim_review_overrides.csv,C03::60766,true,60766,7,The Obfuscation Atlas: Mapping Where Honesty Emerges in RLVR with Deception Probes,"Safety, Governance, Privacy, and Society","Adversarial safety, attacks, and security",C03,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,"manual_claim_support: supports, partial_support, weakens, contradicts, not_applicable, unclear; manual_taxonomy_judgment: correct, too_broad, too_narrow, wrong_area, wrong_subarea, unclear; manual_artifact_judgment: not_applicable, none, linked_unchecked, live_checked, runnable, broken","Use the paper note to decide whether this paper supports, weakens, complicates, or is not applicable to the linked claim; copy concise evidence and caveats into manual_notes.",C03 (Program committee attention): decide supports / weakens / complicates / not_applicable.,Identify the technical reason for high program signal and whether public attention misses it.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",,,,,
area,data/manual/area_review_overrides.csv,"Safety, Governance, Privacy, and Society::67084",true,67084,8,Position: AI/ML Deepfake Research is Misaligned with AI Generated Non-Consensual Intimate Imagery (AIG-NCII),"Safety, Governance, Privacy, and Society","Position papers, policy, and social impacts",,pending_note,paper note not started,contribution_summary; novelty_judgment; method_summary; baselines_checked; datasets_checked; metrics_checked; evidence_strength; taxonomy_correction; final_report_use,manual_validated; manual_primary_contribution_type; manual_method_family; manual_benchmarks; manual_datasets; manual_metrics; manual_artifact_status; manual_result_character; manual_fault_line_relevance; manual_notes,"manual_validated: yes, partial, no, unclear; manual_primary_contribution_type: method, theory, system, dataset, benchmark, analysis, application, survey_or_position, unclear; manual_artifact_status: none, linked_unchecked, live_checked, runnable, broken, not_applicable; manual_fault_line_relevance: headline, supporting, caveat, not_relevant, unclear","Use the paper note to validate the area/subarea assignment, contribution type, method/evidence fields, artifact status, and whether the paper should be a headline, support, caveat, or excluded example.",C03 (Program committee attention): decide supports / weakens / complicates / not_applicable.,Identify the technical reason for high program signal and whether public attention misses it.,No obvious artifact link; record none/not_applicable unless PDF shows a release.,,,,,
claim,data/manual/claim_review_overrides.csv,C03::67084,true,67084,8,Position: AI/ML Deepfake Research is Misaligned with AI Generated Non-Consensual Intimate Imagery (AIG-NCII),"Safety, Governance, Privacy, and Society","Position papers, policy, and social impacts",C03,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,"manual_claim_support: supports, partial_support, weakens, contradicts, not_applicable, unclear; manual_taxonomy_judgment: correct, too_broad, too_narrow, wrong_area, wrong_subarea, unclear; manual_artifact_judgment: not_applicable, none, linked_unchecked, live_checked, runnable, broken","Use the paper note to decide whether this paper supports, weakens, complicates, or is not applicable to the linked claim; copy concise evidence and caveats into manual_notes.",C03 (Program committee attention): decide supports / weakens / complicates / not_applicable.,Identify the technical reason for high program signal and whether public attention misses it.,No obvious artifact link; record none/not_applicable unless PDF shows a release.,,,,,
area,data/manual/area_review_overrides.csv,"Safety, Governance, Privacy, and Society::67118",true,67118,9,Position: The Alignment Community is Unintentionally Building a Censor’s Toolkit,"Safety, Governance, Privacy, and Society","Position papers, policy, and social impacts",,pending_note,paper note not started,contribution_summary; novelty_judgment; method_summary; baselines_checked; datasets_checked; metrics_checked; evidence_strength; taxonomy_correction; final_report_use,manual_validated; manual_primary_contribution_type; manual_method_family; manual_benchmarks; manual_datasets; manual_metrics; manual_artifact_status; manual_result_character; manual_fault_line_relevance; manual_notes,"manual_validated: yes, partial, no, unclear; manual_primary_contribution_type: method, theory, system, dataset, benchmark, analysis, application, survey_or_position, unclear; manual_artifact_status: none, linked_unchecked, live_checked, runnable, broken, not_applicable; manual_fault_line_relevance: headline, supporting, caveat, not_relevant, unclear","Use the paper note to validate the area/subarea assignment, contribution type, method/evidence fields, artifact status, and whether the paper should be a headline, support, caveat, or excluded example.",C03 (Program committee attention): decide supports / weakens / complicates / not_applicable.,Identify the technical reason for high program signal and whether public attention misses it.,No obvious artifact link; record none/not_applicable unless PDF shows a release.,,,,,
