statement_type,id,name,wording_status,risk_tier,decision,allowed_wording,unsafe_wording,required_caveat,evidence_basis,promotion_condition,falsification_test,first_artifact_to_open
area,"Theory, Optimization, and Algorithms","Theory, Optimization, and Algorithms",orientation_only,critical,area_review_pending,"For orientation: Theory, Optimization, and Algorithms accounts for 11.1% of the corpus; treat the area narrative as unreviewed and risk-sensitive.","Do not rank this area, make subarea-share claims, or use baseline contrasts as conclusions before first checks are done.",Use for orientation only; avoid area-ranking or subarea conclusions until manual review and risk checks are done.,737 papers (11.1%); oral 1.45x; public 0.46x; historical delta +0.8 pp,reviewed area rows 0/16; 3 taxonomy clusters need adjudication; program signal exceeds public attention; 4 low-confidence evidence-code rows,"Adjudicate boundary clusters before making subarea-share or area-rank claims about Theory, Optimization, and Algorithms.",reports/area_briefing_cards/theory-optimization-and-algorithms.md
area,"AI for Science, Health, and Neuro","AI for Science, Health, and Neuro",orientation_only,critical,area_review_pending,"For orientation: AI for Science, Health, and Neuro accounts for 8.9% of the corpus; treat the area narrative as unreviewed and risk-sensitive.","Do not rank this area, make subarea-share claims, or use baseline contrasts as conclusions before first checks are done.",Use for orientation only; avoid area-ranking or subarea conclusions until manual review and risk checks are done.,587 papers (8.9%); oral 1.08x; public 0.33x; historical delta +0.9 pp,reviewed area rows 0/16; 4 taxonomy clusters need adjudication; 1 low-confidence evidence-code rows,"Adjudicate boundary clusters before making subarea-share or area-rank claims about AI for Science, Health, and Neuro.",reports/area_briefing_cards/ai-for-science-health-and-neuro.md
area,"Data-Centric, Causal, and Federated ML","Data-Centric, Causal, and Federated ML",orientation_only,critical,area_review_pending,"For orientation: Data-Centric, Causal, and Federated ML accounts for 7.9% of the corpus; treat the area narrative as unreviewed and risk-sensitive.","Do not rank this area, make subarea-share claims, or use baseline contrasts as conclusions before first checks are done.",Use for orientation only; avoid area-ranking or subarea conclusions until manual review and risk checks are done.,526 papers (7.9%); oral 0.75x; public 0.64x; historical delta -0.5 pp,reviewed area rows 0/16; 3 taxonomy clusters need adjudication; 1 low-confidence evidence-code rows,"Adjudicate boundary clusters before making subarea-share or area-rank claims about Data-Centric, Causal, and Federated ML.",reports/area_briefing_cards/data-centric-causal-and-federated-ml.md
area,Systems and Efficient Foundation Models,Systems and Efficient Foundation Models,orientation_only,critical,area_review_pending,For orientation: Systems and Efficient Foundation Models accounts for 7.8% of the corpus; treat the area narrative as unreviewed and risk-sensitive.,"Do not rank this area, make subarea-share claims, or use baseline contrasts as conclusions before first checks are done.",Use for orientation only; avoid area-ranking or subarea conclusions until manual review and risk checks are done.,515 papers (7.8%); oral 0.69x; public 1.31x; historical delta +2.1 pp,reviewed area rows 0/16; 1 taxonomy clusters need adjudication; moderate baseline sensitivity; public attention exceeds program signal; 2 low-confidence evidence-code rows,"Read high-public, non-program papers and decide whether attention reflects novelty, demo visibility, or hype.",reports/area_briefing_cards/systems-and-efficient-foundation-models.md
area,"Agents, Code, and Tool Use","Agents, Code, and Tool Use",orientation_only,critical,area_review_pending,"For orientation: Agents, Code, and Tool Use accounts for 7.5% of the corpus; treat the area narrative as unreviewed and risk-sensitive.","Do not rank this area, make subarea-share claims, or use baseline contrasts as conclusions before first checks are done.",Use for orientation only; avoid area-ranking or subarea conclusions until manual review and risk checks are done.,496 papers (7.5%); oral 1.19x; public 1.52x; historical delta +2.1 pp,reviewed area rows 0/16; 2 taxonomy clusters need adjudication; 1 low-confidence evidence-code rows,Review representative area-validation papers before turning orientation signals into prose claims.,reports/area_briefing_cards/agents-code-and-tool-use.md
area,"Safety, Governance, Privacy, and Society","Safety, Governance, Privacy, and Society",directional_only,high,area_review_pending,"Directional area signal: Safety and society papers are programmatically central, but vary sharply in executable evidence.","Do not make fine-grained subarea, quality, or reproducibility claims without reviewed papers.",Use as a directional area signal with explicit taxonomy/baseline caveats.,502 papers (7.6%); oral 1.41x; public 0.51x; historical delta +1.3 pp,reviewed area rows 0/16; moderate baseline sensitivity; program signal exceeds public attention; 4 low-confidence evidence-code rows,"Read program-forward, low-public papers and verify the technical rationale for committee attention.",reports/area_briefing_cards/safety-governance-privacy-and-society.md
area,"Graphs, Geometry, and Representation Learning","Graphs, Geometry, and Representation Learning",directional_only,high,area_review_pending,Directional area signal: Graph and geometric methods remain a bridge between structure-aware theory and domain-specific representations.,"Do not make fine-grained subarea, quality, or reproducibility claims without reviewed papers.",Use as a directional area signal with explicit taxonomy/baseline caveats.,391 papers (5.9%); oral 0.61x; public 0.38x; historical delta +1.2 pp,reviewed area rows 0/16; 2 taxonomy clusters need adjudication; 4 low-confidence evidence-code rows,Review representative area-validation papers before turning orientation signals into prose claims.,reports/area_briefing_cards/graphs-geometry-and-representation-learning.md
area,Generative Modeling,Generative Modeling,directional_only,high,area_review_pending,"Directional area signal: Diffusion and flow models are splitting into practical media generation, language alternatives, and sampling theory.","Do not make fine-grained subarea, quality, or reproducibility claims without reviewed papers.",Use as a directional area signal with explicit taxonomy/baseline caveats.,379 papers (5.7%); oral 0.83x; public 0.96x; historical delta +0.5 pp,reviewed area rows 0/16; 4 low-confidence evidence-code rows,Review representative area-validation papers before turning orientation signals into prose claims.,reports/area_briefing_cards/generative-modeling.md
area,Reinforcement Learning and Control,Reinforcement Learning and Control,directional_only,high,area_review_pending,"Directional area signal: Core RL is active but less publicly amplified than LLM-facing RL, with emphasis on offline learning, control, and computation.","Do not make fine-grained subarea, quality, or reproducibility claims without reviewed papers.",Use as a directional area signal with explicit taxonomy/baseline caveats.,312 papers (4.7%); oral 0.76x; public 0.66x; historical delta +0.9 pp,reviewed area rows 0/16; 6 low-confidence evidence-code rows,Review representative area-validation papers before turning orientation signals into prose claims.,reports/area_briefing_cards/reinforcement-learning-and-control.md
area,"Robotics, Embodiment, and World Models","Robotics, Embodiment, and World Models",directional_only,high,area_review_pending,"Directional area signal: Robotics is becoming a high-attention testbed for VLA models, memory, latent actions, and world models.","Do not make fine-grained subarea, quality, or reproducibility claims without reviewed papers.",Use as a directional area signal with explicit taxonomy/baseline caveats.,195 papers (2.9%); oral 0.81x; public 2.11x; historical delta +0.4 pp,reviewed area rows 0/16; public attention exceeds program signal; 8 low-confidence evidence-code rows,"Read high-public, non-program papers and decide whether attention reflects novelty, demo visibility, or hype.",reports/area_briefing_cards/robotics-embodiment-and-world-models.md
