table,field,allowed_value,counts_as_review,meaning,when_to_use,promotion_effect
claim_overlay,manual_taxonomy_judgment,wrong_area,yes,Report-level area assignment is wrong.,Use for clear area mismatch.,Blocks taxonomy-sensitive promotion.
claim_overlay,manual_taxonomy_judgment,wrong_subarea,yes,Subarea assignment is wrong but area may be acceptable.,Use for subarea mismatch.,Blocks subarea claims and adds caveat to area claims.
claim_overlay,manual_taxonomy_judgment,unclear,yes,Taxonomy relationship is unresolved.,Use when taxonomy needs another reviewer.,Blocks taxonomy-sensitive promotion.
claim_overlay,manual_artifact_judgment,not_applicable,yes,Artifact check is irrelevant to this claim/paper.,Use for theory/position or non-artifact claims.,Neutral.
claim_overlay,manual_artifact_judgment,none,yes,No artifact found.,Use after checking source links.,Does not satisfy artifact gate.
claim_overlay,manual_artifact_judgment,linked_unchecked,yes,Artifact link exists but was not inspected.,Use as a temporary state.,Does not satisfy artifact gate.
claim_overlay,manual_artifact_judgment,live_checked,yes,Artifact link was opened and is live.,Use after a live check.,Counts toward artifact gate.
claim_overlay,manual_artifact_judgment,runnable,yes,Artifact appears runnable/reproducible.,Use after inspecting setup or examples.,Counts toward artifact gate.
claim_overlay,manual_artifact_judgment,broken,yes,Artifact link or repository is unusable.,Use after direct inspection.,Counts as checked but weakens artifact claim.
area_overlay,manual_validated,yes,yes,Paper validates assigned area/subarea and area claim use.,Use when assignment and evidence are clear.,Supports area-level use.
area_overlay,manual_validated,partial,yes,Paper partly validates area use but needs caveat.,Use for boundary papers.,Supports area use with caveat.
area_overlay,manual_validated,no,yes,Paper should not validate the assigned area/fault line.,Use for misclassified or irrelevant examples.,Weakens area claim.
area_overlay,manual_validated,unclear,yes,Area validation is unresolved.,Use when more review is needed.,Does not support promotion.
area_overlay,manual_primary_contribution_type,method,yes,"Main contribution is an algorithm, architecture, model, or training method.",Use for mechanism-first papers.,Helps contribution-mix analysis.
area_overlay,manual_primary_contribution_type,theory,yes,Main contribution is formal analysis/proof.,Use for theory papers.,Helps program-attention analysis.
area_overlay,manual_primary_contribution_type,system,yes,"Main contribution is infrastructure, serving, tooling, or integrated system.",Use for systems/agents workflows.,Helps systems/agentic workload claims.
area_overlay,manual_primary_contribution_type,dataset,yes,"Main contribution is data collection, dataset, or resource.",Use when data resource is central.,Helps benchmark/data claims.
area_overlay,manual_primary_contribution_type,benchmark,yes,Main contribution is benchmark/evaluation suite.,Use for evaluation-package papers.,Important for C04/C05 interpretation.
area_overlay,manual_primary_contribution_type,analysis,yes,Main contribution is empirical or conceptual analysis.,Use for diagnostic/measurement papers.,Often supports caveats or fault lines.
area_overlay,manual_primary_contribution_type,application,yes,Main contribution is an applied use case.,Use when method novelty is secondary.,"Supports area breadth, not necessarily core method claims."
area_overlay,manual_primary_contribution_type,survey_or_position,yes,"Main contribution is position, survey, or argument.",Use for position papers.,"Useful for context, not empirical support."
area_overlay,manual_primary_contribution_type,unclear,yes,Contribution type cannot be decided.,Use when review is inconclusive.,Does not support contribution-type claims.
area_overlay,manual_artifact_status,none,yes,No artifact found.,Use after checking.,Weakens artifact claims.
area_overlay,manual_artifact_status,linked_unchecked,yes,Artifact link exists but was not inspected.,Use as temporary state.,Does not satisfy artifact inspection.
area_overlay,manual_artifact_status,live_checked,yes,Artifact link is live.,Use after opening the link.,"Supports artifact visibility, not reproducibility."
area_overlay,manual_artifact_status,runnable,yes,Artifact appears runnable or reproducible.,Use after inspecting setup/data/checkpoints.,Strong artifact support.
area_overlay,manual_artifact_status,broken,yes,"Artifact is stale, private, or unusable.",Use after failed direct check.,Weakens artifact claims.
area_overlay,manual_artifact_status,not_applicable,yes,Artifact is irrelevant to paper type.,Use for pure theory/position papers.,Neutral.
area_overlay,manual_result_character,positive,yes,Results primarily strengthen the area/fault-line story.,Use for clear wins or validated results.,Supports area synthesis.
area_overlay,manual_result_character,negative,yes,Results primarily show failures or limits.,Use for negative or cautionary papers.,Supports caveats.
area_overlay,manual_result_character,mixed,yes,Results are mixed across settings.,Use when paper should narrow a claim.,Supports nuanced claims.
area_overlay,manual_result_character,theoretical,yes,Result is mainly theoretical.,Use for theory/proof papers.,Useful for program/theory synthesis.
area_overlay,manual_result_character,benchmark_only,yes,Result is mainly benchmark/data packaging.,Use for dataset/benchmark papers.,Useful for evaluation landscape claims.
area_overlay,manual_result_character,unclear,yes,Result character cannot be decided.,Use when additional reading is needed.,Does not support promotion.
area_overlay,manual_fault_line_relevance,headline,yes,Paper is strong enough to anchor an area fault line.,Use sparingly for best examples.,Candidate report example.
area_overlay,manual_fault_line_relevance,supporting,yes,Paper supports but should not anchor the fault line.,Use for secondary examples.,Supports area synthesis.
area_overlay,manual_fault_line_relevance,caveat,yes,Paper mainly adds a caveat or boundary condition.,"Use for limitations, failures, or mixed evidence.",Improves critical analysis.
area_overlay,manual_fault_line_relevance,not_relevant,yes,Paper should not be used for this area fault line.,Use for irrelevant/misclassified rows.,Does not support area synthesis.
area_overlay,manual_fault_line_relevance,unclear,yes,Fault-line relevance is unresolved.,Use when another review pass is needed.,Does not support promotion.
