priority_rank,task_id,priority_score,sprint,sprint_rank,event_id,title,claim_id,claim_theme,thesis_role,claim_decision,readiness_tier,area,subarea,task_focus,why_this_paper,claim_question,minimum_decision_needed,what_to_extract,support_signal,weakening_signal,blocking_risk,required_manual_fields,source_artifacts,writeback_targets,next_action
19,C01-64095,19,sprint_01,19,64095,WeDLM: Reconciling Diffusion Language Models with Standard Causal Attention for Fast Inference,C01,LLM reasoning center of gravity,core_thesis_candidate,not_ready,high_priority_unreviewed,"LLM Reasoning, Post-Training, and RLVR",Diffusion language models and decoding,boundary_check_llm_reasoning,oral; votes=60; github_stars=644; taxonomy_review; evidence=medium,C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable.,reviewed rows 0/8; support rows 0/5 with 0 weakening rows; paper notes 0/4; taxonomy boundary unresolved,"Benchmark / evaluation: We propose WeDLM, a diffusion decoding framework built entirely on standard causal attention to make parallel generation prefix-cache friendly. ; Tags: Reasoning / test-time compute; Diffusion / flow; Transformer / attention; Causal / data-centric; setting: language/llm; abstract cues: diffusion; benchmark. ; identify baselines, datasets, metrics, ablations, and negative cases from the PDF ; Resolve whether the assigned area/subarea is truly the main contribution. Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.","Supports if the paper's main contribution is genuinely LLM reasoning, post-training, RLVR, or closely adjacent language-model capability work rather than a generic system/evaluation spillover.","Weakens if the assigned LLM reasoning/post-training label is secondary, wrong, or too broad for the paper's actual contribution.",Boundary papers must confirm this is LLM reasoning/post-training rather than broad LLM infrastructure spillover.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/64095-wedlm-reconciling-diffusion-language-models-with-standard-causal-atten.md ; reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md ; reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md ; reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C01::64095,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
20,C01-61180,21,sprint_01,21,61180,Latent Collaboration in Multi-Agent Systems,C01,LLM reasoning center of gravity,core_thesis_candidate,not_ready,high_priority_unreviewed,"LLM Reasoning, Post-Training, and RLVR",Reasoning models and chain-of-thought behavior,boundary_check_llm_reasoning,votes=402; github_stars=1048; taxonomy_review; evidence=medium,C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,reviewed rows 0/8; support rows 0/5 with 0 weakening rows; paper notes 0/4; taxonomy boundary unresolved,"Benchmark / evaluation: We introduce LatentMAS, an end-to-end training-free framework that enables pure latent collaboration among LLM agents. ; Tags: Reasoning / test-time compute; Agents / tool use; setting: math/code/verifiable; language/llm; theory/synthetic; abstract cues: benchmark; agent. ; metrics: accuracy; memory ; Resolve whether the assigned area/subarea is truly the main contribution. Check whether high attention supports the center-of-gravity claim. | Decide whether this cluster should remain in the assigned area/subarea or be relabeled. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.","Supports if the paper's main contribution is genuinely LLM reasoning, post-training, RLVR, or closely adjacent language-model capability work rather than a generic system/evaluation spillover.","Weakens if the assigned LLM reasoning/post-training label is secondary, wrong, or too broad for the paper's actual contribution.",Boundary papers must confirm this is LLM reasoning/post-training rather than broad LLM infrastructure spillover.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/61180-latent-collaboration-in-multi-agent-systems.md ; reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md ; reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md ; reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C01::61180,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
21,C03-63048,22,sprint_01,22,63048,Equivalence of Context and Parameter Updates in Modern Transformer Blocks,C03,Program committee attention,core_thesis_candidate,not_ready,high_priority_unreviewed,"Theory, Optimization, and Algorithms",Transformer theory and attention expressivity,program_attention_explanation,oral; votes=24; taxonomy_review; evidence=medium,C03 (Program committee attention): decide supports / weakens / complicates / not_applicable.,reviewed rows 0/8; support rows 0/5 with 0 weakening rows; paper notes 0/4; taxonomy boundary unresolved,"Theory / proof: To unify these findings, we introduce a general framework centered on two core properties: input controllability and output controllability. ; Tags: Transformer / attention; setting: language/llm; theory/synthetic; abstract cues: transformer; theory. ; check theorem assumptions and empirical/theory split ; Resolve whether the assigned area/subarea is truly the main contribution. Identify the technical reason for high program signal and whether public attention misses it. ; No obvious artifact link; record none/not_applicable unless PDF shows a release.",Supports if the paper gives a concrete technical reason for oral/award/program attention that is not captured by public votes alone.,"Weakens if program signal appears unrelated to technical novelty, or if the paper is not actually program-ahead-of-public after inspection.",Low-public/high-program papers must yield concrete technical reasons for committee attention.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use,reports/review_reading_briefs/63048-equivalence-of-context-and-parameter-updates-in-modern-transformer-blo.md ; reports/claim_validation_packets/c03-program-committee-attention.md ; reports/claim_evidence_dossiers/c03-program-committee-attention.md ; reports/area_briefing_cards/theory-optimization-and-algorithms.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C03::63048,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
22,C03-63638,23,sprint_01,23,63638,Optimal Decision-Making Based on Prediction Sets,C03,Program committee attention,core_thesis_candidate,not_ready,high_priority_unreviewed,"Theory, Optimization, and Algorithms",Statistical learning theory and regression,program_attention_explanation,oral; votes=6; github_stars=0; taxonomy_review; evidence=medium,C03 (Program committee attention): decide supports / weakens / complicates / not_applicable.,reviewed rows 0/8; support rows 0/5 with 0 weakening rows; paper notes 0/4; taxonomy boundary unresolved,"Theory / proof: Here, we propose a decision-theoretic framework that seeks to minimize the expected loss (risk) against a worst-case distribution consistent with the prediction set's coverage guarantee. ; Tags: RL / policy optimization; Bayesian / probabilistic; setting: science/domain; security/safety; theory/synthetic; abstract cues: safety. ; identify baselines, datasets, metrics, ablations, and negative cases from the PDF ; Resolve whether the assigned area/subarea is truly the main contribution. Identify the technical reason for high program signal and whether public attention misses it. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",Supports if the paper gives a concrete technical reason for oral/award/program attention that is not captured by public votes alone.,"Weakens if program signal appears unrelated to technical novelty, or if the paper is not actually program-ahead-of-public after inspection.",Low-public/high-program papers must yield concrete technical reasons for committee attention.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/63638-optimal-decision-making-based-on-prediction-sets.md ; reports/claim_validation_packets/c03-program-committee-attention.md ; reports/claim_evidence_dossiers/c03-program-committee-attention.md ; reports/area_briefing_cards/theory-optimization-and-algorithms.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C03::63638,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
23,C02-64377,24,sprint_01,24,64377,$\tau^2$-Bench: Evaluating Conversational Agents in a Dual-Control Environment,C02,Infrastructure and agentic workloads,core_thesis_candidate,not_ready,high_priority_unreviewed,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",infrastructure_coherence,oral; votes=89; github_stars=1569; evidence=medium,C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable.,reviewed rows 0/8; support rows 0/5 with 0 weakening rows; paper notes 0/4; taxonomy boundary unresolved,"Benchmark / evaluation: In order to address this gap, we introduce $\tau^2$-bench, with four key contributions: 1. ; Tags: Reasoning / test-time compute; Agents / tool use; setting: math/code/verifiable; robotics/embodied; language/llm; theory/synthetic; abstract cues: benchmark; agent; tool. ; look for ablations; check human-study or user-evaluation setup; check sim-to-real or deployment evidence ; Check whether program-selected papers substantiate systems/agents emphasis. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.","Supports if the paper contributes reusable infrastructure, efficiency, optimization, agent/tool/code workflow machinery, or a workload shift that is not just ordinary model training.","Weakens if the paper is mainly a narrow model result, benchmark, or theoretical claim with little infrastructure/agent relevance.",Historical-delta interpretation must survive a spot check of systems and agents/code examples.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/64377-tau-2-bench-evaluating-conversational-agents-in-a-dual-control-environ.md ; reports/claim_validation_packets/c02-infrastructure-and-agentic-workloads.md ; reports/claim_evidence_dossiers/c02-infrastructure-and-agentic-workloads.md ; reports/area_briefing_cards/agents-code-and-tool-use.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C02::64377,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
24,C02-63095,25,sprint_01,25,63095,Agent0-VL: Exploring Self-Evolving Agent for Tool-Integrated Vision-Language Reasoning,C02,Infrastructure and agentic workloads,core_thesis_candidate,not_ready,high_priority_unreviewed,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",infrastructure_coherence,oral; votes=89; github_stars=1228; evidence=medium,C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable.,reviewed rows 0/8; support rows 0/5 with 0 weakening rows; paper notes 0/4; taxonomy boundary unresolved,"Dataset / data resource: To address these challenges, inspired by recent advances in tool-integrated reasoning, we propose Agent0-VL, a self-evolving vision-language agent that achieves continual improvement with tool-integrated reasoning. ; Tags: RL / policy optimization; Reasoning / test-time compute; Agents / tool use; Graphs / geometry; setting: vision/video; language/llm; abstract cues: reinforcement learning; agent; tool; multimodal. ; metrics: reward; check theorem assumptions and empirical/theory split; check human-study or user-evaluation setup ; Check whether program-selected papers substantiate systems/agents emphasis. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.","Supports if the paper contributes reusable infrastructure, efficiency, optimization, agent/tool/code workflow machinery, or a workload shift that is not just ordinary model training.","Weakens if the paper is mainly a narrow model result, benchmark, or theoretical claim with little infrastructure/agent relevance.",Historical-delta interpretation must survive a spot check of systems and agents/code examples.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/63095-agent0-vl-exploring-self-evolving-agent-for-tool-integrated-vision-lan.md ; reports/claim_validation_packets/c02-infrastructure-and-agentic-workloads.md ; reports/claim_evidence_dossiers/c02-infrastructure-and-agentic-workloads.md ; reports/area_briefing_cards/agents-code-and-tool-use.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C02::63095,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
25,C03-67247,26,sprint_01,26,67247,Position: Stop Automating Peer Review Without Rigorous Evaluation,C03,Program committee attention,core_thesis_candidate,not_ready,high_priority_unreviewed,"Safety, Governance, Privacy, and Society","Position papers, policy, and social impacts",program_attention_explanation,oral; votes=13; evidence=low,C03 (Program committee attention): decide supports / weakens / complicates / not_applicable.,reviewed rows 0/8; support rows 0/5 with 0 weakening rows; paper notes 0/4; taxonomy boundary unresolved,Position / conceptual: Large language models offer a tempting solution to address the peer review crisis. ; Tags: no method-family tag; setting: language/llm; abstract cues: no obvious abstract keyword cue. ; check human-study or user-evaluation setup ; Identify the technical reason for high program signal and whether public attention misses it. ; No obvious artifact link; record none/not_applicable unless PDF shows a release.,Supports if the paper gives a concrete technical reason for oral/award/program attention that is not captured by public votes alone.,"Weakens if program signal appears unrelated to technical novelty, or if the paper is not actually program-ahead-of-public after inspection.",Low-public/high-program papers must yield concrete technical reasons for committee attention.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use,reports/review_reading_briefs/67247-position-stop-automating-peer-review-without-rigorous-evaluation.md ; reports/claim_validation_packets/c03-program-committee-attention.md ; reports/claim_evidence_dossiers/c03-program-committee-attention.md ; reports/area_briefing_cards/safety-governance-privacy-and-society.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C03::67247,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
26,C01-60765,30,sprint_01,30,60765,Learning to Theorize the World from Observation,C01,LLM reasoning center of gravity,core_thesis_candidate,not_ready,high_priority_unreviewed,"LLM Reasoning, Post-Training, and RLVR",Reasoning models and chain-of-thought behavior,boundary_check_llm_reasoning,oral; votes=56; taxonomy_review; evidence=low,C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable.,reviewed rows 0/8; support rows 0/5 with 0 weakening rows; paper notes 0/4; taxonomy boundary unresolved,"System / infrastructure: In this paper, we introduce Learning-to-Theorize (L2T), a learning paradigm in which an AI system acquires the ability to construct theories represented as executable programs directly from observation alone. ; Tags: no method-family tag; setting: math/code/verifiable; vision/video; language/llm; theory/synthetic; abstract cues: theory. ; identify baselines, datasets, metrics, ablations, and negative cases from the PDF ; Resolve whether the assigned area/subarea is truly the main contribution. Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper. ; No obvious artifact link; record none/not_applicable unless PDF shows a release.","Supports if the paper's main contribution is genuinely LLM reasoning, post-training, RLVR, or closely adjacent language-model capability work rather than a generic system/evaluation spillover.","Weakens if the assigned LLM reasoning/post-training label is secondary, wrong, or too broad for the paper's actual contribution.",Boundary papers must confirm this is LLM reasoning/post-training rather than broad LLM infrastructure spillover.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use,reports/review_reading_briefs/60765-learning-to-theorize-the-world-from-observation.md ; reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md ; reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md ; reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C01::60765,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
27,C02-62794,31,sprint_01,31,62794,ToolOrchestra: Elevating Intelligence via Efficient Model and Tool Orchestration,C02,Infrastructure and agentic workloads,core_thesis_candidate,not_ready,high_priority_unreviewed,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",infrastructure_coherence,votes=260; github_stars=745; evidence=medium,C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable.,reviewed rows 0/8; support rows 0/5 with 0 weakening rows; paper notes 0/4; taxonomy boundary unresolved,"Theory / proof: We show that small orchestrators managing other models and a variety of tools are able to both push the upper bound of intelligence and improve efficiency in solving difficult agentic tasks. ; Tags: RL / policy optimization; LLM post-training; Reasoning / test-time compute; Agents / tool use; setting: language/llm; abstract cues: reinforcement learning; agent; tool. ; metrics: accuracy; check theorem assumptions and empirical/theory split; check human-study or user-evaluation setup ; Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.","Supports if the paper contributes reusable infrastructure, efficiency, optimization, agent/tool/code workflow machinery, or a workload shift that is not just ordinary model training.","Weakens if the paper is mainly a narrow model result, benchmark, or theoretical claim with little infrastructure/agent relevance.",Historical-delta interpretation must survive a spot check of systems and agents/code examples.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/62794-toolorchestra-elevating-intelligence-via-efficient-model-and-tool-orch.md ; reports/claim_validation_packets/c02-infrastructure-and-agentic-workloads.md ; reports/claim_evidence_dossiers/c02-infrastructure-and-agentic-workloads.md ; reports/area_briefing_cards/agents-code-and-tool-use.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C02::62794,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
28,C01-68817,32,sprint_01,32,68817,Process Reward Models That Think,C01,LLM reasoning center of gravity,core_thesis_candidate,not_ready,high_priority_unreviewed,"LLM Reasoning, Post-Training, and RLVR",RL for reasoning models and verifiable rewards,boundary_check_llm_reasoning,votes=1815; github_stars=89; evidence=medium,C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C06 (External trend context): decide supports / weakens / complicates / not_applicable.,reviewed rows 0/8; support rows 0/5 with 0 weakening rows; paper notes 0/4; taxonomy boundary unresolved,"Benchmark / evaluation: We propose ThinkPRM, a long CoT verifier fine-tuned on orders of magnitude fewer process labels than those required by discriminative PRMs. ; Tags: RL / policy optimization; LLM post-training; Reasoning / test-time compute; setting: math/code/verifiable; language/llm; abstract cues: benchmark. ; benchmarks: ProcessBench; GPQA-Diamond; LiveCodeBench; metrics: reward ; Check whether high attention supports the center-of-gravity claim. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.","Supports if the paper's main contribution is genuinely LLM reasoning, post-training, RLVR, or closely adjacent language-model capability work rather than a generic system/evaluation spillover.","Weakens if the assigned LLM reasoning/post-training label is secondary, wrong, or too broad for the paper's actual contribution.",Boundary papers must confirm this is LLM reasoning/post-training rather than broad LLM infrastructure spillover.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/68817-process-reward-models-that-think.md ; reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md ; reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md ; reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C01::68817,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
29,C02-63436,33,sprint_01,33,63436,xKV: Cross-Layer KV-Cache Compression via Aligned Singular Vector Extraction,C02,Infrastructure and agentic workloads,core_thesis_candidate,not_ready,high_priority_unreviewed,Systems and Efficient Foundation Models,Long-context attention and KV-cache compression,infrastructure_coherence,votes=518; github_stars=52; evidence=medium,C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable. C06 (External trend context): decide supports / weakens / complicates / not_applicable.,reviewed rows 0/8; support rows 0/5 with 0 weakening rows; paper notes 0/4; taxonomy boundary unresolved,"System / infrastructure: We show, via Centered Kernel Alignment (CKA), that the dominant singular vectors of KV-Cache are well aligned across layers. ; Tags: LLM post-training; Agents / tool use; Transformer / attention; Compression / efficiency; setting: math/code/verifiable; language/llm; abstract cues: no obvious abstract keyword cue. ; metrics: accuracy; latency; throughput; memory; check theorem assumptions and empirical/theory split ; Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.","Supports if the paper contributes reusable infrastructure, efficiency, optimization, agent/tool/code workflow machinery, or a workload shift that is not just ordinary model training.","Weakens if the paper is mainly a narrow model result, benchmark, or theoretical claim with little infrastructure/agent relevance.",Historical-delta interpretation must survive a spot check of systems and agents/code examples.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/63436-xkv-cross-layer-kv-cache-compression-via-aligned-singular-vector-extra.md ; reports/claim_validation_packets/c02-infrastructure-and-agentic-workloads.md ; reports/claim_evidence_dossiers/c02-infrastructure-and-agentic-workloads.md ; reports/area_briefing_cards/systems-and-efficient-foundation-models.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C02::63436,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
30,C02-62992,34,sprint_01,34,62992,Monitoring Monitorability,C02,Infrastructure and agentic workloads,core_thesis_candidate,not_ready,high_priority_unreviewed,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",infrastructure_coherence,oral; votes=28; github_stars=2786; evidence=medium,C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable.,reviewed rows 0/8; support rows 0/5 with 0 weakening rows; paper notes 0/4; taxonomy boundary unresolved,"Benchmark / evaluation: We propose three evaluation archetypes (intervention, process, and outcome-property), a new monitorability metric, and a broad evaluation suite. ; Tags: Reasoning / test-time compute; Agents / tool use; setting: robotics/embodied; abstract cues: agent. ; check theorem assumptions and empirical/theory split ; Check whether program-selected papers substantiate systems/agents emphasis. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.","Supports if the paper contributes reusable infrastructure, efficiency, optimization, agent/tool/code workflow machinery, or a workload shift that is not just ordinary model training.","Weakens if the paper is mainly a narrow model result, benchmark, or theoretical claim with little infrastructure/agent relevance.",Historical-delta interpretation must survive a spot check of systems and agents/code examples.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/62992-monitoring-monitorability.md ; reports/claim_validation_packets/c02-infrastructure-and-agentic-workloads.md ; reports/claim_evidence_dossiers/c02-infrastructure-and-agentic-workloads.md ; reports/area_briefing_cards/agents-code-and-tool-use.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C02::62992,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
31,C03-65657,36,sprint_01,36,65657,Jailbreak Foundry: From Papers to Runnable Attacks for Reproducible Benchmarking,C03,Program committee attention,core_thesis_candidate,not_ready,high_priority_unreviewed,"Safety, Governance, Privacy, and Society","Adversarial safety, attacks, and security",program_attention_explanation,oral; votes=9; github_stars=158; evidence=medium,C03 (Program committee attention): decide supports / weakens / complicates / not_applicable.,reviewed rows 0/8; support rows 0/5 with 0 weakening rows; paper notes 0/4; taxonomy boundary unresolved,"Benchmark / evaluation: We introduce **JAILBREAK FOUNDRY (JBF)**, a system that addresses this gap via a multi-agent workflow to translate jailbreak papers into executable modules for immediate evaluation within a unified harness. ; Tags: Agents / tool use; setting: math/code/verifiable; language/llm; security/safety; abstract cues: benchmark; dataset; agent. ; benchmarks: AdvBench; metrics: success_rate ; Identify the technical reason for high program signal and whether public attention misses it. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",Supports if the paper gives a concrete technical reason for oral/award/program attention that is not captured by public votes alone.,"Weakens if program signal appears unrelated to technical novelty, or if the paper is not actually program-ahead-of-public after inspection.",Low-public/high-program papers must yield concrete technical reasons for committee attention.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/65657-jailbreak-foundry-from-papers-to-runnable-attacks-for-reproducible-ben.md ; reports/claim_validation_packets/c03-program-committee-attention.md ; reports/claim_evidence_dossiers/c03-program-committee-attention.md ; reports/area_briefing_cards/safety-governance-privacy-and-society.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C03::65657,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
32,C02-65622,37,sprint_01,37,65622,CVE-Factory: Scaling Expert-Level Agentic Tasks for Code Security Vulnerability,C02,Infrastructure and agentic workloads,core_thesis_candidate,not_ready,high_priority_unreviewed,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",infrastructure_coherence,oral; votes=21; github_stars=139; evidence=medium,C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable.,reviewed rows 0/8; support rows 0/5 with 0 weakening rows; paper notes 0/4; taxonomy boundary unresolved,"Benchmark / evaluation: To address these, we present CVE-Factory, the first multi-agent framework to achieve expert-level quality in automatically transforming sparse CVE metadata into fully executable agentic tasks. ; Tags: LLM post-training; Reasoning / test-time compute; Agents / tool use; Compression / efficiency; setting: math/code/verifiable; security/safety; abstract cues: benchmark; agent; tool. ; benchmarks: LiveCVEBench; check theorem assumptions and empirical/theory split; check human-study or user-evaluation setup ; Check whether program-selected papers substantiate systems/agents emphasis. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.","Supports if the paper contributes reusable infrastructure, efficiency, optimization, agent/tool/code workflow machinery, or a workload shift that is not just ordinary model training.","Weakens if the paper is mainly a narrow model result, benchmark, or theoretical claim with little infrastructure/agent relevance.",Historical-delta interpretation must survive a spot check of systems and agents/code examples.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/65622-cve-factory-scaling-expert-level-agentic-tasks-for-code-security-vulne.md ; reports/claim_validation_packets/c02-infrastructure-and-agentic-workloads.md ; reports/claim_evidence_dossiers/c02-infrastructure-and-agentic-workloads.md ; reports/area_briefing_cards/agents-code-and-tool-use.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C02::65622,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
