venue,year,area,paper_count,share,high_confidence_count,medium_confidence_count,low_confidence_count,uncoded_count,abstract_available_count,representative_titles
ICLR 2026,2026,"Data-Centric, Causal, and Federated ML",156,0.0285,3,103,50,0,156,High-dimensional Analysis of Synthetic Data Selection | WaterDrum: Watermark-based Data-centric Unlearning Metric | Foundation Models for Causal Inference via Prior-Data Fitted Networks | Privacy-Protected Causal Survival Analysis Under Distribution Shift | Towards Privacy-Guaranteed Label Unlearning in Vertical Federated Learning: Few-Shot Forgetting Without Disclosure | Executable Counterfactuals: Improving LLMs' Causal Reasoning Through Code | Distributionally Robust Classification for Multi-source Unsupervised Domain Adaptation | Coarse-to-Fine Learning of Dynamic Causal Structures
ICLR 2026,2026,"Robotics, Embodiment, and World Models",110,0.0201,51,55,4,0,110,Interleave-VLA: Enhancing Robot Manipulation with Image-Text Interleaved Instructions | Sim2Real VLA: Zero-Shot Generalization of Synthesized Skills to Realistic Manipulation | X-VLA: Soft-Prompted Transformer as Scalable Cross-Embodiment Vision-Language-Action Model | Vision-Language-Action Instruction Tuning: From Understanding to Manipulation | TwinVLA: Data-Efficient Bimanual Manipulation with Twin Single-Arm Vision-Language-Action Models | Vlaser: Vision-Language-Action Model with Synergistic Embodied Reasoning | RoboOmni: Proactive Robot Manipulation in Omni-modal Context | OmniEVA: Embodied Versatile Planner via Task-Adaptive 3D-Grounded and Embodiment-aware Reasoning
ICLR 2026,2026,Uncoded / Other,62,0.0113,0,0,0,62,62,"Understanding Task Vectors in In-Context Learning: Emergence, Functionality, and Limitations | Transformers are Inherently Succinct | Toward Principled Flexible Scaling for Self-Gated Neural Activation | Tokenisation over Bounded Alphabets is Hard | The Expressive Limits of Diagonal SSMs for State-Tracking | The Coverage Principle: How Pre-Training Enables Post-Training | The Counting Power of Transformers | Task Vectors, Learned Not Extracted: Performance Gains and Mechanistic Insights"
ICML 2025,2025,Uncoded / Other,627,0.1878,0,0,0,627,0,polybasic Speculative Decoding Through a Theoretical Perspective | any4: Learned 4-bit Numeric Representation for LLMs | ZeroFlow: Overcoming Catastrophic Forgetting is Easier than You Think | Zero-shot Meta-learning for Tabular Prediction Tasks with Adversarially Pre-trained Transformer | XAttention: Block Sparse Attention with Antidiagonal Scoring | X-Hacking: The Threat of Misguided AutoML | WikiBigEdit: Understanding the Limits of Lifelong Knowledge Editing in LLMs | Widening the Network Mitigates the Impact of Data Heterogeneity on FedAvg
ICML 2025,2025,"Theory, Optimization, and Algorithms",490,0.1468,40,159,291,0,0,Bayesian Optimization from Human Feedback: Near-Optimal Regret Bounds | TSP: A Two-Sided Smoothed Primal-Dual Method for Nonconvex Bilevel Optimization | Stochastic Smoothed Primal-Dual Algorithms for Nonconvex Optimization with Linear Inequality Constraints | Recommendations with Sparse Comparison Data: Provably Fast Convergence for Nonconvex Matrix Factorization | Quantum Optimization via Gradient-Based Hamiltonian Descent | Optimization Proxies using Limited Labeled Data and Training Time -- A Semi-Supervised Bayesian Neural Network Approach | Optimal Transport Barycenter via Nonconvex-Concave Minimax Optimization | On Linear Convergence in Smooth Convex-Concave Bilinearly-Coupled Saddle-Point Optimization: Lower Bounds and Optimal Algorithms
ICML 2025,2025,"AI for Science, Health, and Neuro",300,0.0898,32,180,88,0,0,A Generalizable Physics-Enhanced State Space Model for Long-Term Dynamics Forecasting in Complex Environments | PDE-Transformer: Efficient and Versatile Transformers for Physics Simulations | OneForecast: A Universal Framework for Global and Regional Weather Forecasting | NMA-tune: Generating Highly Designable and Dynamics Aware Protein Backbones | Fixing the Double Penalty in Data-Driven Weather Forecasting Through a Modified Spherical Harmonic Loss Function | A Physics-Augmented Deep Learning Framework for Classifying Single Molecule Force Spectroscopy Data | Winner-takes-all for Multivariate Probabilistic Time Series Forecasting | When Will It Fail?: Anomaly to Prompt for Forecasting Future Anomalies in Time Series
ICML 2025,2025,"Multimodal, Vision, and Perception",276,0.0827,8,65,203,0,0,Generalizable Multi-Camera 3D Object Detection from a Single Source via Fourier Cross-View Learning | Visual Attention Never Fades: Selective Progressive Attention ReCalibration for Detailed Image Captioning in Multimodal Large Language Models | Retrieval-Augmented Perception: High-resolution Image Perception Meets Visual RAG | Orient Anything: Learning Robust Object Orientation Estimation from Rendering 3D Models | OW-VAP: Visual Attribute Parsing for Open World Object Detection | Mitigating Object Hallucination in Large Vision-Language Models via Image-Grounded Guidance | GS-Bias: Global-Spatial Bias Learner for Single-Image Test-Time Adaptation of Vision-Language Models | Ex-VAD: Explainable Fine-grained Video Anomaly Detection Based on Visual-Language Models
ICML 2025,2025,"Safety, Governance, Privacy, and Society",266,0.0797,20,101,145,0,0,On the Alignment between Fairness and Accuracy: from the Perspective of Adversarial Robustness | Improving Zero-Shot Adversarial Robustness in Vision-Language Models by Closed-form Alignment of Adversarial Path Simplices | Antidote: Post-fine-tuning Safety Alignment for Large Language Models against Harmful Fine-tuning Attack | Position: Certified Robustness Does Not (Yet) Imply Model Security | Watch Out Your Album! On the Inadvertent Privacy Memorization in Multi-Modal Large Language Models | Variance as a Catalyst: Efficient and Transferable Semantic Erasure Adversarial Attack for Customized Diffusion Models | Understanding Model Ensemble in Transferable Adversarial Attack | TtBA: Two-third Bridge Approach for Decision-Based Adversarial Attack
ICML 2025,2025,"LLM Reasoning, Post-Training, and RLVR",259,0.0776,3,44,212,0,0,video-SALMONN-o1: Reasoning-enhanced Audio-visual Large Language Model | Active Reward Modeling: Adaptive Preference Labeling for Large Language Model Alignment | Accelerating Large Language Model Reasoning via Speculative Search | What Do Learning Dynamics Reveal About Generalization in LLM Mathematical Reasoning? | VersaPRM: Multi-Domain Process Reward Model via Synthetic Reasoning Data | Underestimated Privacy Risks for Minority Populations in Large Language Model Unlearning | UDora: A Unified Red Teaming Framework against LLM Agents by Dynamically Hijacking Their Own Reasoning | Token Assorted: Mixing Latent and Text Tokens for Improved Language Model Reasoning
ICML 2025,2025,"Graphs, Geometry, and Representation Learning",241,0.0722,13,95,133,0,0,ML$^2$-GCL: Manifold Learning Inspired Lightweight Graph Contrastive Learning | Topology-Aware Dynamic Reweighting for Distribution Shifts on Graph | Stable Fair Graph Representation Learning with Lipschitz Constraint | SDMG: Smoothing Your Diffusion Models for Powerful Graph Representation Learning | Rhomboid Tiling for Geometric Graph Deep Learning | Multi-Domain Graph Foundation Models: Robust Knowledge Transfer via Topology Alignment | Mitigating Local Cohesion and Global Sparseness in Graph Contrastive Learning with Fuzzy Boundaries | Hyperbolic-PDE GNN: Spectral Graph Neural Networks in the Perspective of A System of Hyperbolic Partial Differential Equations
ICML 2025,2025,Generative Modeling,234,0.0701,16,100,118,0,0,Compressed Image Generation with Denoising Diffusion Codebook Models | Wasserstein Flow Matching: Generative Modeling Over Families of Distributions | Training Diffusion-based Generative Models with Limited Data | Simple and Critical Iterative Denoising: A Recasting of Discrete Diffusion in Graph Generation | Revisiting Diffusion Models: From Generative Pre-training to One-Step Generation | RestoreGrad: Signal Restoration Using Conditional Denoising Diffusion Models with Jointly Learned Prior | Modulated Diffusion: Accelerating Generative Modeling with Modulated Quantization | MDDM: Practical Message-Driven Generative Image Steganography Based on Diffusion Models
ICML 2025,2025,Reinforcement Learning and Control,203,0.0608,23,136,44,0,0,The Impact of On-Policy Parallelized Data Collection on Deep Reinforcement Learning Networks | Maximum Entropy Reinforcement Learning with Diffusion Policy | Improving the Continuity of Goal-Achievement Ability via Policy Self-Regularization for Goal-Conditioned Reinforcement Learning | Efficient Online Reinforcement Learning for Diffusion Policy | A Forget-and-Grow Strategy for Deep Reinforcement Learning Scaling in Continuous Control | Learning Safe Control via On-the-Fly Bandit Exploration | Speeding up Policy Simulation in Supply Chain RL | RobustLight: Improving Robustness via Diffusion Reinforcement Learning for Traffic Signal Control
ICML 2025,2025,"Data-Centric, Causal, and Federated ML",182,0.0545,3,45,134,0,0,Federated Causal Structure Learning with Non-identical Variable Sets | Causal-PIK: Causality-based Physical Reasoning with a Physics-Informed Kernel | Bayesian Active Learning for Bivariate Causal Discovery | Sparse Causal Discovery with Generative Intervention for Unsupervised Graph Domain Adaptation | Private Federated Learning using Preference-Optimized Synthetic Data | Efficient Heterogeneity-Aware Federated Active Data Selection | Causality Inspired Federated Learning for OOD Generalization | CAN: Leveraging Clients As Navigators for Generative Replay in Federated Continual Learning
ICML 2025,2025,"Agents, Code, and Tool Use",137,0.041,18,49,70,0,0,Wolfpack Adversarial Attack for Robust Multi-Agent Reinforcement Learning | Robust Multi-Agent Reinforcement Learning with Stochastic Adversary | Reidentify: Context-Aware Identity Generation for Contextual Multi-Agent Reinforcement Learning | R3DM: Enabling Role Discovery and Diversity Through Dynamics Models in Multi-agent Reinforcement Learning | O-MAPL: Offline Multi-agent Preference Learning | M³HF: Multi-agent Reinforcement Learning from Multi-phase Human Feedback of Mixed Quality | Learning Progress Driven Multi-Agent Curriculum | LLM-Assisted Semantically Diverse Teammate Generation for Efficient Multi-agent Coordination
ICML 2025,2025,Systems and Efficient Foundation Models,102,0.0305,1,21,80,0,0,CommVQ: Commutative Vector Quantization for KV Cache Compression | ShadowKV: KV Cache in Shadows for High-Throughput Long-Context LLM Inference | SLiM: One-shot Quantization and Sparsity with Low-rank Approximation for LLM Weight Compression | RocketKV: Accelerating Long-Context LLM Inference via Two-Stage KV Cache Compression | MxMoE: Mixed-precision Quantization for MoE with Accuracy and Performance Co-Design | Moirai-MoE: Empowering Time Series Foundation Models with Sparse Mixture of Experts | MoE-SVD: Structured Mixture-of-Experts LLMs Compression via Singular Value Decomposition | Lexico: Extreme KV Cache Compression via Sparse Coding over Universal Dictionaries
ICML 2025,2025,"Robotics, Embodiment, and World Models",22,0.0066,5,11,6,0,0,UP-VLA: A Unified Understanding and Prediction Model for Embodied Agent | Rethinking Latent Redundancy in Behavior Cloning: An Information Bottleneck Approach for Robot Manipulation | ReinboT: Amplifying Robot Visual-Language Manipulation with Reinforcement Learning | Hi Robot: Open-Ended Instruction Following with Hierarchical Vision-Language-Action Models | DexScale: Automating Data Scaling for Sim2Real Generalizable Robot Control | World Model Implanting for Test-time Adaptation of Embodied Agents | Diversifying Robot Locomotion Behaviors with Extrinsic Behavioral Curiosity | VIP: Vision Instructed Pre-training for Robotic Manipulation
ICML 2026,2026,"Multimodal, Vision, and Perception",920,0.1388,212,458,250,0,920,TVDRNet: Text-driven Viewpoint Optimization via Differentiable Rendering for 3D Reasoning Segmentation | CVSearch: Empowering Multimodal LLMs with Cognitive Visual Search for High-Resolution Image Perception | VSCD: Video-based Scene Change Detection in Unaligned Scenes | SG2Loc: Sequential Visual Localization on 3D Scene Graphs | ReVSI: Rebuilding Visual Spatial Intelligence Evaluation for Accurate Assessment of VLM 3D Reasoning | Holi-Spatial: Evolving Video Streams into Holistic 3D Spatial Intelligence | CamGeo: Sparse Camera-Conditioned Image-to-Video Generation with 3D Geometry Priors | 3D-RFT: Reinforcement Fine-Tuning for Video-based 3D Scene Understanding
ICML 2026,2026,"Theory, Optimization, and Algorithms",852,0.1285,118,336,398,0,852,"Lower Complexity Bounds for Nonconvex-Strongly-Convex Bilevel Optimization with First-Order Oracles | Improved Dimension Dependence for Bandit Convex Optimization with Gradient Variations | Flat Minima and Generalization: Insights from Stochastic Convex Optimization | Stability and Generalization of Nonconvex Optimization with Heavy-Tailed Noise | On Regret Bounds of Thompson Sampling for Bayesian Optimization | Logarithmic Switching Regret for Online Convex Optimization | Finite and Corruption-Robust Regret Bounds in Online Inverse Linear Optimization under M-Convex Action Sets | Optimization, Generalization and Differential Privacy Bounds for Gradient Descent on Kolmogorov–Arnold Networks"
ICML 2026,2026,"LLM Reasoning, Post-Training, and RLVR",848,0.1279,74,358,416,0,848,"ImgCoT: Compressing Long Chain of Thought into Compact Visual Tokens for Efficient Reasoning of Large Language Model | Time Series Reasoning via Process-Verifiable Thinking Data Synthesis and Scheduling for Tailored LLM Reasoning | RuCL: Stratified Rubric-Based Curriculum Learning for Multimodal Large Language Model Reasoning | Depth-Breadth Synergy in RLVR: Unlocking LLM Reasoning Gains with Adaptive Exploration | When to Think, When to Speak: Learning Disclosure Policies for Large Language Model Reasoning | Vision-aligned Latent Reasoning for Multi-Modal Large Language Model | Transitivity Meets Cyclicity: Explicit Preference Decomposition for Dynamic Large Language Model Alignment | ThoughtFold: Folding Reasoning Chains via Introspective Preference Learning"
ICML 2026,2026,"AI for Science, Health, and Neuro",625,0.0943,154,310,161,0,625,Benchmarking Physics-Informed Time-Series Models for Operational Global Station Weather Forecasting | GenUnfold: Rapidly Predict Protein Mechanical Unfolding Trajectory via a Physics-Guided Diffusion Model | Teaching Molecular Dynamics to a Non-Autoregressive Ionic Transport Predictor | Protein Language Model Embeddings Improve Generalization of Implicit Transfer Operators | MedMamba: Multi-View State Space Models with Adaptive Graph Learning for Medical Time Series Classification | Large-Scale Molecular Dynamics Simulations: Direct Interatomic Modeling with Dilated Message Passing | HybridOM: Hybrid Physics-Based and Data-Driven Global Ocean Modeling with Efficient Regional Downscaling | ClimateAR: Multi-Scale Autoregressive Generative Modeling for Seasonal-to-Interannual Climate Forecasting
ICML 2026,2026,"Safety, Governance, Privacy, and Society",601,0.0907,80,310,211,0,601,STARE: Step-wise Temporal Alignment and Red-teaming Engine for Multi-modal Toxicity Attack | Disentangling Intent from Role: Adversarial Self-Play for Persona-Invariant Safety Alignment | A Coin Flip for Safety: LLM Judges Fail to Reliably Measure Adversarial Robustness | Revisiting Robustness for LLM Safety Alignment via Selective Geometry Control | Towards Context-Invariant Safety Alignment for Large Language Models | On the Adversarial Robustness of Large Vision-Language Models under Visual Token Compression | Metis: Learning to Jailbreak LLMs via Self-Evolving Metacognitive Policy Optimization | MAGIC: A Co-Evolving Attacker–Defender Adversarial Game for Robust LLM Safety
ICML 2026,2026,Reinforcement Learning and Control,517,0.078,206,269,42,0,517,Emergence of Exploration in Policy Gradient Reinforcement Learning via Retrying | ScaleMoE: Mixture-of-Experts for Scalable Continuous Control in Actor-Critic Reinforcement Learning | Towards Efficient and Expressive Offline RL via Flow-Anchored Noise-conditioned Q-Learning | Taming the Aleatoric Impulse in Off-Policy Reinforcement Learning | Mind Your Entropy: From Maximum Entropy to Trajectory Entropy-Constrained RL | Trust-Region Diffusion Policies for Massively Parallel On-Policy RL | Learning Structured Reasoning via Tractable Trajectory Control | Geometric Control of Out-of-Distribution Shift in Safe Offline RL
ICML 2026,2026,"Graphs, Geometry, and Representation Learning",497,0.075,77,299,121,0,497,"SFCLTA: Spectral Fusion Contrastive Learning with Topology-Adaptive Graph Augmentation | Discriminative Attribute Graph Clustering Through Topology-Guided Contrastive Learning | Chiral Symmetry Breaking in Transformers: A Group-Equivariant Framework for Solving the Reversal Curse via Adjoint Manifold Mappings | Boundary Embedding Shaping with Adaptive Contrastive Learning for Graph Structural Disentanglement | The Geometric Mechanics of Contrastive Representation Learning: Alignment Potentials, Entropic Dispersion, and Cross-Modal Divergence | From Distribution to Geometry: Stable Graph Generalization via Invariant Barycenters | VBA: Vector Bundle Attention for Intrinsically Geometric Representation Learning | Sheaf Neural Networks on SPD Manifolds: Second-Order Geometric Representation Learning"
ICML 2026,2026,Generative Modeling,487,0.0735,62,367,58,0,487,Minibatch Optimal Transport and Perplexity Bound Estimation in Discrete Flow Matching | Efficient Generative Modeling beyond Memoryless Diffusion via Adjoint Schrödinger Bridge Matching | Diffusion Flow Matching: Dimension-Improved KL Bounds and Wasserstein Guarantees | Diffusion Bridge or Flow Matching? A Unifying Framework and Comparative Analysis | Beyond Generative Priors: Minority Sampling with JEPA-Guided Diffusion | Revisiting Spectral Representations in Generative Diffusion Models | Random Process Flow Matching: Generative Implicit Representations of Multivariate Random Fields | On the Collapse of Generative Paths: A Criterion and Correction for Diffusion Steering
ICML 2026,2026,"Agents, Code, and Tool Use",455,0.0686,144,241,70,0,455,FullStack-Agent: Enhancing Agentic Full-Stack Web Coding via Development-Oriented Testing and Repository Back-Translation | When Planning Fails Despite Correct Execution: On Epistemic Calibration for LLM-Based Multi-Agent Systems | Vulnerable Agent Identification in Large-Scale Multi-Agent Reinforcement Learning | TABX: A High-Throughput Sandbox Battle Simulator for Multi-Agent Reinforcement Learning | PrivAct: Internalizing Contextual Privacy Preservation via Multi-Agent Preference Training | NL2Repo-Bench: Towards Long-Horizon Repository Generation Evaluation of Coding Agents | MulFCoder: Framework-conditioned Multi-agent for MLLM-based Multi-framework Front-end Code Generation | Learning Decentralized LLM Collaboration with Multi-Agent Actor Critic
ICML 2026,2026,Systems and Efficient Foundation Models,351,0.053,28,175,148,0,351,RQ-MoE: Residual Quantization via Mixture of Experts for Efficient Input-Dependent Vector Compression | ZipMoE: Efficient On-Device MoE Serving via Lossless Compression and Cache-Affinity Scheduling | Attribution-Guided and Coverage-Maximized Pruning for Structural MoE Compression | WarmServe: Enabling One-for-Many GPU Prewarming for Multi-LLM Serving | STAR-KV: Low-Rank KV Cache Compression via Soft Thresholding for Adaptive Rank Control | DuetServe: Harmonizing Prefill and Decode for LLM Serving via Adaptive GPU Multiplexing | AugServe: Adaptive Request Scheduling for Augmented Large Language Model Inference Serving | FAFO: Lossy KV Cache Compression for Lossless Inference Acceleration via Draftless Fumble Decoding
ICML 2026,2026,"Data-Centric, Causal, and Federated ML",257,0.0388,12,165,80,0,257,"U$^3$CF: Unbiased, Unconfounding, and Unified Causal Framework for Multi-Target Domain Adaptation | Scaling Unsupervised Multi-Source Federated Domain Adaptation through Group-Wise Discrepancy Minimization | Regret-Based Federated Causal Discovery with Unknown Interventions | Federated Causal Inference on Multi-Site Observational Data via Propensity Score Aggregation | GFedCL: Graph-Based Federated Continual Learning with Spatial and Temporal Awareness | Forgetting Whenever You Want: A Decentralized Continual Learning Framework with On-Demand Unlearning | Active Learning with Low-Rank Structure for Data Selection | The Forgetting-Retention Dilemma: Certified Unlearning Theory in Continual Learning"
ICML 2026,2026,"Robotics, Embodiment, and World Models",118,0.0178,62,48,8,0,118,"TIC-VLA: A Think-in-Control Vision-Language-Action Model for Robot Navigation in Dynamic Environments | AIR-VLA: Vision-Language-Action Systems for Aerial Manipulation | SafeLab: An Interactive High-Fidelity Benchmark for Embodied Safety in Scientific Robotics | Latent Reasoning VLA: Latent Thinking and Prediction for Vision-Language-Action Models | CaP-X: A Framework for Benchmarking and Improving Coding Agents for Robot Manipulation | RoboFlow4D: A Lightweight Flow World Model Toward Real-Time Flow-Guided Robotic Manipulation | Plan in Sandbox, Navigate in Open Worlds: Learning Physics-Grounded Abstracted Experience for Embodied Navigation | Joint Navigation and Manipulation Planning with 3D Interaction Chains"
ICML 2026,2026,Uncoded / Other,100,0.0151,0,0,0,100,100,xLSTM Distillation: Achieving Teacher-Student Parity Through Efficient Hybrid Architectures | XTransfer: Modality-Agnostic Few-Shot Model Transfer for Human Sensing at the Edge | Why ReLU? A Bit-Model Dichotomy for Deep Network Training | When Shared Knowledge Hurts: Spectral Over-Accumulation in Model Merging | When Is Symbolic Regression Tractable? | Weight-sparse transformers have interpretable circuits | Weight Updates as Activation Shifts: A Principled Framework for Steering | Unlocking the Potential of Continual Model Merging: An ODE Perspective
NeurIPS 2025,2025,"Multimodal, Vision, and Perception",1214,0.2072,158,674,382,0,0,VoxDet: Rethinking 3D Semantic Scene Completion as Dense Object Detection | Video Perception Models for 3D Scene Synthesis | Visual Sync: Multi‑Camera Synchronization via Cross‑View Object Motion | Spike4DGS: Towards High-Speed Dynamic Scene Rendering with 4D Gaussian Splatting via a Spike Camera Array | Rooms from Motion: Un-posed Indoor 3D Object Detection as Localization and Mapping | Omnidirectional 3D Scene Reconstruction from Single Image | MesaTask: Towards Task-Driven Tabletop Scene Generation via 3D Spatial Reasoning | Domain-RAG: Retrieval-Guided Compositional Image Generation for Cross-Domain Few-Shot Object Detection
NeurIPS 2025,2025,Uncoded / Other,771,0.1316,0,0,0,771,0,pLSTM: parallelizable Linear Source Transition Mark networks | msf-CNN: Patch-based Multi-Stage Fusion with Convolutional Neural Networks for TinyML | mmWalk: Towards Multi-modal Multi-view Walking Assistance | egoEMOTION: Egocentric Vision and Physiological Signals for Emotion and Personality Recognition in Real-world Tasks | ZeroSep: Separate Anything in Audio with Zero Training | ZeroS: Zero‑Sum Linear Attention for Efficient Transformers | ZeCO: Zero-Communication Overhead Sequence Parallelism for Linear Attention | ZEUS: Zero-shot Embeddings for Unsupervised Separation of Tabular Data
NeurIPS 2025,2025,"Theory, Optimization, and Algorithms",684,0.1168,51,235,398,0,0,Isotropic Noise in Stochastic and Quantum Convex Optimization | Non-stationary Bandit Convex Optimization: A Comprehensive Study | Fast Zeroth-Order Convex Optimization with Quantum Gradient Methods | $O(\sqrt{T})$ Static Regret and Instance Dependent Constraint Violation for Constrained Online Convex Optimization | Stochastic Optimization in Semi-Discrete Optimal Transport: Convergence Analysis and Minimax Rate | Stochastic Momentum Methods for Non-smooth Non-Convex Finite-Sum Coupled Compositional Optimization | Statistical Analysis of an Adversarial Bayesian Weak Supervision Method | Second-order Optimization under Heavy-Tailed Noise: Hessian Clipping and Sample Complexity Limits
