audience,phase,rank,title,why_read,award,is_oral,public_total_votes,visits_last_7_days,github_stars,reading_score,themes,cluster_id,cluster_label,official_topic,sector_mix,authors,canonical_institutions,url,alphaxiv_url,github_url
LLM Reasoning Researcher,core_depth,11,Scaling Prompt Synthesis for Large Language Model Reasoning,"theme: LLM reasoning and test-time compute, RL for LLMs and verifiable rewards; cluster: 13 scaling / test time / test / time; topic: Large Language Models; keywords: reasoning, test-time, verifiable, cot",,false,50,3,131,8.2597,"Agents, tools, and computer use; LLM reasoning and test-time compute; RL for LLMs and verifiable rewards",13,scaling / test time / test / time,Deep Learning->Large Language Models,Academia; Industry; Other / unknown,Xueliang Zhao; Wei Wu; Jian Guan; Zhuocheng Gong; Lingpeng Kong,Alibaba; Ant International; Peking University; University of Hong Kong,https://icml.cc/virtual/2026/poster/64164,https://www.alphaxiv.org/abs/2509.19894,https://github.com/inclusionAI/PromptCoT
LLM Reasoning Researcher,core_depth,12,Many-Shot CoT-ICL: Making In-Context Learning Truly Learn,"theme: LLM reasoning and test-time compute, RL for LLMs and verifiable rewards; cluster: 13 scaling / test time / test / time; topic: Large Language Models; keywords: reasoning, test-time, chain-of-thought, cot",,false,17,4,0,8.2301,"Agents, tools, and computer use; LLM reasoning and test-time compute; RL for LLMs and verifiable rewards",13,scaling / test time / test / time,Deep Learning->Large Language Models,Academia; Other / unknown,Tsz Ting Chung; Lemao Liu; Mo Yu; Dit-Yan Yeung,Fudan University; Hong Kong University of Science and Technology; IBM Research,https://icml.cc/virtual/2026/poster/61268,https://www.alphaxiv.org/abs/2605.13511,
LLM Reasoning Researcher,adjacent_context,13,Compute as Teacher: Turning Inference Compute Into Reference-Free Supervision,"theme: LLM reasoning and test-time compute, RL for LLMs and verifiable rewards; cluster: 13 scaling / test time / test / time; topic: Large Language Models; keywords: test-time, verifiable, rubric",,false,278,38,1,8.0948,"AI for science, health, and biology; Agents, tools, and computer use; Causality and data-centric ML; LLM reasoning and test-time compute; RL for LLMs and verifiable rewards",13,scaling / test time / test / time,Deep Learning->Large Language Models,Academia; Industry; Other / unknown; Research institute,Dulhan Jayalath; Shashwat Goel; Thomas Foster; Parag Jain; Suchin Gururangan; Cheng Zhang; Anirudh Goyal; Alan Schelten,Max Planck / ELLIS; Meta; University of Oxford; University of Washington; Université de Montréal,https://icml.cc/virtual/2026/poster/61605,https://www.alphaxiv.org/abs/2509.14234,https://github.com/cympyc1785/transformers-4.46.3-custom
LLM Reasoning Researcher,adjacent_context,14,Reward Modeling from Natural Language Human Feedback,"theme: LLM reasoning and test-time compute, RL for LLMs and verifiable rewards; cluster: 24 preference / reward / preferences / preference optimization; topic: Large Language Models; keywords: reasoning, process reward, verifiable",,false,116,8,0,7.9623,"LLM reasoning and test-time compute; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards",24,preference / reward / preferences / preference optimization,Deep Learning->Large Language Models,Academia; Industry,Zongqi Wang; Rui Wang; Yuchuan Wu; Yiyao Yu; Pinyi Zhang; Shaoning Sun; Yujiu Yang; Yongbin Li,Alibaba; East China Normal University; Tsinghua University,https://icml.cc/virtual/2026/poster/61702,https://www.alphaxiv.org/abs/2601.07349,https://github.com/ArkS0001/Enhancing-Reinforcement-Learning-with-Label-Sensitive-Reward-for-Natural-Language-Understanding-
LLM Reasoning Researcher,adjacent_context,15,Accordion-Thinking: Self-Regulated Step Summaries for Efficient and Readable LLM Reasoning,"theme: LLM reasoning and test-time compute, RL for LLMs and verifiable rewards; cluster: 13 scaling / test time / test / time; topic: Large Language Models; keywords: reasoning, test-time, chain-of-thought",,false,19,5,5,7.8891,"LLM reasoning and test-time compute; RL for LLMs and verifiable rewards; Systems, efficiency, and compression",13,scaling / test time / test / time,Deep Learning->Large Language Models,Academia; Industry,Zhicheng Yang; Zhijiang Guo; Yinya Huang; Yongxin Wang; Wenlei Shi; Yiwei Wang; Xiaodan Liang; Jing Tang,"ETH Zurich; Hong Kong University of Science and Technology; Huawei; Microsoft; Mohamed bin Zayed University of Artificial Intelligence; University of California, Merced",https://icml.cc/virtual/2026/poster/60860,https://www.alphaxiv.org/abs/2602.03249,https://github.com/yangzhch6/Accordion-Thinking
LLM Reasoning Researcher,adjacent_context,16,What If We Allocate Test-Time Compute Adaptively?,"theme: LLM reasoning and test-time compute, RL for LLMs and verifiable rewards; cluster: 13 scaling / test time / test / time; topic: Large Language Models; keywords: reasoning, test-time, process reward",,false,3,0,0,7.8853,"Agents, tools, and computer use; Diffusion, flow, and generative modeling; LLM reasoning and test-time compute; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards; Systems, efficiency, and compression; Theory, optimization, and sampling",13,scaling / test time / test / time,Deep Learning->Large Language Models,Academia; Other / unknown,Ahsan Bilal; Muhammad Ahmed Mohsin; Muhammad Umer; Ali Subhan; Hassan Rizwan; Ayesha Mohsin; Dean Hougen,"NUST’s School of Electrical Engineering and Computer Science (SEECS); Stanford University; Universitat Pompeu Fabra; University of California, Riverside; University of Oklahoma",https://icml.cc/virtual/2026/poster/60797,https://www.alphaxiv.org/abs/2602.01070,
LLM Reasoning Researcher,adjacent_context,17,rePIRL: Learn PRM with Inverse RL for LLM Reasoning,"theme: LLM reasoning and test-time compute, RL for LLMs and verifiable rewards; cluster: 13 scaling / test time / test / time; topic: Large Language Models; keywords: reasoning, test-time, process reward",,false,10,0,0,7.8767,"LLM reasoning and test-time compute; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards; Systems, efficiency, and compression",13,scaling / test time / test / time,Deep Learning->Large Language Models,Academia; Industry; Other / unknown,Xian Wu; Kaijie Zhu; Ying Zhang; Lun Wang; Wenbo Guo,"Computer Science, UC Santa Barbara; Google; Northwestern University; Pennsylvania State University; University of California, Santa Barbara",https://icml.cc/virtual/2026/poster/65059,https://www.alphaxiv.org/abs/2602.07832,
LLM Reasoning Researcher,adjacent_context,18,TRACE: Toulmin-based Reasoning Assessment through Constructive Elements for LLM CoT Evaluation,"theme: LLM reasoning and test-time compute, RL for LLMs and verifiable rewards; cluster: 1 language / language models / llms / large language; topic: Large Language Models; keywords: reasoning, chain-of-thought, cot",,false,1,6,1,7.8755,"LLM reasoning and test-time compute; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards; Theory, optimization, and sampling",1,language / language models / llms / large language,Deep Learning->Large Language Models,Other / unknown,Yundong Kim; Heyoung Yang,Korea Institute of Science and Technology Information,https://icml.cc/virtual/2026/poster/64470,https://www.alphaxiv.org/abs/2605.29656,https://github.com/hyyangkisti/trace
LLM Reasoning Researcher,optional_deep_cut,19,Reward-free Alignment for Conflicting Objectives,"theme: LLM reasoning and test-time compute, RL for LLMs and verifiable rewards; cluster: 24 preference / reward / preferences / preference optimization; topic: Large Language Models; oral",,true,13,3,0,7.8397,"LLM reasoning and test-time compute; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards; Safety, alignment, governance, and risk; Theory, optimization, and sampling",24,preference / reward / preferences / preference optimization,Deep Learning->Large Language Models,Academia; Other / unknown,Peter Chen; Xiaopeng Li; Xi Chen; Tianyi Lin,Columbia University; NYU; The Chinese University of Hong Kong; UC Berkeley,https://icml.cc/virtual/2026/poster/60903,https://www.alphaxiv.org/abs/2602.02495,
LLM Reasoning Researcher,optional_deep_cut,20,TokSuite: Measuring the Impact of Tokenizer Choice on Language Model Behavior,"theme: LLM reasoning and test-time compute, RL for LLMs and verifiable rewards; cluster: 1 language / language models / llms / large language; topic: Large Language Models; oral",,true,10,16,12,7.8393,"LLM reasoning and test-time compute; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards; Safety, alignment, governance, and risk",1,language / language models / llms / large language,Deep Learning->Large Language Models,Academia; Industry; Research institute,Gül Sena Altıntaş; Malikeh Ehghaghi; Brian Lester; Fengyuan Liu; Wanru Zhao; Marco Ciccone; Colin Raffel,Google; Mila; University of Cambridge; University of North Carolina at Chapel Hill; University of Toronto; Vector Institute,https://icml.cc/virtual/2026/poster/60925,https://www.alphaxiv.org/abs/2512.20757,https://github.com/r-three/Tokenizers
LLM Reasoning Researcher,optional_deep_cut,21,Information Flow Reveals When to Trust Language Models,"theme: LLM reasoning and test-time compute, RL for LLMs and verifiable rewards; cluster: 1 language / language models / llms / large language; topic: Large Language Models; oral",,true,0,0,0,7.8146,Interpretability and mechanistic analysis; LLM reasoning and test-time compute; RL for LLMs and verifiable rewards,1,language / language models / llms / large language,Deep Learning->Large Language Models,Academia,Rui Xu; Yi Chen; Jiujiu Chen; Sihong Xie,Hong Kong University of Science and Technology; Jilin University,https://icml.cc/virtual/2026/poster/60884,,
LLM Reasoning Researcher,optional_deep_cut,22,Alternating Reinforcement Learning for Rubric-Based Reward Modeling in Non-Verifiable LLM Post-Training,"theme: LLM reasoning and test-time compute, RL for LLMs and verifiable rewards; cluster: 24 preference / reward / preferences / preference optimization; topic: Large Language Models; keywords: verifiable, rubric",,false,83,30,0,7.6133,"LLM reasoning and test-time compute; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards; Safety, alignment, governance, and risk; Theory, optimization, and sampling",24,preference / reward / preferences / preference optimization,Deep Learning->Large Language Models,Academia; Other / unknown,Ran Xu; Tianci Liu; Zihan Dong; Tony Yu; Ilgee Hong; Carl Yang; Linjun Zhang; Tuo Zhao; Haoyu Wang,Emory University; Georgia Tech; Purdue University; Rutgers University; Scale AI; State University of New York at Albany,https://icml.cc/virtual/2026/poster/66465,https://www.alphaxiv.org/abs/2602.01511,
LLM Reasoning Researcher,optional_deep_cut,23,Scaling Generative Verifiers For Natural Language Mathematical Proof Verification And Selection,"theme: LLM reasoning and test-time compute, RL for LLMs and verifiable rewards; cluster: 1 language / language models / llms / large language; topic: Large Language Models; keywords: reasoning, verifiable",,false,16,17,1004,7.5639,"Agents, tools, and computer use; LLM reasoning and test-time compute; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards",1,language / language models / llms / large language,Deep Learning->Large Language Models,Academia; Industry,Sadegh Mahdavi; Branislav Kisacanin; Shubham Toshniwal; Wei Du; Ivan Moshkov; George Armstrong; Renjie Liao; Christos Thrampoulidis; Igor Gitman,"Department of Electrical and Computer Engineering, The University of British Columbia; NVIDIA; University of British Columbia",https://icml.cc/virtual/2026/poster/64413,https://www.alphaxiv.org/abs/2511.13027,https://github.com/NVIDIA-NeMo/Skills
LLM Reasoning Researcher,optional_deep_cut,24,Knowing When to Quit: A Principled Framework for Dynamic Abstention in LLM Reasoning,"theme: LLM reasoning and test-time compute, RL for LLMs and verifiable rewards; cluster: 1 language / language models / llms / large language; topic: Large Language Models; keywords: reasoning, chain-of-thought",,false,2,27,0,7.5574,"Agents, tools, and computer use; LLM reasoning and test-time compute; RL for LLMs and verifiable rewards; Theory, optimization, and sampling",1,language / language models / llms / large language,Deep Learning->Large Language Models,Academia; Industry,Hen Davidov; Nachshon Cohen; Oren Kalinsky; Yaron Fairstein; Guy Kushilevitz; Ram Yazdi; Patrick Rebeschini,"Amazon; Technion - Israel Institute of Technology, Technion; University of Oxford",https://icml.cc/virtual/2026/poster/64083,https://www.alphaxiv.org/abs/2604.18419,
LLM Reasoning Researcher,optional_deep_cut,25,A Regret Minimization Framework on Preference Learning in Large Language Models,"theme: LLM reasoning and test-time compute, RL for LLMs and verifiable rewards; cluster: 24 preference / reward / preferences / preference optimization; topic: Large Language Models; keywords: reasoning, verifiable",,false,0,3,0,7.5457,"LLM reasoning and test-time compute; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards; Theory, optimization, and sampling",24,preference / reward / preferences / preference optimization,Deep Learning->Large Language Models,Academia; Industry; Other / unknown; Research institute,Suhwan Kim; Taehyun Cho; Youngsoo Jang; Geon-Hyeong Kim; Yu Jin Kim; Moontae Lee; Jungwoo Lee,LG AI Research; Seoul National University; UNIST; University of Illinois Chicago; Vector Institute,https://icml.cc/virtual/2026/poster/62432,https://www.alphaxiv.org/abs/2606.09124,https://github.com/saramal/RePO-A_Regret_Minimization_Framework_on_Preference_Learning_in_Large_Language_Models
RL Researcher,start_here,1,The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models,"theme: RL for LLMs and verifiable rewards, Theory, optimization, and sampling; cluster: 6 reasoning / reinforcement / rl / reinforcement learning; keywords: policy; official award; oral",Outstanding Paper Award,true,92,588,212,10.4298,"Diffusion language models; Diffusion, flow, and generative modeling; LLM reasoning and test-time compute; RL for LLMs and verifiable rewards; Systems, efficiency, and compression; Theory, optimization, and sampling",6,reasoning / reinforcement / rl / reinforcement learning,Deep Learning->Large Language Models,Academia; Industry,Zanlin Ni; Shenzhi Wang; Yang Yue; Tianyu Yu; Weilin Zhao; Yeguo Hua; Tianyi Chen; Jun Song; YuCheng; Bo Zheng; Gao Huang,Alibaba; Tsinghua University,https://icml.cc/virtual/2026/poster/61998,https://www.alphaxiv.org/abs/2601.15165,https://github.com/LeapLabTHU/JustGRPO
RL Researcher,start_here,2,On Computation and Reinforcement Learning,"theme: RL for LLMs and verifiable rewards, Theory, optimization, and sampling; cluster: 7 reinforcement learning / reinforcement / policy / rl; topic: Reinforcement Learning; keywords: reinforcement learning, policy, offline rl; oral",,true,11,4,168,8.8981,"Agents, tools, and computer use; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards; Theory, optimization, and sampling",7,reinforcement learning / reinforcement / policy / rl,Reinforcement Learning->Deep RL,Academia,Raj Ghugare; Michał Bortkiewicz; Alicja Ziarko; Benjamin Eysenbach,Princeton University; University of Warsaw; Warsaw University of Technology,https://icml.cc/virtual/2026/poster/65047,https://www.alphaxiv.org/abs/2602.05999,https://github.com/jordan8409212/RL-for-binary-computation-offloading-in-wireless-powered-MEC-networks
RL Researcher,start_here,3,Mitigating Reward Hacking in RLHF via Bayesian Non-negative Reward Modeling,"theme: RL for LLMs and verifiable rewards, Theory, optimization, and sampling; cluster: 24 preference / reward / preferences / preference optimization; topic: Reinforcement Learning; keywords: reinforcement learning, reward; oral",,true,6,12,0,8.548,"Causality and data-centric ML; Interpretability and mechanistic analysis; RL for LLMs and verifiable rewards; Safety, alignment, governance, and risk; Theory, optimization, and sampling",24,preference / reward / preferences / preference optimization,Reinforcement Learning->Deep RL,Academia; Industry; Other / unknown,Zhibin Duan; Guowei Rong; Zhuo Li; Bo Chen; Mingyuan Zhou; Dandan Guo,"Amazon; CUHKSZ; Jilin University; SRIBD; School of Electronic Engineering, Xidian University; Xi'an Jiaotong University; jilin university",https://icml.cc/virtual/2026/poster/65437,https://www.alphaxiv.org/abs/2602.10623,
RL Researcher,start_here,4,Chebyshev Policies and the Mountain Car Problem: Reinforcement Learning for Low-dimensional Control Tasks,"theme: RL for LLMs and verifiable rewards, Theory, optimization, and sampling; cluster: 7 reinforcement learning / reinforcement / policy / rl; topic: Reinforcement Learning; keywords: reinforcement learning, regret; oral",,true,3,4,0,8.5333,"Agents, tools, and computer use; Interpretability and mechanistic analysis; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards; Systems, efficiency, and compression; Theory, optimization, and sampling",7,reinforcement learning / reinforcement / policy / rl,Theory->Reinforcement Learning and Planning,Academia,Stefan Huber; Hannes Unger; Georg Schäfer; Jakob Rehrl,Salzburg University of Applied Sciences,https://icml.cc/virtual/2026/poster/63070,https://www.alphaxiv.org/abs/2605.22305,
RL Researcher,start_here,5,Minimax Optimal Strategy for Delayed Observations in Online Reinforcement Learning,"theme: RL for LLMs and verifiable rewards, Theory, optimization, and sampling; cluster: 9 theory / algorithm / optimal / regret; topic: Reinforcement Learning; keywords: reinforcement learning, regret; oral",,true,0,3,0,8.5234,"Agents, tools, and computer use; LLM reasoning and test-time compute; RL for LLMs and verifiable rewards; Theory, optimization, and sampling",9,theory / algorithm / optimal / regret,Theory->Reinforcement Learning and Planning,Academia,Harin Lee; Kevin Jamieson,University of Washington,https://icml.cc/virtual/2026/poster/62587,https://www.alphaxiv.org/abs/2603.03480,
RL Researcher,core_depth,6,Reinforcement Learning from Human Feedback with Active Queries,"theme: RL for LLMs and verifiable rewards, Theory, optimization, and sampling; cluster: 24 preference / reward / preferences / preference optimization; topic: Reinforcement Learning; keywords: reinforcement learning, policy, bandit, regret",,false,0,1,0,8.3382,"Diffusion, flow, and generative modeling; RL for LLMs and verifiable rewards; Safety, alignment, governance, and risk; Theory, optimization, and sampling",24,preference / reward / preferences / preference optimization,Reinforcement Learning->Online,Academia,Kaixuan Ji; Jiafan He; Quanquan Gu,"University of California, Los Angeles",https://icml.cc/virtual/2026/poster/68804,https://www.alphaxiv.org/abs/2402.09401,
RL Researcher,core_depth,7,SMAC: Score-Matched Actor-Critics for Robust Offline-to-Online Transfer,"theme: RL for LLMs and verifiable rewards, Theory, optimization, and sampling; cluster: 7 reinforcement learning / reinforcement / policy / rl; topic: Reinforcement Learning; keywords: reinforcement learning, policy, offline rl, reward",,false,6,0,0,8.331,"RL for LLMs and verifiable rewards; Theory, optimization, and sampling",7,reinforcement learning / reinforcement / policy / rl,Reinforcement Learning->Batch/Offline,Academia,Nathan S. de Lara; Florian Shkurti,Carnegie Mellon University; University of Toronto,https://icml.cc/virtual/2026/poster/64368,https://www.alphaxiv.org/abs/2602.17632,https://github.com/delara38/smac.github.io
RL Researcher,core_depth,8,TUR-DPO: Topology- and Uncertainty-Aware Direct Preference Optimization,"theme: RL for LLMs and verifiable rewards, Theory, optimization, and sampling; cluster: 24 preference / reward / preferences / preference optimization; topic: Reinforcement Learning; keywords: reinforcement learning, policy, reward, preference optimization",,false,1,2,0,8.2415,"LLM reasoning and test-time compute; Memorization, evaluation, and generalization; Multimodal, vision-language, and video; RL for LLMs and verifiable rewards; Systems, efficiency, and compression; Theory, optimization, and sampling",24,preference / reward / preferences / preference optimization,Reinforcement Learning->Policy Search,Academia,Abdulhady abas; Fatemeh Daneshfar; Seyedali Mirjalili; Mourad Oussalah,Torrens University Australia; University of Oulu; university of kurdistan; university of kurdistan hewler,https://icml.cc/virtual/2026/poster/63310,https://www.alphaxiv.org/abs/2605.00224,
