area,event_id,global_review_rank,area_review_rank,title,subarea,selection_reason,reviewer,review_date,review_source,manual_validated,manual_primary_contribution_type,manual_method_family,manual_benchmarks,manual_datasets,manual_metrics,manual_artifact_status,manual_result_character,manual_fault_line_relevance,manual_notes
"Theory, Optimization, and Algorithms",60879,86,11,Path-dependent Discrete Amortized Inference,Bayesian and probabilistic methods,program_signal_low_public_attention,,,,,,,,,,,,,
"Theory, Optimization, and Algorithms",66499,87,12,Robust Contextual Optimization with Missing Covariates,Bayesian and probabilistic methods,program_signal_low_public_attention,,,,,,,,,,,,,
"Agents, Code, and Tool Use",61379,88,10,MemEvolve: Meta-Evolution of Agent Memory Systems,"Multi-agent search, planning, and coordination",public_attention_not_program_signal,,,,,,,,,,,,,
"Theory, Optimization, and Algorithms",63567,89,9,Weight-sparse transformers have interpretable circuits,Transformer theory and attention expressivity,public_attention_not_program_signal,,,,,,,,,,,,,
"Theory, Optimization, and Algorithms",64188,90,10,You Need Better Attention Priors,Transformer theory and attention expressivity,public_attention_not_program_signal,,,,,,,,,,,,,
Systems and Efficient Foundation Models,65102,91,6,MuonSSM: Orthogonalizing State Space Models for Sequence Modeling,"Large-scale training, optimizers, and model architecture",fault_line_representative,,,,,,,,,,,,,
"Theory, Optimization, and Algorithms",61046,92,6,Rational Transductors,Transformer theory and attention expressivity,fault_line_representative,,,,,,,,,,,,,
"LLM Reasoning, Post-Training, and RLVR",64784,93,16,Self-Distilled Reasoner: On-Policy Self-Distillation for Large Language Models,Reasoning models and chain-of-thought behavior,taxonomy_boundary_cluster,,,,,,,,,,,,,
Generative Modeling,62241,94,1,A Random Matrix Perspective on the Consistency of Diffusion Models,"Diffusion sampling, transport, and inverse problems",fault_line_representative,,,,,,,,,,,,,
Generative Modeling,65132,95,2,High-accuracy sampling for diffusion models and log-concave distributions,"Diffusion sampling, transport, and inverse problems",fault_line_representative,,,,,,,,,,,,,
"Safety, Governance, Privacy, and Society",66364,96,10,Towards a Science of AI Agent Reliability,"Position papers, policy, and social impacts",public_attention_not_program_signal,,,,,,,,,,,,,
"Agents, Code, and Tool Use",62831,98,13,VenusBench-Mobile: A Challenging and User-Centric Benchmark for Mobile GUI Agents with Capability Diagnostics,"Agent evaluation, tool use, and agentic workflows",program_signal_low_public_attention,,,,,,,,,,,,,
"AI for Science, Health, and Neuro",64138,99,11,AI Engram: In Search of Memory Traces in Artificial Intelligence,"Latent dynamics, neuroscience, and dynamical systems",program_signal_low_public_attention,,,,,,,,,,,,,
"AI for Science, Health, and Neuro",61526,100,12,CoEvol-NO: State and Coordinate Co-Evolution with an Error-Driven Predictor-Corrector Paradigm for Neural Operator Transformer,"Latent dynamics, neuroscience, and dynamical systems",program_signal_low_public_attention,,,,,,,,,,,,,
"AI for Science, Health, and Neuro",64932,101,13,Geometric Flow Grounding: A Unified Manifold Decoupling Framework for Dynamics Discovery and Verification,"Latent dynamics, neuroscience, and dynamical systems",program_signal_low_public_attention,,,,,,,,,,,,,
"Data-Centric, Causal, and Federated ML",65483,102,12,Detecting the Semantic Fixed Point: A Geometric Framework for Efficient Inference,"Continual learning, forgetting, and task adaptation",program_signal_low_public_attention,,,,,,,,,,,,,
"Data-Centric, Causal, and Federated ML",63259,103,14,Incentivizing Truthfulness and Collaborative Fairness in Bayesian Learning,Federated learning and distributed clients,program_signal_low_public_attention,,,,,,,,,,,,,
"Data-Centric, Causal, and Federated ML",63990,104,13,On the Difficulty of Learning a Meta-network for Training Data Selection,"Labels, datasets, and supervised data quality",program_signal_low_public_attention,,,,,,,,,,,,,
"Robotics, Embodiment, and World Models",65457,105,8,LangForce: Bayesian Decomposition of Vision Language Action Models via Latent Action Queries,Vision-language-action models and robotic manipulation,public_attention_not_program_signal,,,,,,,,,,,,,
"Robotics, Embodiment, and World Models",62813,106,9,Vision-Language-Action Pretraining from Large-Scale Human Videos,Vision-language-action models and robotic manipulation,public_attention_not_program_signal,,,,,,,,,,,,,
"Robotics, Embodiment, and World Models",63621,107,2,From Pixels to Tokens: A Systematic Study of Latent Action Supervision for Vision-Language-Action Models,Vision-language-action models and robotic manipulation,fault_line_representative,,,,,,,,,,,,,
"Robotics, Embodiment, and World Models",65933,108,1,RoboMME: Benchmarking and Understanding Memory for Robotic Generalist Policies,Vision-language-action models and robotic manipulation,fault_line_representative,,,,,,,,,,,,,
"Agents, Code, and Tool Use",63530,109,11,CausalGame: Benchmarking Causal Thinking of LLM Agents in Games,"Agent evaluation, tool use, and agentic workflows",program_signal_low_public_attention,,,,,,,,,,,,,
"Agents, Code, and Tool Use",61834,110,12,Characterizing Agents in Production,"Agent evaluation, tool use, and agentic workflows",program_signal_low_public_attention,,,,,,,,,,,,,
"Data-Centric, Causal, and Federated ML",66786,111,8,Understanding LoRA as Knowledge Memory: An Empirical Analysis,"Continual learning, forgetting, and task adaptation",public_attention_not_program_signal,,,,,,,,,,,,,
"Multimodal, Vision, and Perception",64161,112,14,DOUBT: Decoupled Object-level Understanding and Bridging via vMF-based Trustworthiness for Hallucination Detection in MLLMs,Vision-language reasoning and video understanding,program_signal_low_public_attention,,,,,,,,,,,,,
"Robotics, Embodiment, and World Models",64826,113,3,XR-1: Towards Versatile Vision-Language-Action Models via Learning Unified Vision-Motion Representations,Vision-language-action models and robotic manipulation,fault_line_representative,,,,,,,,,,,,,
"Safety, Governance, Privacy, and Society",67203,114,12,Position: AI Should Facilitate Democratic Deliberation at Scale,"Position papers, policy, and social impacts",program_signal_low_public_attention,,,,,,,,,,,,,
"Safety, Governance, Privacy, and Society",67249,115,14,Position: The AI Imperative: Scaling High-Quality Peer Review in Machine Learning,"Position papers, policy, and social impacts",program_signal_low_public_attention,,,,,,,,,,,,,
"Safety, Governance, Privacy, and Society",64633,116,11,Robust Harmful Features Under Jailbreak Attacks: Mechanistic Evidence from Attention Head Specialization in Large Language Models,"Adversarial safety, attacks, and security",program_signal_low_public_attention,,,,,,,,,,,,,
Systems and Efficient Foundation Models,65816,117,11,CAT-Q: Cost-efficient and Accurate Ternary Quantization for LLMs,Quantization and low-precision training/inference,program_signal_low_public_attention,,,,,,,,,,,,,
Systems and Efficient Foundation Models,61061,118,13,Faster Activation Functions at the Edge for Post-Training Speedups,"Serving, GPU memory, MoE, and throughput",program_signal_low_public_attention,,,,,,,,,,,,,
Systems and Efficient Foundation Models,63073,119,12,ReQAT: Achieving Full-Precision Reasoning Accuracy with 4-bit Floating-Point Quantization-Aware Training,Quantization and low-precision training/inference,program_signal_low_public_attention,,,,,,,,,,,,,
Systems and Efficient Foundation Models,63104,120,16,Why Do We Need Warm-up? A Theoretical Perspective,"Large-scale training, optimizers, and model architecture",taxonomy_boundary_cluster,,,,,,,,,,,,,
"Theory, Optimization, and Algorithms",62171,121,13,DPO Unchained: Your Training Algorithm is Secretly Disentangled in Human Choice Theory (and Its Loss' Convexity is Dispensable),"Online learning, bandits, and regret",program_signal_low_public_attention,,,,,,,,,,,,,
"Agents, Code, and Tool Use",61950,122,15,Scaling Long-Horizon Agent via Context Folding,"Multi-agent search, planning, and coordination",taxonomy_boundary_cluster,,,,,,,,,,,,,
"Agents, Code, and Tool Use",64296,123,16,Meta Context Engineering via Agentic Skill Evolution,"Multi-agent search, planning, and coordination",taxonomy_boundary_cluster,,,,,,,,,,,,,
"Data-Centric, Causal, and Federated ML",66452,124,16,Extracting alignment data in open models,"Labels, datasets, and supervised data quality",taxonomy_boundary_cluster,,,,,,,,,,,,,
"Robotics, Embodiment, and World Models",65056,125,5,Learning Latent Action World Models In The Wild,Vision-language-action models and robotic manipulation,fault_line_representative,,,,,,,,,,,,,
"Theory, Optimization, and Algorithms",65157,126,7,Unifying and Optimizing Data Values for Selection via Sequential Decision-Making,"Online learning, bandits, and regret",public_attention_not_program_signal,,,,,,,,,,,,,
"AI for Science, Health, and Neuro",66808,127,1,Protein Autoregressive Modeling via Multiscale Structure Generation,"Protein, molecule, and biological modeling",fault_line_representative,,,,,,,,,,,,,
"Data-Centric, Causal, and Federated ML",64375,128,10,Retaining by Doing: The Role of On-Policy Data in Mitigating Forgetting,"Continual learning, forgetting, and task adaptation",public_attention_not_program_signal,,,,,,,,,,,,,
"AI for Science, Health, and Neuro",63634,129,3,Orthogonal Concept Erasure for Diffusion Models,"Latent dynamics, neuroscience, and dynamical systems",fault_line_representative,,,,,,,,,,,,,
"AI for Science, Health, and Neuro",62145,130,6,Protein Fold Classification at Scale: Benchmarking and Pretraining,"Protein, molecule, and biological modeling",fault_line_representative,,,,,,,,,,,,,
"Data-Centric, Causal, and Federated ML",66254,131,2,Midtraining Bridges Pretraining and Posttraining Distributions,"Continual learning, forgetting, and task adaptation",fault_line_representative,,,,,,,,,,,,,
"Data-Centric, Causal, and Federated ML",66000,132,3,Expressivity-Efficiency Tradeoffs for Hybrid Sequence Models,"Continual learning, forgetting, and task adaptation",fault_line_representative,,,,,,,,,,,,,
"AI for Science, Health, and Neuro",63982,133,5,From Text to Forecasts: Bridging Modality Gap with Temporal Evolution Semantic Space,Time series and forecasting applications,fault_line_representative,,,,,,,,,,,,,
"AI for Science, Health, and Neuro",66118,134,2,dnaHNet: A Scalable and Hierarchical Foundation Model for Genomic Sequence Learning,"Protein, molecule, and biological modeling",fault_line_representative,,,,,,,,,,,,,
"Data-Centric, Causal, and Federated ML",65037,135,9,ATLAS: Learning to Optimally Memorize the Context at Test Time,"Continual learning, forgetting, and task adaptation",public_attention_not_program_signal,,,,,,,,,,,,,
"Graphs, Geometry, and Representation Learning",63078,136,2,Foundations of Equivariant Deep Learning: Unifying Graph and Sheaf Neural Networks,Equivariant graph and geometric networks,fault_line_representative,,,,,,,,,,,,,
"Graphs, Geometry, and Representation Learning",65761,137,3,Necessary Conditions for Compositional Generalization of Embedding Models,Geometric representation learning and manifolds,fault_line_representative,,,,,,,,,,,,,
"Multimodal, Vision, and Perception",63725,138,2,Holi-Spatial: Evolving Video Streams into Holistic 3D Spatial Intelligence,"3D, video, motion, and spatial understanding",fault_line_representative,,,,,,,,,,,,,
Systems and Efficient Foundation Models,63564,139,3,FlashSinkhorn: IO-Aware Entropic Optimal Transport on GPU,"Serving, GPU memory, MoE, and throughput",fault_line_representative,,,,,,,,,,,,,
"Robotics, Embodiment, and World Models",62902,140,6,Discrete Diffusion VLA: Bringing Discrete Diffusion to Action Decoding in Vision-Language-Action Policies,Vision-language-action models and robotic manipulation,fault_line_representative,,,,,,,,,,,,,
"Multimodal, Vision, and Perception",65005,141,6,CLEAR: Context-Aware Learning with End-to-End Mask-Free Inference for Adaptive Subtitle Removal,Vision-language reasoning and video understanding,fault_line_representative,,,,,,,,,,,,,
"Multimodal, Vision, and Perception",65441,142,4,Are VLMs Seeing or Just Saying? Uncovering the Illusion of Visual Re-examination,Vision-language reasoning and video understanding,fault_line_representative,,,,,,,,,,,,,
Systems and Efficient Foundation Models,64670,143,4,ECHO: Elastic Speculative Decoding with Sparse Gating for High-Concurrency Scenarios,"Serving, GPU memory, MoE, and throughput",fault_line_representative,,,,,,,,,,,,,
"Multimodal, Vision, and Perception",65015,144,5,3ViewSense: Spatial and Mental Perspective Reasoning from Orthographic Views in Vision-Language Models,Vision-language reasoning and video understanding,fault_line_representative,,,,,,,,,,,,,
Systems and Efficient Foundation Models,62887,145,5,FlashSketch: Sketch-Kernel Co-Design for Fast Sparse Sketching on GPUs,"Serving, GPU memory, MoE, and throughput",fault_line_representative,,,,,,,,,,,,,
Systems and Efficient Foundation Models,62626,146,2,POET-X: Memory-efficient LLM Training by Scaling Orthogonal Transformation,"Serving, GPU memory, MoE, and throughput",fault_line_representative,,,,,,,,,,,,,
Systems and Efficient Foundation Models,61880,147,14,NorMuon: Making Muon more efficient and scalable,"Large-scale training, optimizers, and model architecture",taxonomy_boundary_cluster,,,,,,,,,,,,,
"Multimodal, Vision, and Perception",65573,148,15,Rectified LpJEPA: Joint-Embedding Predictive Architectures with Sparse and Maximum-Entropy Representations,"Vision robustness, detection, and adversarial perception",taxonomy_boundary_cluster,,,,,,,,,,,,,
Systems and Efficient Foundation Models,63695,149,15,"GradientStabilizer: Fix the Norm, Not the Gradient","Large-scale training, optimizers, and model architecture",taxonomy_boundary_cluster,,,,,,,,,,,,,
"Data-Centric, Causal, and Federated ML",61430,150,5,Exact Functional ANOVA Decomposition for Categorical Inputs,Causal inference and causal discovery,fault_line_representative,,,,,,,,,,,,,
"Graphs, Geometry, and Representation Learning",60641,151,4,MV-FGAD: Towards Efficient and Effective Federated Graph Anomaly Detection via Multi-view Learning,Graph neural networks and graph learning,fault_line_representative,,,,,,,,,,,,,
"Graphs, Geometry, and Representation Learning",65990,152,6,Towards Hierarchy–Uniformity Equilibrium: Recovering Semantic Depth in Hypergraph Contrastive Learning,Graph neural networks and graph learning,fault_line_representative,,,,,,,,,,,,,
"Multimodal, Vision, and Perception",61440,153,16,On the Adversarial Robustness of Large Vision-Language Models under Visual Token Compression,"Vision robustness, detection, and adversarial perception",taxonomy_boundary_cluster,,,,,,,,,,,,,
"Theory, Optimization, and Algorithms",63430,154,15,Do Transformers Need Three Projections? Systematic Study of QKV Variants,Transformer theory and attention expressivity,taxonomy_boundary_cluster,,,,,,,,,,,,,
"Theory, Optimization, and Algorithms",65584,155,16,Patterning: The Dual of Interpretability,Transformer theory and attention expressivity,taxonomy_boundary_cluster,,,,,,,,,,,,,
"AI for Science, Health, and Neuro",65261,159,10,OpenTSLM: Time-Series Language Models for Reasoning over Multivariate Medical Text- and Time-Series Data,Time series and forecasting applications,public_attention_not_program_signal,,,,,,,,,,,,,
"Graphs, Geometry, and Representation Learning",60968,161,11,Revisiting the Platonic Representation Hypothesis: An Aristotelian View,Geometric representation learning and manifolds,taxonomy_boundary_cluster,,,,,,,,,,,,,
"AI for Science, Health, and Neuro",62510,162,14,ReViT: Rotational-equivariant Vision Transformers for Neural PDE Solvers,"Physical sciences, chemistry, and climate",program_signal_low_public_attention,,,,,,,,,,,,,
"AI for Science, Health, and Neuro",65255,163,15,Universal Learning of Nonlinear Dynamics,"Latent dynamics, neuroscience, and dynamical systems",taxonomy_boundary_cluster,,,,,,,,,,,,,
"Data-Centric, Causal, and Federated ML",66099,164,11,On the Identifiability of Poisson Branching Structural Causal Model Under Latent Confounding,Causal inference and causal discovery,program_signal_low_public_attention,,,,,,,,,,,,,
Generative Modeling,63286,165,11,Lottery Prior: Randomized Neural Compression for Zero-Shot Inverse Problems,"Diffusion sampling, transport, and inverse problems",program_signal_low_public_attention,,,,,,,,,,,,,
Generative Modeling,64721,166,12,Riemannian Metric Matching for Scalable Geometric Modeling of Distributions,"Diffusion sampling, transport, and inverse problems",program_signal_low_public_attention,,,,,,,,,,,,,
"Data-Centric, Causal, and Federated ML",65210,168,15,Artificial Hippocampus Networks for Efficient Long-Context Modeling,"Continual learning, forgetting, and task adaptation",taxonomy_boundary_cluster,,,,,,,,,,,,,
"Graphs, Geometry, and Representation Learning",66536,169,9,Thinking with Geometry: Active Geometry Integration for Spatial Reasoning,Geometric representation learning and manifolds,public_attention_not_program_signal,,,,,,,,,,,,,
"AI for Science, Health, and Neuro",63969,170,8,TSRBench: A Comprehensive Multi-task Multi-modal Time Series Reasoning Benchmark for Generalist Models,Time series and forecasting applications,public_attention_not_program_signal,,,,,,,,,,,,,
"AI for Science, Health, and Neuro",61214,171,9,Understanding Self-Supervised Learning via Latent Distribution Matching,Time series and forecasting applications,public_attention_not_program_signal,,,,,,,,,,,,,
"Graphs, Geometry, and Representation Learning",62200,172,10,From Kepler to Newton: Inductive Biases Guide Learned World Models in Transformers,Geometric representation learning and manifolds,public_attention_not_program_signal,,,,,,,,,,,,,
Reinforcement Learning and Control,60548,173,7,"Reinforcement Learning with Verifiable Rewards: GRPO's Loss, Dynamics, and Success Amplification","Core RL, offline RL, and policy optimization",public_attention_not_program_signal,,,,,,,,,,,,,
