event_id,sprint_rank,review_phase,title,area,subarea,claim_ids,why_first,signals,method_families,evaluation_settings,benchmark_mentions,dataset_mentions,metric_mentions,claim_overlay_keys,area_overlay_keys,icml_url,alphaxiv_url,github_url,reviewer,review_date,review_source,paper_read_status,contribution_summary,novelty_judgment,method_summary,evidence_strength,baselines_checked,datasets_checked,metrics_checked,limitations,artifact_status_checked,reproducibility_notes,claim_implications,taxonomy_correction,representative_quote_or_result,final_report_use,paper_note
66212,11,main_thesis_claims,Controlled LLM Training on Spectral Sphere,Systems and Efficient Foundation Models,"Large-scale training, optimizers, and model architecture",C02; C08,in claim-validation queue; supports priority claim(s) C02; in area-validation queue; priority report area; oral/program signal; taxonomy boundary needs review; artifact-visible; moderate AlphaXiv attention,oral; votes=115; github_stars=130; taxonomy_review; evidence=medium,Compression / efficiency,robotics/embodied; language/llm; theory/synthetic,,,,C02::66212 | C08::66212,Systems and Efficient Foundation Models::66212,https://icml.cc/virtual/2026/poster/66212,https://www.alphaxiv.org/abs/2601.08393,https://github.com/Unakar/Spectral-Sphere-Optimizer,,,,,,,,,,,,,,,,,,,
64121,12,main_thesis_claims,Reinforcement Learning via Self-Distillation,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",C01; C06; C08,in claim-validation queue; supports priority claim(s) C01; in area-validation queue; priority report area; taxonomy boundary needs review; artifact-visible; high AlphaXiv attention; public attention without program signal,votes=718; github_stars=1008; taxonomy_review; evidence=medium,RL / policy optimization; LLM post-training; Reasoning / test-time compute; Agents / tool use; Diffusion / flow,math/code/verifiable; language/llm,LiveCodeBench,,accuracy; reward,C01::64121 | C06::64121 | C08::64121,"LLM Reasoning, Post-Training, and RLVR::64121",https://icml.cc/virtual/2026/poster/64121,https://www.alphaxiv.org/abs/2601.20802,https://github.com/lasgroup/SDPO,,,,,,,,,,,,,,,,,,,
65446,13,main_thesis_claims,Activation Oracles: Training and Evaluating LLMs as General-Purpose Activation Explainers,"LLM Reasoning, Post-Training, and RLVR","General LLM training, evaluation, and alignment",C01,in claim-validation queue; supports priority claim(s) C01; in area-validation queue; priority report area; oral/program signal; taxonomy boundary needs review; moderate AlphaXiv attention,oral; votes=75; taxonomy_review; evidence=medium,LLM post-training,language/llm,LatentQA; LatentQA-trained,,,C01::65446,"LLM Reasoning, Post-Training, and RLVR::65446",https://icml.cc/virtual/2026/poster/65446,https://www.alphaxiv.org/abs/2512.15674,,,,,,,,,,,,,,,,,,,,
63333,14,main_thesis_claims,GDPO: Group reward-Decoupled Normalization Policy Optimization for Multi-reward RL Optimization,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",C01; C06,in claim-validation queue; supports priority claim(s) C01; in area-validation queue; priority report area; taxonomy boundary needs review; artifact-visible; high AlphaXiv attention; public attention without program signal,votes=507; github_stars=489; taxonomy_review; evidence=medium,RL / policy optimization; LLM post-training; Reasoning / test-time compute; Agents / tool use,math/code/verifiable; language/llm,,,accuracy; reward,C01::63333 | C06::63333,"LLM Reasoning, Post-Training, and RLVR::63333",https://icml.cc/virtual/2026/poster/63333,https://www.alphaxiv.org/abs/2601.05242,https://github.com/NVlabs/GDPO,,,,,,,,,,,,,,,,,,,
61870,15,main_thesis_claims,mHC: Manifold-Constrained Hyper-Connections,Systems and Efficient Foundation Models,"Large-scale training, optimizers, and model architecture",C02; C06; C08,in claim-validation queue; supports priority claim(s) C02; in area-validation queue; priority report area; taxonomy boundary needs review; artifact-visible; high AlphaXiv attention; public attention without program signal,votes=696; github_stars=367; taxonomy_review; evidence=medium,Graphs / geometry,language/llm,,,memory,C02::61870 | C06::61870 | C08::61870,Systems and Efficient Foundation Models::61870,https://icml.cc/virtual/2026/poster/61870,https://www.alphaxiv.org/abs/2512.24880,https://github.com/tokenbender/mHC-manifold-constrained-hyper-connections,,,,,,,,,,,,,,,,,,,
62943,16,main_thesis_claims,Evolution Strategies at the Hyperscale,Systems and Efficient Foundation Models,"Large-scale training, optimizers, and model architecture",C02; C06,in claim-validation queue; supports priority claim(s) C02; in area-validation queue; priority report area; taxonomy boundary needs review; artifact-visible; high AlphaXiv attention; public attention without program signal,votes=405; github_stars=346; taxonomy_review; evidence=medium,RL / policy optimization; LLM post-training; Reasoning / test-time compute,language/llm; theory/synthetic,,,throughput,C02::62943 | C06::62943,Systems and Efficient Foundation Models::62943,https://icml.cc/virtual/2026/poster/62943,https://www.alphaxiv.org/abs/2511.16652,https://github.com/ESHyperscale/HyperscaleES,,,,,,,,,,,,,,,,,,,
65888,17,main_thesis_claims,Learning to Discover at Test Time,"Agents, Code, and Tool Use","Multi-agent search, planning, and coordination",C02; C08,in claim-validation queue; supports priority claim(s) C02; in area-validation queue; priority report area; taxonomy boundary needs review; artifact-visible; high AlphaXiv attention; public attention without program signal,votes=529; github_stars=297; taxonomy_review; evidence=medium,RL / policy optimization; Reasoning / test-time compute; Agents / tool use; Diffusion / flow,math/code/verifiable; language/llm,,,,C02::65888 | C08::65888,"Agents, Code, and Tool Use::65888",https://icml.cc/virtual/2026/poster/65888,https://www.alphaxiv.org/abs/2601.16175,https://github.com/sayantann11/all-classification-templetes-for-ML,,,,,,,,,,,,,,,,,,,
64488,18,main_thesis_claims,Agent Learning via Early Experience,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",C01; C06,in claim-validation queue; supports priority claim(s) C01; in area-validation queue; priority report area; taxonomy boundary needs review; artifact-visible; high AlphaXiv attention; public attention without program signal,votes=532; github_stars=148; taxonomy_review; evidence=medium,RL / policy optimization; LLM post-training; Reasoning / test-time compute; Agents / tool use,math/code/verifiable; language/llm,,,reward,C01::64488 | C06::64488,"LLM Reasoning, Post-Training, and RLVR::64488",https://icml.cc/virtual/2026/poster/64488,https://www.alphaxiv.org/abs/2510.08558,https://github.com/jettbrains/-L-,,,,,,,,,,,,,,,,,,,
64095,19,main_thesis_claims,WeDLM: Reconciling Diffusion Language Models with Standard Causal Attention for Fast Inference,"LLM Reasoning, Post-Training, and RLVR",Diffusion language models and decoding,C01,in claim-validation queue; supports priority claim(s) C01; in area-validation queue; priority report area; oral/program signal; taxonomy boundary needs review; artifact-visible,oral; votes=60; github_stars=644; taxonomy_review; evidence=medium,Reasoning / test-time compute; Diffusion / flow; Transformer / attention; Causal / data-centric,language/llm,,,,C01::64095,"LLM Reasoning, Post-Training, and RLVR::64095",https://icml.cc/virtual/2026/poster/64095,https://www.alphaxiv.org/abs/2512.22737,https://github.com/Tencent/WeDLM,,,,,,,,,,,,,,,,,,,
66596,20,artifact_and_reproducibility,From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model,"Robotics, Embodiment, and World Models",Vision-language-action models and robotic manipulation,C07,in claim-validation queue; supports priority claim(s) C07; in area-validation queue; oral/program signal; GitHub artifact needs manual check; artifact-visible,oral; votes=14; github_stars=5069; artifact_manual_check; evidence=medium,LLM post-training; Causal / data-centric,vision/video; robotics/embodied; language/llm,,,,C07::66596,"Robotics, Embodiment, and World Models::66596",https://icml.cc/virtual/2026/poster/66596,https://www.alphaxiv.org/abs/2605.22671,https://github.com/eliahuhorwitz/Academic-project-page-template,,,,,,,,,,,,,,,,,,,
61180,21,main_thesis_claims,Latent Collaboration in Multi-Agent Systems,"LLM Reasoning, Post-Training, and RLVR",Reasoning models and chain-of-thought behavior,C01; C08,in claim-validation queue; supports priority claim(s) C01; in area-validation queue; priority report area; taxonomy boundary needs review; artifact-visible; high AlphaXiv attention,votes=402; github_stars=1048; taxonomy_review; evidence=medium,Reasoning / test-time compute; Agents / tool use,math/code/verifiable; language/llm; theory/synthetic,,,accuracy; memory,C01::61180 | C08::61180,"LLM Reasoning, Post-Training, and RLVR::61180",https://icml.cc/virtual/2026/poster/61180,https://www.alphaxiv.org/abs/2511.20639,https://github.com/Gen-Verse/LatentMAS,,,,,,,,,,,,,,,,,,,
63048,22,main_thesis_claims,Equivalence of Context and Parameter Updates in Modern Transformer Blocks,"Theory, Optimization, and Algorithms",Transformer theory and attention expressivity,C03,in claim-validation queue; supports priority claim(s) C03; in area-validation queue; priority report area; oral/program signal; taxonomy boundary needs review,oral; votes=24; taxonomy_review; evidence=medium,Transformer / attention,language/llm; theory/synthetic,,,,C03::63048,"Theory, Optimization, and Algorithms::63048",https://icml.cc/virtual/2026/poster/63048,https://www.alphaxiv.org/abs/2511.17864,,,,,,,,,,,,,,,,,,,,
63638,23,main_thesis_claims,Optimal Decision-Making Based on Prediction Sets,"Theory, Optimization, and Algorithms",Statistical learning theory and regression,C03,in claim-validation queue; supports priority claim(s) C03; in area-validation queue; priority report area; oral/program signal; taxonomy boundary needs review; artifact-visible,oral; votes=6; github_stars=0; taxonomy_review; evidence=medium,RL / policy optimization; Bayesian / probabilistic,science/domain; security/safety; theory/synthetic,,,,C03::63638,"Theory, Optimization, and Algorithms::63638",https://icml.cc/virtual/2026/poster/63638,https://www.alphaxiv.org/abs/2602.00989,https://github.com/salma123456789123456789-dotcom/Pneumonia-Detection-using-Chest-X-Ray-images,,,,,,,,,,,,,,,,,,,
64377,24,main_thesis_claims,$\tau^2$-Bench: Evaluating Conversational Agents in a Dual-Control Environment,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",C02,in claim-validation queue; supports priority claim(s) C02; in area-validation queue; priority report area; oral/program signal; artifact-visible; moderate AlphaXiv attention,oral; votes=89; github_stars=1569; evidence=medium,Reasoning / test-time compute; Agents / tool use,math/code/verifiable; robotics/embodied; language/llm; theory/synthetic,,,,C02::64377,"Agents, Code, and Tool Use::64377",https://icml.cc/virtual/2026/poster/64377,https://www.alphaxiv.org/abs/2506.07982,https://github.com/sierra-research/tau2-bench,,,,,,,,,,,,,,,,,,,
63095,25,main_thesis_claims,Agent0-VL: Exploring Self-Evolving Agent for Tool-Integrated Vision-Language Reasoning,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",C02,in claim-validation queue; supports priority claim(s) C02; in area-validation queue; priority report area; oral/program signal; artifact-visible; moderate AlphaXiv attention,oral; votes=89; github_stars=1228; evidence=medium,RL / policy optimization; Reasoning / test-time compute; Agents / tool use; Graphs / geometry,vision/video; language/llm,,,reward,C02::63095,"Agents, Code, and Tool Use::63095",https://icml.cc/virtual/2026/poster/63095,https://www.alphaxiv.org/abs/2511.19900,https://github.com/aiming-lab/Agent0,,,,,,,,,,,,,,,,,,,
67247,26,main_thesis_claims,Position: Stop Automating Peer Review Without Rigorous Evaluation,"Safety, Governance, Privacy, and Society","Position papers, policy, and social impacts",C03,in claim-validation queue; supports priority claim(s) C03; in area-validation queue; priority report area; oral/program signal; low-confidence evidence code,oral; votes=13; evidence=low,,language/llm,,,,C03::67247,"Safety, Governance, Privacy, and Society::67247",https://icml.cc/virtual/2026/poster/67247,https://www.alphaxiv.org/abs/2605.03202,,,,,,,,,,,,,,,,,,,,
61382,27,artifact_and_reproducibility,Vision-aligned Latent Reasoning for Multi-Modal Large Language Model,"LLM Reasoning, Post-Training, and RLVR",Reasoning models and chain-of-thought behavior,C07,in claim-validation queue; supports priority claim(s) C07; priority report area; taxonomy boundary needs review; GitHub artifact needs manual check; artifact-visible,votes=56; github_stars=6773; taxonomy_review; artifact_manual_check; evidence=medium,Reasoning / test-time compute; Transformer / attention,vision/video; language/llm,,,,C07::61382,,https://icml.cc/virtual/2026/poster/61382,https://www.alphaxiv.org/abs/2602.04476,https://github.com/awesome-NeRF/awesome-NeRF,,,,,,,,,,,,,,,,,,,
64128,28,artifact_and_reproducibility,AuTAgent: A Reinforcement Learning Framework for Tool-Augmented Audio Reasoning,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",C07,in claim-validation queue; supports priority claim(s) C07; priority report area; taxonomy boundary needs review; GitHub artifact needs manual check; artifact-visible,votes=8; github_stars=5063; taxonomy_review; artifact_manual_check; evidence=medium,RL / policy optimization; Reasoning / test-time compute; Agents / tool use; Compression / efficiency,math/code/verifiable; language/llm,,,accuracy; reward,C07::64128,,https://icml.cc/virtual/2026/poster/64128,https://www.alphaxiv.org/abs/2602.13685,https://github.com/eliahuhorwitz/Academic-project-page-template,,,,,,,,,,,,,,,,,,,
65423,29,artifact_and_reproducibility,Autoregressive Direct Preference Optimization,"LLM Reasoning, Post-Training, and RLVR",LLM preference tuning and alignment training,C07,in claim-validation queue; supports priority claim(s) C07; priority report area; taxonomy boundary needs review; GitHub artifact needs manual check; artifact-visible,votes=6; github_stars=5063; taxonomy_review; artifact_manual_check; evidence=medium,RL / policy optimization; LLM post-training,language/llm; theory/synthetic,,,,C07::65423,,https://icml.cc/virtual/2026/poster/65423,https://www.alphaxiv.org/abs/2602.09533,https://github.com/eliahuhorwitz/Academic-project-page-template,,,,,,,,,,,,,,,,,,,
60765,30,main_thesis_claims,Learning to Theorize the World from Observation,"LLM Reasoning, Post-Training, and RLVR",Reasoning models and chain-of-thought behavior,C01,in claim-validation queue; supports priority claim(s) C01; priority report area; oral/program signal; taxonomy boundary needs review; low-confidence evidence code,oral; votes=56; taxonomy_review; evidence=low,,math/code/verifiable; vision/video; language/llm; theory/synthetic,,,,C01::60765,,https://icml.cc/virtual/2026/poster/60765,https://www.alphaxiv.org/abs/2605.03413,,,,,,,,,,,,,,,,,,,,
62794,31,main_thesis_claims,ToolOrchestra: Elevating Intelligence via Efficient Model and Tool Orchestration,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",C02,in claim-validation queue; supports priority claim(s) C02; in area-validation queue; priority report area; artifact-visible; high AlphaXiv attention; public attention without program signal,votes=260; github_stars=745; evidence=medium,RL / policy optimization; LLM post-training; Reasoning / test-time compute; Agents / tool use,language/llm,,,accuracy,C02::62794,"Agents, Code, and Tool Use::62794",https://icml.cc/virtual/2026/poster/62794,https://www.alphaxiv.org/abs/2511.21689,https://github.com/NVlabs/ToolOrchestra,,,,,,,,,,,,,,,,,,,
68817,32,main_thesis_claims,Process Reward Models That Think,"LLM Reasoning, Post-Training, and RLVR",RL for reasoning models and verifiable rewards,C01; C06,in claim-validation queue; supports priority claim(s) C01; in area-validation queue; priority report area; artifact-visible; high AlphaXiv attention; public attention without program signal,votes=1815; github_stars=89; evidence=medium,RL / policy optimization; LLM post-training; Reasoning / test-time compute,math/code/verifiable; language/llm,ProcessBench; GPQA-Diamond; LiveCodeBench,,reward,C01::68817 | C06::68817,"LLM Reasoning, Post-Training, and RLVR::68817",https://icml.cc/virtual/2026/poster/68817,https://www.alphaxiv.org/abs/2504.16828,https://github.com/mukhal/thinkprm,,,,,,,,,,,,,,,,,,,
63436,33,main_thesis_claims,xKV: Cross-Layer KV-Cache Compression via Aligned Singular Vector Extraction,Systems and Efficient Foundation Models,Long-context attention and KV-cache compression,C02; C06,in claim-validation queue; supports priority claim(s) C02; in area-validation queue; priority report area; artifact-visible; high AlphaXiv attention; public attention without program signal,votes=518; github_stars=52; evidence=medium,LLM post-training; Agents / tool use; Transformer / attention; Compression / efficiency,math/code/verifiable; language/llm,,,accuracy; latency; throughput; memory,C02::63436 | C06::63436,Systems and Efficient Foundation Models::63436,https://icml.cc/virtual/2026/poster/63436,https://www.alphaxiv.org/abs/2503.18893,https://github.com/abdelfattah-lab/xKV,,,,,,,,,,,,,,,,,,,
62992,34,main_thesis_claims,Monitoring Monitorability,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",C02,in claim-validation queue; supports priority claim(s) C02; in area-validation queue; priority report area; oral/program signal; artifact-visible,oral; votes=28; github_stars=2786; evidence=medium,Reasoning / test-time compute; Agents / tool use,robotics/embodied,,,,C02::62992,"Agents, Code, and Tool Use::62992",https://icml.cc/virtual/2026/poster/62992,https://www.alphaxiv.org/abs/2512.18311,https://github.com/nightscout/cgm-remote-monitor,,,,,,,,,,,,,,,,,,,
64301,35,artifact_and_reproducibility,DFlash: Block Diffusion for Flash Speculative Decoding,"LLM Reasoning, Post-Training, and RLVR",Diffusion language models and decoding,C07,in claim-validation queue; supports priority claim(s) C07; priority report area; taxonomy boundary needs review; artifact-visible; moderate AlphaXiv attention,votes=153; github_stars=5451; taxonomy_review; evidence=medium,Reasoning / test-time compute; Diffusion / flow,language/llm,,,latency,C07::64301,,https://icml.cc/virtual/2026/poster/64301,https://www.alphaxiv.org/abs/2602.06036,https://github.com/z-lab/dflash,,,,,,,,,,,,,,,,,,,
65657,36,main_thesis_claims,Jailbreak Foundry: From Papers to Runnable Attacks for Reproducible Benchmarking,"Safety, Governance, Privacy, and Society","Adversarial safety, attacks, and security",C03,in claim-validation queue; supports priority claim(s) C03; in area-validation queue; priority report area; oral/program signal; artifact-visible,oral; votes=9; github_stars=158; evidence=medium,Agents / tool use,math/code/verifiable; language/llm; security/safety,AdvBench,,success_rate,C03::65657,"Safety, Governance, Privacy, and Society::65657",https://icml.cc/virtual/2026/poster/65657,https://www.alphaxiv.org/abs/2602.24009,https://github.com/OpenSQZ/Jailbreak-Foundry,,,,,,,,,,,,,,,,,,,
65622,37,main_thesis_claims,CVE-Factory: Scaling Expert-Level Agentic Tasks for Code Security Vulnerability,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",C02,in claim-validation queue; supports priority claim(s) C02; in area-validation queue; priority report area; oral/program signal; artifact-visible,oral; votes=21; github_stars=139; evidence=medium,LLM post-training; Reasoning / test-time compute; Agents / tool use; Compression / efficiency,math/code/verifiable; security/safety,LiveCVEBench,,,C02::65622,"Agents, Code, and Tool Use::65622",https://icml.cc/virtual/2026/poster/65622,https://www.alphaxiv.org/abs/2602.03012,https://github.com/livecvebench/CVE-Factory,,,,,,,,,,,,,,,,,,,
63099,38,main_thesis_claims,daVinci-Dev: Agent-native Mid-training for Software Engineering,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",C02,in claim-validation queue; supports priority claim(s) C02; in area-validation queue; priority report area; oral/program signal; artifact-visible,oral; votes=52; github_stars=9; evidence=medium,RL / policy optimization; LLM post-training; Reasoning / test-time compute; Agents / tool use; Diffusion / flow,math/code/verifiable; language/llm,,,,C02::63099,"Agents, Code, and Tool Use::63099",https://icml.cc/virtual/2026/poster/63099,https://www.alphaxiv.org/abs/2601.18418,https://github.com/sii-research/GAIR,,,,,,,,,,,,,,,,,,,
62732,39,main_thesis_claims,Strategic Navigation or Stochastic Search? How Agents and Humans Reason Over Document Collections,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",C02,in claim-validation queue; supports priority claim(s) C02; in area-validation queue; priority report area; oral/program signal; artifact-visible,oral; votes=26; github_stars=1; evidence=medium,Reasoning / test-time compute; Agents / tool use,language/llm; theory/synthetic,VQA,,accuracy,C02::62732,"Agents, Code, and Tool Use::62732",https://icml.cc/virtual/2026/poster/62732,https://www.alphaxiv.org/abs/2603.12180,https://github.com/Snowflake-Labs/MADQA,,,,,,,,,,,,,,,,,,,
67238,40,main_thesis_claims,Position: Anthropomorphic Misalignment Research Needs Stronger Evidence,"Safety, Governance, Privacy, and Society","Position papers, policy, and social impacts",C03,in claim-validation queue; supports priority claim(s) C03; in area-validation queue; priority report area; oral/program signal,oral; votes=13; evidence=medium,LLM post-training; Causal / data-centric,robotics/embodied; security/safety,,,,C03::67238,"Safety, Governance, Privacy, and Society::67238",https://icml.cc/virtual/2026/poster/67238,https://www.alphaxiv.org/abs/2606.07612,,,,,,,,,,,,,,,,,,,,
