claim_id,event_id,global_review_rank,claim_review_rank,title,area,selection_reason,review_focus,reviewer,review_date,review_source,manual_claim_support,manual_taxonomy_judgment,manual_artifact_judgment,manual_notes
C03,63048,22,5,Equivalence of Context and Parameter Updates in Modern Transformer Blocks,"Theory, Optimization, and Algorithms",program_high_public_lower,Identify the technical reason for high program signal and whether public attention misses it.,,,,,,,
C03,63638,23,12,Optimal Decision-Making Based on Prediction Sets,"Theory, Optimization, and Algorithms",program_high_public_lower,Identify the technical reason for high program signal and whether public attention misses it.,,,,,,,
C02,64377,24,3,$\tau^2$-Bench: Evaluating Conversational Agents in a Dual-Control Environment,"Agents, Code, and Tool Use",systems_agents_program_signal,Check whether program-selected papers substantiate systems/agents emphasis.,,,,,,,
C02,63095,25,2,Agent0-VL: Exploring Self-Evolving Agent for Tool-Integrated Vision-Language Reasoning,"Agents, Code, and Tool Use",systems_agents_program_signal,Check whether program-selected papers substantiate systems/agents emphasis.,,,,,,,
C03,67247,26,7,Position: Stop Automating Peer Review Without Rigorous Evaluation,"Safety, Governance, Privacy, and Society",program_high_public_lower,Identify the technical reason for high program signal and whether public attention misses it.,,,,,,,
C07,61382,27,2,Vision-aligned Latent Reasoning for Multi-Modal Large Language Model,"LLM Reasoning, Post-Training, and RLVR",artifact_manual_check,Determine whether the GitHub link is a real paper artifact or a template/index/project page.,,,,,,,
C07,64128,28,6,AuTAgent: A Reinforcement Learning Framework for Tool-Augmented Audio Reasoning,"LLM Reasoning, Post-Training, and RLVR",artifact_manual_check,Determine whether the GitHub link is a real paper artifact or a template/index/project page.,,,,,,,
C07,65423,29,5,Autoregressive Direct Preference Optimization,"LLM Reasoning, Post-Training, and RLVR",artifact_manual_check,Determine whether the GitHub link is a real paper artifact or a template/index/project page.,,,,,,,
C01,60765,30,8,Learning to Theorize the World from Observation,"LLM Reasoning, Post-Training, and RLVR",llm_boundary_cluster,Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper.,,,,,,,
C02,62794,31,14,ToolOrchestra: Elevating Intelligence via Efficient Model and Tool Orchestration,"Agents, Code, and Tool Use",systems_agents_public_signal,Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover.,,,,,,,
C01,68817,32,9,Process Reward Models That Think,"LLM Reasoning, Post-Training, and RLVR",llm_high_attention_core,Check whether high attention supports the center-of-gravity claim.,,,,,,,
C06,68817,32,5,Process Reward Models That Think,"LLM Reasoning, Post-Training, and RLVR",fast_arxiv_area_sample,Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,,,,,,,
C02,63436,33,10,xKV: Cross-Layer KV-Cache Compression via Aligned Singular Vector Extraction,Systems and Efficient Foundation Models,systems_agents_public_signal,Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover.,,,,,,,
C06,63436,33,14,xKV: Cross-Layer KV-Cache Compression via Aligned Singular Vector Extraction,Systems and Efficient Foundation Models,fast_arxiv_area_sample,Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,,,,,,,
C02,62992,34,5,Monitoring Monitorability,"Agents, Code, and Tool Use",systems_agents_program_signal,Check whether program-selected papers substantiate systems/agents emphasis.,,,,,,,
C07,64301,35,9,DFlash: Block Diffusion for Flash Speculative Decoding,"LLM Reasoning, Post-Training, and RLVR",artifact_high_star,"Check artifact type, license/readme quality, and whether reproduction assets are present.",,,,,,,
C03,65657,36,9,Jailbreak Foundry: From Papers to Runnable Attacks for Reproducible Benchmarking,"Safety, Governance, Privacy, and Society",program_high_public_lower,Identify the technical reason for high program signal and whether public attention misses it.,,,,,,,
C02,65622,37,7,CVE-Factory: Scaling Expert-Level Agentic Tasks for Code Security Vulnerability,"Agents, Code, and Tool Use",systems_agents_program_signal,Check whether program-selected papers substantiate systems/agents emphasis.,,,,,,,
C02,63099,38,4,daVinci-Dev: Agent-native Mid-training for Software Engineering,"Agents, Code, and Tool Use",systems_agents_program_signal,Check whether program-selected papers substantiate systems/agents emphasis.,,,,,,,
C02,62732,39,6,Strategic Navigation or Stochastic Search? How Agents and Humans Reason Over Document Collections,"Agents, Code, and Tool Use",systems_agents_program_signal,Check whether program-selected papers substantiate systems/agents emphasis.,,,,,,,
C03,67238,40,8,Position: Anthropomorphic Misalignment Research Needs Stronger Evidence,"Safety, Governance, Privacy, and Society",program_high_public_lower,Identify the technical reason for high program signal and whether public attention misses it.,,,,,,,
C03,62793,41,13,Markov Chain Monte Carlo without Evaluating the Target: an Auxiliary Variable Approach,"Theory, Optimization, and Algorithms",program_high_public_lower,Identify the technical reason for high program signal and whether public attention misses it.,,,,,,,
C03,61486,42,6,Non-Euclidean Gradient Descent Operates at the Edge of Stability,"Theory, Optimization, and Algorithms",program_high_public_lower,Identify the technical reason for high program signal and whether public attention misses it.,,,,,,,
C01,61926,43,7,OPUS: Towards Efficient and Principled Data Selection in Large Language Model Pre-training in Every Iteration,"LLM Reasoning, Post-Training, and RLVR",llm_boundary_cluster,Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper.,,,,,,,
C07,66763,44,11,"AudioChat: Unified Audio Storytelling, Editing, and Understanding with Transfusion Forcing","Multimodal, Vision, and Perception",artifact_high_star,"Check artifact type, license/readme quality, and whether reproduction assets are present.",,,,,,,
C07,65700,45,10,Boosting Monocular Metric Depth Estimation via Bokeh Rendering,"Multimodal, Vision, and Perception",artifact_high_star,"Check artifact type, license/readme quality, and whether reproduction assets are present.",,,,,,,
C07,60836,46,12,From Correspondence to Actions: Human-Like Multi-Image Spatial Reasoning in Multi-modal Large Language Models,"Multimodal, Vision, and Perception",artifact_high_star,"Check artifact type, license/readme quality, and whether reproduction assets are present.",,,,,,,
C07,60719,47,7,PanoWorld-X: Generating Explorable Panoramic Worlds via Sphere-Aware Video Diffusion,"Multimodal, Vision, and Perception",artifact_manual_check,Determine whether the GitHub link is a real paper artifact or a template/index/project page.,,,,,,,
C03,63083,48,14,"Is Your LLM Overcharging You? Tokenization, Transparency, and Incentives","Safety, Governance, Privacy, and Society",program_high_public_lower,Identify the technical reason for high program signal and whether public attention misses it.,,,,,,,
C07,61106,49,16,DeepAnalyze: Agentic Large Language Models for Autonomous Data Science,"Agents, Code, and Tool Use",artifact_high_star,"Check artifact type, license/readme quality, and whether reproduction assets are present.",,,,,,,
C03,60813,50,10,When the Prompt Becomes Visual: Vision-Centric Jailbreak Attacks for Large Image Editing Models,"Safety, Governance, Privacy, and Society",program_high_public_lower,Identify the technical reason for high program signal and whether public attention misses it.,,,,,,,
C03,66709,51,11,Quantifying Frontier LLM Capabilities for Container Sandbox Escape,"Safety, Governance, Privacy, and Society",program_high_public_lower,Identify the technical reason for high program signal and whether public attention misses it.,,,,,,,
C07,60982,52,1,From geometry to dynamics: Learning overdamped Langevin dynamics from sparse observations with geometric constraints,"AI for Science, Health, and Neuro",artifact_manual_check,Determine whether the GitHub link is a real paper artifact or a template/index/project page.,,,,,,,
C01,63850,53,13,"On the Interplay of Pre-Training, Mid-Training, and RL on Reasoning Language Models","LLM Reasoning, Post-Training, and RLVR",llm_high_attention_core,Check whether high attention supports the center-of-gravity claim.,,,,,,,
C07,60814,54,3,Self-Prompting Diffusion Transformer for Open-Vocabulary Scene Text Edit via In-Context Learning,Generative Modeling,artifact_manual_check,Determine whether the GitHub link is a real paper artifact or a template/index/project page.,,,,,,,
C07,61357,55,14,Hydra-Nav: Object Navigation via Adaptive Dual-Process Reasoning,"Robotics, Embodiment, and World Models",artifact_high_star,"Check artifact type, license/readme quality, and whether reproduction assets are present.",,,,,,,
C07,61887,56,13,LaST$_{0}$: Latent Spatio-Temporal Chain-of-Thought for Robotic Vision-Language-Action Model,"Robotics, Embodiment, and World Models",artifact_high_star,"Check artifact type, license/readme quality, and whether reproduction assets are present.",,,,,,,
C07,62276,57,15,Turbo4DGen: Ultra-Fast Acceleration for 4D Generation,"Multimodal, Vision, and Perception",artifact_high_star,"Check artifact type, license/readme quality, and whether reproduction assets are present.",,,,,,,
C05,60542,58,1,Motion Attribution for Video Generation,"Multimodal, Vision, and Perception",multimodal_subarea_anchor,Check whether each subarea behaves differently from the aggregate underweight claim.,,,,,,,
C05,65954,59,4,Multimodal Nested Learning for Decoupled and Coordinated Optimization,"Multimodal, Vision, and Perception",multimodal_subarea_anchor,Check whether each subarea behaves differently from the aggregate underweight claim.,,,,,,,
C08,64760,60,8,Dimensional Collapse in Transformer Attention Outputs: A Challenge for Sparse Dictionary Learning,"Theory, Optimization, and Algorithms",taxonomy_boundary_cluster_anchor,Decide whether this cluster should remain in the assigned area/subarea or be relabeled.,,,,,,,
C08,63561,62,18,Pretrained Vision-Language-Action Models are Surprisingly Resistant to Forgetting in Continual Learning,"Data-Centric, Causal, and Federated ML",taxonomy_boundary_program_public_fill,Use high-signal papers to stress-test taxonomy boundaries.,,,,,,,
C08,61434,63,3,Self-Distillation Enables Continual Learning,"Data-Centric, Causal, and Federated ML",taxonomy_boundary_cluster_anchor,Decide whether this cluster should remain in the assigned area/subarea or be relabeled.,,,,,,,
C08,63607,64,7,How to Correctly Report LLM-as-a-Judge Evaluations,"LLM Reasoning, Post-Training, and RLVR",taxonomy_boundary_cluster_anchor,Decide whether this cluster should remain in the assigned area/subarea or be relabeled.,,,,,,,
C06,64450,65,9,Chain-of-Thought Reasoning In The Wild Is Not Always Faithful,"Safety, Governance, Privacy, and Society",fast_arxiv_area_sample,Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,,,,,,,
C08,65316,66,12,Who Said Neural Networks Aren't Linear?,"Graphs, Geometry, and Representation Learning",taxonomy_boundary_cluster_anchor,Decide whether this cluster should remain in the assigned area/subarea or be relabeled.,,,,,,,
C08,65556,67,10,Deep sequence models tend to memorize geometrically; it is unclear why.,"Graphs, Geometry, and Representation Learning",taxonomy_boundary_cluster_anchor,Decide whether this cluster should remain in the assigned area/subarea or be relabeled.,,,,,,,
C05,65729,74,7,ExSkill: Continual Learning from Experience and Skills in Multimodal Agents,"Multimodal, Vision, and Perception",multimodal_high_attention,Check whether high-attention ICML multimodal papers look more like ICLR/NeurIPS-style vision work or ICML-style ML methods.,,,,,,,
C06,65729,74,3,ExSkill: Continual Learning from Experience and Skills in Multimodal Agents,"Multimodal, Vision, and Perception",fast_arxiv_area_sample,Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,,,,,,,
C05,63195,75,8,BabyVision: Visual Reasoning Beyond Language,"Multimodal, Vision, and Perception",multimodal_high_attention,Check whether high-attention ICML multimodal papers look more like ICLR/NeurIPS-style vision work or ICML-style ML methods.,,,,,,,
C06,63195,75,4,BabyVision: Visual Reasoning Beyond Language,"Multimodal, Vision, and Perception",fast_arxiv_area_sample,Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,,,,,,,
C05,63623,76,6,Causal-JEPA: Learning World Models through Object-Level Latent Interventions,"Multimodal, Vision, and Perception",multimodal_high_attention,Check whether high-attention ICML multimodal papers look more like ICLR/NeurIPS-style vision work or ICML-style ML methods.,,,,,,,
C06,63623,76,2,Causal-JEPA: Learning World Models through Object-Level Latent Interventions,"Multimodal, Vision, and Perception",fast_arxiv_area_sample,Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,,,,,,,
C06,66446,77,11,Reasoning Models Struggle to Control their Chains of Thought,"Safety, Governance, Privacy, and Society",fast_arxiv_area_sample,Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,,,,,,,
C05,65709,78,5,A Very Big Video Reasoning Suite,"Multimodal, Vision, and Perception",multimodal_high_attention,Check whether high-attention ICML multimodal papers look more like ICLR/NeurIPS-style vision work or ICML-style ML methods.,,,,,,,
C06,65709,78,1,A Very Big Video Reasoning Suite,"Multimodal, Vision, and Perception",fast_arxiv_area_sample,Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,,,,,,,
C05,62726,79,2,Bad Seeing or Bad Thinking? Rewarding Perception for Multimodal Reasoning,"Multimodal, Vision, and Perception",multimodal_subarea_anchor,Check whether each subarea behaves differently from the aggregate underweight claim.,,,,,,,
C06,61446,80,10,The Assistant Axis: Situating and Stabilizing the Default Persona of Language Models,"Safety, Governance, Privacy, and Society",fast_arxiv_area_sample,Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,,,,,,,
C04,61757,81,6,World Guidance: World Modeling in Condition Space for Action Generation,"Robotics, Embodiment, and World Models",robotics_public_not_program,"Classify the source of public attention: benchmark, demo, artifact, model release, or hype.",,,,,,,
C04,64904,82,3,Temporal Straightening for Latent Planning,"Robotics, Embodiment, and World Models",robotics_public_not_program,"Classify the source of public attention: benchmark, demo, artifact, model release, or hype.",,,,,,,
C05,63330,83,3,Mind Your Margin and Boundary: Are Your Distilled Datasets Truly Robust?,"Multimodal, Vision, and Perception",multimodal_subarea_anchor,Check whether each subarea behaves differently from the aggregate underweight claim.,,,,,,,
C06,66364,96,12,Towards a Science of AI Agent Reliability,"Safety, Governance, Privacy, and Society",fast_arxiv_area_sample,Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,,,,,,,
C08,62611,97,9,Rethinking the Trust Region in LLM Reinforcement Learning,"LLM Reasoning, Post-Training, and RLVR",taxonomy_boundary_cluster_anchor,Decide whether this cluster should remain in the assigned area/subarea or be relabeled.,,,,,,,
C04,65457,105,4,LangForce: Bayesian Decomposition of Vision Language Action Models via Latent Action Queries,"Robotics, Embodiment, and World Models",robotics_public_not_program,"Classify the source of public attention: benchmark, demo, artifact, model release, or hype.",,,,,,,
C04,62813,106,5,Vision-Language-Action Pretraining from Large-Scale Human Videos,"Robotics, Embodiment, and World Models",robotics_public_not_program,"Classify the source of public attention: benchmark, demo, artifact, model release, or hype.",,,,,,,
C04,63621,107,11,From Pixels to Tokens: A Systematic Study of Latent Action Supervision for Vision-Language-Action Models,"Robotics, Embodiment, and World Models",robotics_program_anchor,Compare public-heavy robotics papers against program-selected anchors.,,,,,,,
C04,65933,108,10,RoboMME: Benchmarking and Understanding Memory for Robotic Generalist Policies,"Robotics, Embodiment, and World Models",robotics_program_anchor,Compare public-heavy robotics papers against program-selected anchors.,,,,,,,
C04,64826,113,12,XR-1: Towards Versatile Vision-Language-Action Models via Learning Unified Vision-Motion Representations,"Robotics, Embodiment, and World Models",robotics_program_anchor,Compare public-heavy robotics papers against program-selected anchors.,,,,,,,
C08,66452,124,11,Extracting alignment data in open models,"Data-Centric, Causal, and Federated ML",taxonomy_boundary_cluster_anchor,Decide whether this cluster should remain in the assigned area/subarea or be relabeled.,,,,,,,
C04,65056,125,1,Learning Latent Action World Models In The Wild,"Robotics, Embodiment, and World Models",robotics_public_not_program,"Classify the source of public attention: benchmark, demo, artifact, model release, or hype.",,,,,,,
C04,62902,140,2,Discrete Diffusion VLA: Bringing Discrete Diffusion to Action Decoding in Vision-Language-Action Policies,"Robotics, Embodiment, and World Models",robotics_public_not_program,"Classify the source of public attention: benchmark, demo, artifact, model release, or hype.",,,,,,,
C05,62613,156,9,Utonia: Toward One Encoder for All Point Clouds,"Multimodal, Vision, and Perception",multimodal_high_attention,Check whether high-attention ICML multimodal papers look more like ICLR/NeurIPS-style vision work or ICML-style ML methods.,,,,,,,
C05,61916,157,10,World-R1: Reinforcing 3D Constraints for Text-to-Video Generation,"Multimodal, Vision, and Perception",multimodal_high_attention,Check whether high-attention ICML multimodal papers look more like ICLR/NeurIPS-style vision work or ICML-style ML methods.,,,,,,,
C05,62143,158,11,DiffThinker: Towards Generative Multimodal Reasoning with Diffusion Models,"Multimodal, Vision, and Perception",multimodal_high_attention,Check whether high-attention ICML multimodal papers look more like ICLR/NeurIPS-style vision work or ICML-style ML methods.,,,,,,,
C05,61169,160,13,Self-Refining Video Sampling,"Multimodal, Vision, and Perception",multimodal_high_attention,Check whether high-attention ICML multimodal papers look more like ICLR/NeurIPS-style vision work or ICML-style ML methods.,,,,,,,
C05,65111,167,12,WorldPlay: Towards Long-Term Geometric Consistency for Real-Time Interactive World Modeling,"Multimodal, Vision, and Perception",multimodal_high_attention,Check whether high-attention ICML multimodal papers look more like ICLR/NeurIPS-style vision work or ICML-style ML methods.,,,,,,,
C04,62192,177,7,RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation,"Robotics, Embodiment, and World Models",robotics_public_not_program,"Classify the source of public attention: benchmark, demo, artifact, model release, or hype.",,,,,,,
C05,62952,180,14,Zooming without Zooming: Region-to-Image Distillation for Fine-Grained Multimodal Perception,"Multimodal, Vision, and Perception",multimodal_high_attention,Check whether high-attention ICML multimodal papers look more like ICLR/NeurIPS-style vision work or ICML-style ML methods.,,,,,,,
C04,65782,205,9,RDT2: Exploring the Scaling Limit of UMI Data Towards Zero-Shot Cross-Embodiment Generalization,"Robotics, Embodiment, and World Models",robotics_public_not_program,"Classify the source of public attention: benchmark, demo, artifact, model release, or hype.",,,,,,,
C04,66369,206,8,CaP-X: A Framework for Benchmarking and Improving Coding Agents for Robot Manipulation,"Robotics, Embodiment, and World Models",robotics_public_not_program,"Classify the source of public attention: benchmark, demo, artifact, model release, or hype.",,,,,,,
